,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경상남도 진주시,,, 진주와 함께하는 문화가 있는 보부상 장터 봉사자 모집,진주,,2019-08-31 2019-08-31
1,경상남도 진주시,,, 진주시 충무공 다함께돌봄센터 동구밖 교사 자원봉사 활동,진주,,2019-09-18 2019-12-31
2,경상남도 진주시,,, 월일(화)진주헌혈의 집 헌혈캠페인 자원봉사자 모집,대한적십자사 경남혈액원,,2019-08-27 2019-08-27
3,경상남도 진주시,,, 월일(월) 진주헌혈의 집 헌혈캠페인 자원봉사자 모집,대한적십자사 경남혈액원,,2019-08-26 2019-08-26
4,경상남도 진주시,,, 평거복지관이미용 재능기부자 모집 ,진주평거종합사회복지관,,2019-08-19 2019-12-16
5,경상남도 진주시,,, 이동목욕 자원봉사자 모집합니다,진주시가좌사회복지관,,2019-06-26 2019-12-31
6,경상남도 진주시,,, 따뜻한방문( 정서지원),진주평거종합사회복지관,,2019-06-01 2019-12-31
7,경상남도 진주시,,, 노인 복지 시설 봉사 활동,참좋은둥지요양원,,2019-02-15 2019-12-31
8,경상남도 진주시,,, 노인복지시설 봉사 활동,참좋은둥지요양원,,2019-02-15 2019-12-31
9,경상남도 진주시,,, 진주센텀요양병원 (식사보조목욕보조이미용 등) 자원봉사,센텀요양병원,,2019-01-01 2019-12-31
