,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,광주광역시 동구,35.1511049,126.911165, 정신건강박람회 행사보조,광주스마일센터,대한민국 광주광역시 동구 충장로5가,2019-09-05 2019-09-05
1,광주광역시 동구,35.1411632,126.9211791,  광주광역시 마음돌봄 어울마당 자원봉사자 모집,광주광역정신건강복지센터,대한민국 광주광역시 동구 학동 제봉로 27,2019-09-05 2019-09-05
2,광주광역시 동구,35.1217578,126.9373692, 그룹홈 아동지도 및 시설관리,꿈그린공동생활가정,대한민국 광주광역시 동구 소태동 소태길3번길 41-3,2019-07-19 2019-08-30
3,광주광역시 동구,35.1469214,126.9391624, 학습자원봉사자님을 기다립니다,청소년지원시설푸른꿈터,대한민국 광주광역시 동구 지산2동 164-5,2019-06-25 2019-12-31
4,광주광역시 동구,35.1457288,126.9261538, 재가장애인 정서지원 자원봉사자 모집,광주광역시동구장애인복지관,대한민국 광주광역시 동구 서남동 백서로198번길 7,2019-07-01 2019-12-13
5,광주광역시 동구,35.12167549999999,126.9308798, 광주소망병원에서 이미용 자원봉사자를 모집합니다,광주소망병원,대한민국 광주광역시 동구 용산동 243-63,2019-06-17 2019-12-31
6,광주광역시 동구,35.12167549999999,126.9308798, 광주소망병원에서 이미용 자원봉사자를 모집합니다,광주소망병원,대한민국 광주광역시 동구 용산동 243-63,2019-05-01 2019-12-31
7,광주광역시 동구,,, 청정원주부봉사단 전라도 광주팀 모집,대상(주),,2019-05-07 2019-12-31
8,광주광역시 동구,35.1457288,126.9261538, 배움이 자라나는 한글교실 자원봉사자 모집,광주광역시동구장애인복지관,대한민국 광주광역시 동구 서남동 백서로198번길 7,2019-04-23 2019-10-31
9,광주광역시 동구,35.1469214,126.9391624, 캠페인 운영 자원봉사자모집,청소년지원시설푸른꿈터,대한민국 광주광역시 동구 지산2동 164-5,2019-03-27 2019-10-31
10,광주광역시 동구,35.1457288,126.9261538, 뜨개질 자조모임 강사 모집,광주광역시동구장애인복지관,대한민국 광주광역시 동구 서남동 백서로198번길 7,2019-03-19 2019-12-30
11,광주광역시 동구,,, [모집] 년 장애가정아동 성장멘토링 멘토모집,(사)광주광역시장애인재활협회,,2019-02-21 2019-11-30
12,광주광역시 동구,,, 휠체어 댄싱,예그리나장애인복지센터,,2019-07-01 2019-08-30
