,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대구광역시 동구,,, [세이브더칠드런 동부지부] 물품 패킹 업무 자원봉사자 모집,세이브더칠드런코리아,,2019-08-27 2019-08-27
1,대구광역시 동구,35.8747424,128.6785206, [굿네이버스 대구경북본부] 희망편지쓰기대회 행정봉사자 모집,굿네이버스 대구경북본부,대한민국 대구광역시 동구 용계동 510-3,2019-08-14 2019-08-30
2,대구광역시 동구,35.8688531,128.6243601, [대구]질라라비장애인야간학교에서 수학여행 자원봉사자를 모집합니다,(사)전국장애인야학협의회 대구질라라비지회,대한민국 대구광역시 동구 신천동 133-6번지,2019-08-27 2019-08-29
3,대구광역시 동구,,, 안심제복지관 지역 내 청년 대상 욕구조사 설문 진행(교통비 지급),안심제종합사회복지관,,2019-08-09 2019-09-30
4,대구광역시 동구,,, 대구광역자살예방센터 시민강좌 행사 보조 자원봉사자 모집,대구광역정신건강증진센터,,2019-09-10 2019-09-10
5,대구광역시 동구,,, 대구광역자살예방센터 시민강좌 모니터링 자원봉사자 모집,대구광역정신건강증진센터,,2019-09-10 2019-09-10
6,대구광역시 동구,35.8876289,128.6401744, [굿네이버스 대구동부지부] 아동성폭력예방인형극 자원봉사자 모집,사단법인 굿네이버스대구동부지부,대한민국 대구광역시 동구 신암5동 아양로 251 5층,2019-08-13 2019-12-27
7,대구광역시 동구,35.9960045,128.6124957, 년 선명요육원 자원봉사자를 모집합니다,선명요육원,대한민국 대구광역시 동구 덕곡동 34,2019-07-29 2020-07-29
8,대구광역시 동구,35.9621494,128.7154313, 재가어르신 급식 지원 서비스,감천재가노인지원센터,대한민국 대구광역시 동구 진인동 33,2019-07-22 2019-12-31
9,대구광역시 동구,35.8702091,128.6213122, (교육봉사) 아동야간보호공부방 봉사자 모집,제일기독종합사회복지관,대한민국 대구광역시 동구 신천3동 송라로2길 17-6,2019-07-22 2019-12-31
10,대구광역시 동구,35.8658962,128.7052536, 평생교육 강좌 보조,강동어르신행복센터,대한민국 대구광역시 동구 신기동 안심로 190 2층,2019-08-12 2019-12-20
11,대구광역시 동구,35.8876289,128.6401744, [굿네이버스 대구동부지부] 우리지역 아동권리 나눔홍보단(자원봉사) 모집,사단법인 굿네이버스대구동부지부,대한민국 대구광역시 동구 신암5동 아양로 251 5층,2019-07-18 2019-09-30
12,대구광역시 동구,35.8698335,128.709637, 이미용(파마커트) 전문자원봉사자 모집  월 회(셋째주 화요일),대구종합사회복지관(어린이재단),대한민국 대구광역시 동구 안심3.4동 율하동로26길 67,2019-07-09 2019-12-31
13,대구광역시 동구,35.9874715,128.6707476, 입소 어르신 이미용 봉사활동,신안사랑마을,대한민국 대구광역시 동구 공산동 용천로77길 50,2019-07-09 2019-12-31
14,대구광역시 동구,35.8788484,128.6757114, 독거어르신 간식배달 ,진명해안노인복지센터,대한민국 대구광역시 동구 해안동 신평로 54,2019-07-02 2020-07-31
0,대구광역시 동구,35.8890513,128.6483867, 동행보호작업장 내 장애인 이용자 작업활동 보조,동행보호작업장,대한민국 대구광역시 동구 동촌동 동촌로 54 3층,2019-06-25 2020-12-31
1,대구광역시 동구,35.8702091,128.6213122, 꿈나무방학학교 자원봉사자 모집,제일기독종합사회복지관,대한민국 대구광역시 동구 신천3동 송라로2길 17-6,2019-07-29 2019-08-23
