,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대전광역시 유성구,,, 중촌사회복지관 어린이집 자원봉사자를 모집합니다 ,중촌사회복지관,,2019-08-30 2019-08-30
1,대전광역시 유성구,,, 어르신들과의 햇빛 산책,대전광역시립 제노인전문병원,,2019-08-14 2019-10-31
2,대전광역시 유성구,,, (토) 장애아동 치료 프로그램 보조 모집,대전광역시립장애인종합복지관,,2019-08-24 2019-08-24
3,대전광역시 유성구,,,  월 (화)(금) 재가 장애인 가정 물품 전달 보조 ,대전광역시립장애인종합복지관,,2019-08-27 2019-08-30
4,대전광역시 유성구,,, (토) 자원봉사학교 모집,대전광역시립장애인종합복지관,,2019-09-07 2019-09-07
5,대전광역시 유성구,,, 야외 미니콘서트 스텝 모집,유성구종합사회복지관,,2019-09-21 2019-09-21
6,대전광역시 유성구,,, (토) 성인장애인 주말프로그램 보조 모집,대전광역시립장애인종합복지관,,2019-08-24 2019-08-24
7,대전광역시 유성구,,, 매주 금요일인라인 스케이트 보조 모집,대전광역시립장애인종합복지관,,2019-07-19 2019-09-27
8,대전광역시 유성구,,, 대전어린이회관 월 자원봉사자를 모집합니다,대전광역시어린이회관,,2019-08-01 2019-08-31
9,대전광역시 유성구,,, 밑반찬배달서비스,유성구종합사회복지관,,2019-07-09 2019-12-31
10,대전광역시 유성구,,, 경로당 노래교실 자원봉사자 모집,유성구종합사회복지관,,2019-07-03 2019-12-31
11,대전광역시 유성구,,, 기타 사회복지분야 봉사활동,공감가정폭력상담소,,2019-07-01 2019-08-31
12,대전광역시 유성구,,, 마을의 문제점 찾아 마을 지도 만들기,학교 밖 세상,,2019-07-01 2019-10-07
13,대전광역시 유성구,,, 아름다운가게 대전 지족점 매장봉사,아름다운가게 대전충청본부,,2019-04-16 2019-12-31
14,대전광역시 유성구,,, 레고교실 가베교실 자원봉사자 모집,유성구장애인종합복지관,,2019-03-28 2019-11-30
0,대전광역시 유성구,,, 굿프랜드에서 자원봉사자를 모집합니다,사단법인 굿프랜드,,2019-02-25 2019-12-31
1,대전광역시 유성구,,, 찾아가는 공부방(유성),생명종합사회복지관,,2019-02-13 2019-12-31
2,대전광역시 유성구,,, 사회복지사 모임 참여자 모집,유성구종합사회복지관,,2019-08-26 2019-12-31
3,대전광역시 유성구,,, 실버강사및 레크레이션강사모집,참사랑 노인주간보호센터,,2019-01-08 2019-12-31
4,대전광역시 유성구,,, 와상환자 이미용 서비스,의료법인 나우리의료재단 나우리요양병원,,2018-07-19 2019-12-31
5,대전광역시 유성구,,, 재능기부,테크노노인복지센터,,2018-05-01 2019-12-31
6,대전광역시 유성구,,, 지역아동센터 학습도우미,호산나반석지역아동센터,,2018-01-30 2019-12-31
7,대전광역시 유성구,,, 어르신 한글교실 봉사자 모집,유성구종합사회복지관,,2019-06-10 2019-12-31
8,대전광역시 유성구,,, 목욕 및 미술치료 음악치료,(유성)에벤에셀요양원,,2014-12-19 9999-12-31
