,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대전광역시 중구,36.3129316,127.4127002, 장애아동 활동보조 자원봉사 모집 ,대전기독교종합사회복지관,"KR, 29 보문산로333번길 중구 대전광역시 대한민국",2019-08-29 2019-08-29
1,대전광역시 중구,36.3283598,127.4268215, 환경미화 및 캠페인 보조,대전광역시립으능정이어린이집,대한민국 대전광역시 중구 은행동 142-6,2019-08-14 2019-08-23
2,대전광역시 중구,,, 대전 대전천 정화활동 자원봉사자 모집(목척교 아래),지구시민운동연합,,2019-08-24 2019-08-24
3,대전광역시 중구,36.3246808,127.4228054, 수시아청소년합창단 자원봉사자 모집,대전광역시장애인재활협회,대한민국 대전광역시 중구 대흥동 보문로 246,2019-08-07 2019-12-12
4,대전광역시 중구,,, 제회 장기기증의날 캠페인(기념식 및 음악회) 자원봉사자 모집,재)사랑의장기기증운동본부대전충남지역운동본부,,2019-09-09 2019-09-09
5,대전광역시 중구,36.3129316,127.4127002, 벼룩시장 자원봉사자 모집 ,대전기독교종합사회복지관,"KR, 29 보문산로333번길 중구 대전광역시 대한민국",2019-09-07 2019-09-07
6,대전광역시 중구,36.3360016,127.4101804, <대전 선병원> 무인 수납기 안내 자원봉사 ,의료법인 영훈의료재단,대한민국 대전광역시 중구 목동 목중로 29,2019-07-31 2019-12-31
7,대전광역시 중구,36.3360016,127.4101804, <대전 선병원> 무인수납기 안내 정기 봉사 (최소 개월 이상),의료법인 영훈의료재단,대한민국 대전광역시 중구 목동 목중로 29,2019-07-24 2020-01-31
8,대전광역시 중구,36.331532,127.4163592, [기아대책노인복지센터] 가정봉사원 모집,기아대책노인복지센터,대한민국 대전광역시 중구 선화동 193-17,2019-07-31 2019-12-31
9,대전광역시 중구,36.3306058,127.4059873, 텃밭과 센터 함께 가꾸기,복음행복한홈스쿨지역아동센터,대한민국 대전광역시 중구 용두동 128-6,2019-06-07 2019-11-30
10,대전광역시 중구,36.3306058,127.4059873, 상담,복음행복한홈스쿨지역아동센터,대한민국 대전광역시 중구 용두동 128-6,2019-06-07 2019-12-31
11,대전광역시 중구,36.320632,127.421045, 이미용봉사자 모집,대전광역시노인복지관,대한민국 대전광역시 중구 대흥동 311-1,2019-06-07 2019-12-27
12,대전광역시 중구,36.34431540000001,127.410512, 도시락 배달 서비스,중촌사회복지관,대한민국 대전광역시 중구 중촌동 128-1,2019-06-03 2019-12-31
13,대전광역시 중구,36.326958,127.3956579, 귀가지도 및 책읽기지도,태평지역아동센터,대한민국 대전광역시 중구 태평동 375-25,2019-05-22 2019-12-31
14,대전광역시 중구,36.3129379,127.4124031, 하담지역아동센터 중등부 학습 자원봉사자 모집,하담지역아동센터,대한민국 대전광역시 중구 문화1동 보문산로333번길 29 3층,2019-05-15 2019-12-31
0,대전광역시 중구,36.3129379,127.4124031, 하담지역아동센터 통기타 교습 자원봉사자 모집,하담지역아동센터,대한민국 대전광역시 중구 문화1동 보문산로333번길 29 3층,2019-04-22 2019-12-31
1,대전광역시 중구,36.3129379,127.4124031, 하담지역아동센터 아동 돌봄 자원봉사자 모집,하담지역아동센터,대한민국 대전광역시 중구 문화1동 보문산로333번길 29 3층,2019-04-22 2019-12-31
2,대전광역시 중구,36.320632,127.421045, 이미용 봉사자 모집합니다,대전광역시노인복지관,대한민국 대전광역시 중구 대흥동 311-1,2019-03-11 2019-12-31
3,대전광역시 중구,36.326958,127.3956579, 초등영어지도,태평지역아동센터,대한민국 대전광역시 중구 태평동 375-25,2018-09-05 2019-09-05
4,대전광역시 중구,,, 아름다운가게 대전 판암점 매장봉사,아름다운가게 대전충청본부,,2018-07-17 2019-12-31
5,대전광역시 중구,36.2160879,127.4155517, 거주인과 자매결연,중증장애인시설 우리사랑,대한민국 대전광역시 중구 어남동 59-1,2018-07-09 2019-12-31
