,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,부산광역시 금정구,,, 사무실 사무보조 자원봉사,부산수영시니어클럽,,2019-09-02 2019-09-05
1,부산광역시 금정구,35.2431307,129.090194, 사회복지동행에서 노인프로그램 활동 보조 자원봉사자를 모집합니다,사회복지동행,대한민국 부산광역시 금정구 구서동,2019-08-19 2019-10-31
2,부산광역시 금정구,35.238067,129.0952828, 청소년 문화예술경연대회 청소년이 락펴락 여기는우리가 접수한다심사위원 자원봉사자 모집,금정청소년수련관,대한민국 부산광역시 금정구 부곡3동 기찰로96번길 47,2019-09-07 2019-09-07
3,부산광역시 금정구,35.22018080000001,129.1119228, 지역아동센터 초등학생 학습지도 ,금사나너울지역아동센터,대한민국 부산광역시 금정구 금사동 68-21,2019-08-01 2019-12-31
4,부산광역시 금정구,35.2195996,129.0988746, 주거환경개선사업 행복한 보금자리 도배장판 교체 지원활동 자원봉사자,금정구장애인복지관,대한민국 부산광역시 금정구 서1동 502-4,2019-08-19 2019-12-31
5,부산광역시 금정구,35.2431307,129.090194, 사회복지동행에서 시설 업무 보조 및 환경 정리,사회복지동행,대한민국 부산광역시 금정구 구서동,2019-08-07 2019-09-30
6,부산광역시 금정구,35.2431307,129.090194, 사회복지동행에서 영상 촬영 및 편집 봉사자를 모집합니다,사회복지동행,대한민국 부산광역시 금정구 구서동,2019-07-25 2019-09-30
7,부산광역시 금정구,35.2195996,129.0988746, 장애인식개선 여름학교 참가자 모집,금정구장애인복지관,대한민국 부산광역시 금정구 서1동 502-4,2019-08-09 2019-09-21
8,부산광역시 금정구,,, 무료법률자문 및 정보제공,부산광역시 호스피스완화케어센터,,2019-07-18 2019-12-31
9,부산광역시 금정구,35.2431307,129.090194, 사회복지동행에서 시설 환경 정리 봉사자를 모집합니다,사회복지동행,대한민국 부산광역시 금정구 구서동,2019-07-10 2019-09-30
10,부산광역시 금정구,35.2307963,129.0761174, 규림요양병원 어르신 목욕하는날 옷갈아입혀주실 봉사자 모집,(의)규림병원,대한민국 부산광역시 금정구 장전동 금샘로 59,2019-07-10 2019-12-18
