,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 강동구,37.5522897,127.1542583, [시립강동] (금) 점심배식 봉사활동,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-22 2019-08-23
1,서울특별시 강동구,37.5522897,127.1542583, [시립강동] (수) 건강프로그램 업무지원,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-22 2019-09-04
2,서울특별시 강동구,37.5497343,127.1462314, [강동구] 모두가족 봉사단 프로그램 보조 ,강동구건강가정지원센터,대한민국 서울특별시 강동구 명일1동 327-6,2019-08-24 2019-08-24
3,서울특별시 강동구,37.5649552,127.1738671, 레프팅 및 서바이벌 체험활동 보조 봉사활동 ,홀트강동복지관,대한민국 서울특별시 강동구 강일동 아리수로93길 9-14,2019-08-27 2019-08-27
4,서울특별시 강동구,37.5583163,127.1313992, <암사재활원> 장애아동들의 월 경제교육캠프  활동을 지원해주실 봉사자를 모집합니다,암사재활원,대한민국 서울특별시 강동구 암사동 196-1,2019-08-21 2019-08-26
5,서울특별시 강동구,37.5449133,127.1463797, 초등학생중학생고등학생 학습멘토,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-08-21 2019-12-31
6,서울특별시 강동구,37.5449133,127.1463797, 초등학생중학생 학습멘토,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-08-20 2019-12-31
7,서울특별시 강동구,37.5522897,127.1542583, [시립강동](금) 자원봉사자교육 보조활동,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-22 2019-08-23
8,서울특별시 강동구,37.5508311,127.1690836, [한국시각장애인복지관] 점자도서관 전화 설문조사,한국시각장애인복지관,대한민국 서울특별시 강동구 상일동 126,2019-09-02 2019-09-11
9,서울특별시 강동구,37.5508311,127.1690836, [한국시각장애인복지관] 점자도서관 도서 정보 시스템 입력 작업 등,한국시각장애인복지관,대한민국 서울특별시 강동구 상일동 126,2019-08-21 2019-08-30
10,서울특별시 강동구,37.5522897,127.1542583, [시립강동] 웰라이프 프로그램 서포터즈 모집,서울시립강동노인종합복지관,대한민국 서울특별시 강동구 명일2동 동남로71길 32-5,2019-08-20 2019-08-30
11,서울특별시 강동구,37.5398741,127.129761, 강동종합사회복지관 심리운동실 환경개선활동 자원봉사자를 모집합니다,강동종합사회복지관,대한민국 서울특별시 강동구 천호동 555,2019-08-27 2019-08-29
12,서울특별시 강동구,37.5341056,127.1261181, 서울특별시 지역사회 전환시설 이음에서 자원봉사자를 모집합니다,이음,대한민국 서울특별시 강동구 성내동 136-18,2019-08-19 2019-09-19
13,서울특별시 강동구,37.558983,127.1489257, [긴급] 심리치료 물놀이 정리 자원봉사자 모집,서울장애인종합복지관,대한민국 서울특별시 강동구 고덕1동,2019-08-23 2019-08-23
14,서울특별시 강동구,37.5497343,127.1462314, [강동구] 한마음통합바자회 프로그램 보조 ,강동구건강가정지원센터,대한민국 서울특별시 강동구 명일1동 327-6,2019-09-03 2019-09-03
0,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-08-19 2019-08-31
1,서울특별시 강동구,37.5583163,127.1313992, <암사재활원> 장애아동 월 경제교육캠프  활동 보조 봉사자를 모집합니다,암사재활원,대한민국 서울특별시 강동구 암사동 196-1,2019-08-16 2019-08-26
2,서울특별시 강동구,37.5583163,127.1313992, (급구)<암사재활원> 프로그램 보조 봉사자 모집합니다 ,암사재활원,대한민국 서울특별시 강동구 암사동 196-1,2019-08-16 2019-08-23
