,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 은평구,37.6130966,126.9143849, 긴급 부스운영 자원봉사자 모집,은평구건강가정지원센터,대한민국 서울특별시 은평구 갈현동 469-1 3층,2019-08-28 2019-08-28
1,서울특별시 은평구,37.60427019999999,126.9299709, 프로그램 부스운영 업무보조 자원봉사자 모집,은평구다문화가족지원센터,대한민국 서울특별시 은평구 녹번동 은평로21가길 15-17,2019-08-28 2019-08-28
2,서울특별시 은평구,37.6057011,126.9072861, [발달지원팀] 마음을 그리다 봉사자 모집,서부장애인종합복지관,대한민국 서울특별시 은평구 구산동 갈현로11길 30,2019-09-09 2019-11-25
3,서울특별시 은평구,37.6057011,126.9072861, [발달지원팀] 희망교실 봉사자 모집,서부장애인종합복지관,대한민국 서울특별시 은평구 구산동 갈현로11길 30,2019-09-04 2019-11-27
4,서울특별시 은평구,37.6033025,126.9113562, 어르신에게 스마트폰을(청소년 대학생 가능),은평구립역촌노인복지관,대한민국 서울특별시 은평구 역촌동 연서로3나길 11-30,2019-08-24 2019-09-30
5,서울특별시 은평구,37.5945447,126.9167595, 응암노인복지관 독거어르신 밑반찬 배달봉사,응암노인복지관,대한민국 서울특별시 은평구 응암동 126-46,2019-08-19 2019-12-31
6,서울특별시 은평구,37.6033025,126.9113562, 어르신에게 스마트폰을  청소년 자원봉사자 모집(청소년 및 대학생도가능),은평구립역촌노인복지관,대한민국 서울특별시 은평구 역촌동 연서로3나길 11-30,2019-08-19 2019-09-30
7,서울특별시 은평구,,, 해피데이케어센터에서 봉사자 분들을 구하고 있습니다 ,해피데이케어센터,,2019-08-14 2019-12-31
8,서울특별시 은평구,37.60427019999999,126.9299709, 프로그램 부스운영 업무보조 자원봉사자 모집,은평구다문화가족지원센터,대한민국 서울특별시 은평구 녹번동 은평로21가길 15-17,2019-08-28 2019-08-28
9,서울특별시 은평구,37.6130966,126.9143849, 나들이 프로그램 보조,은평구건강가정지원센터,대한민국 서울특별시 은평구 갈현동 469-1 3층,2019-08-24 2019-08-24
10,서울특별시 은평구,37.6248654,126.9186635, [갈현노인복지관] 리서치 조사 봉사자 모집,갈현노인복지관,대한민국 서울특별시 은평구 갈현동 통일로89길 12-6,2019-08-14 2019-08-30
11,서울특별시 은평구,37.6130966,126.9143849, 은평구건강가정 다문화가족지원센터 ,은평구건강가정지원센터,대한민국 서울특별시 은평구 갈현동 469-1 3층,2019-08-28 2019-08-28
12,서울특별시 은평구,37.6263203,126.913139, 포도원복지센터 박일 여름캠프에 함께 할 자원봉사자 모집합니다,포도원복지센터,대한민국 서울특별시 은평구 갈현동 갈현로41길 48,2019-08-22 2019-08-23
13,서울특별시 은평구,37.6130966,126.9143849, 예비맘교육 봉사자 모집합니다,은평구건강가정지원센터,대한민국 서울특별시 은평구 갈현동 469-1 3층,2019-08-26 2019-08-26
14,서울특별시 은평구,37.5985012,126.9104047, 교육진행 업무보조,서울은평지역자활센터,대한민국 서울특별시 은평구 신사동 갈현로 8,2019-08-30 2019-08-30
0,서울특별시 은평구,37.6194356,126.9248454, 불광노인복지관 경로당프로그램 지원보조 봉사자를 모집합니다,은평구립불광노인복지관,대한민국 서울특별시 은평구 불광동 연서로32길 17-11 2층,2019-08-23 2019-10-31
1,서울특별시 은평구,37.6090839,126.9060309, [서울특별시립은혜로운집] 주말 탁구 봉사자 모집 (정기봉사),서울시립은혜로운집,대한민국 서울특별시 은평구 구산동 갈현로15길 51,2019-08-01 2019-12-31
2,서울특별시 은평구,37.6130966,126.9143849, 초등생 돌봄 프로그램 업무보조,은평구건강가정지원센터,대한민국 서울특별시 은평구 갈현동 469-1 3층,2019-08-03 2019-08-24
3,서울특별시 은평구,37.585027,126.8993332, [은평복지관정기]성인여성(명) 한글지도 활동,은평종합사회복지관,대한민국 서울특별시 은평구 수색동 은평터널로 48,2019-08-01 2019-12-31
4,서울특별시 은평구,37.6320168,126.930117, 경로식당 배식설거지 자원봉사자 모집,서울시립은평노인종합복지관,대한민국 서울특별시 은평구 진관동 연서로 415,2019-08-01 2019-12-31
5,서울특별시 은평구,37.585027,126.8993332, [은평복지관정기]중 남학생 학습지도 대학생 봉사자 모집,은평종합사회복지관,대한민국 서울특별시 은평구 수색동 은평터널로 48,2019-08-08 2019-12-31
6,서울특별시 은평구,37.5985012,126.9104047, 케리커쳐 재능기부해주실 분 모집합니다,서울은평지역자활센터,대한민국 서울특별시 은평구 신사동 갈현로 8,2019-09-20 2019-09-20
7,서울특별시 은평구,37.6057011,126.9072861, [발달지원팀] 희망교실 봉사자 모집,서부장애인종합복지관,대한민국 서울특별시 은평구 구산동 갈현로11길 30,2019-08-12 2019-12-20
8,서울특별시 은평구,37.6057011,126.9072861, [발달지원팀] 필라테스 봉사자 모집,서부장애인종합복지관,대한민국 서울특별시 은평구 구산동 갈현로11길 30,2019-08-12 2019-12-20
9,서울특별시 은평구,37.5981837,126.9281816, 영어회화(고 남학생) 정기 봉사자 구합니다,서울특별시 꿈나무마을 초록꿈터,대한민국 서울특별시 은평구 응암동 42-5,2019-07-20 2019-08-31
10,서울특별시 은평구,,, 해피데이케어센터에서 봉사자 분들을 구하고 있습니다,해피데이케어센터,,2019-07-12 2019-12-31
11,서울특별시 은평구,37.6130966,126.9143849, 통역 자원봉사자 모집,은평구건강가정지원센터,대한민국 서울특별시 은평구 갈현동 469-1 3층,2019-07-26 2019-11-22
12,서울특별시 은평구,37.6090839,126.9060309, [서울특별시립은혜로운집] 이미용봉사 모집(주중 정기),서울시립은혜로운집,대한민국 서울특별시 은평구 구산동 갈현로15길 51,2019-07-01 2019-12-31
13,서울특별시 은평구,37.5979464,126.9121973, 은평구 신사종합사회복지관 경로식당 봉사자 모집,신사종합사회복지관,대한민국 서울특별시 은평구 신사1동 26-18,2019-07-01 2020-12-31
14,서울특별시 은평구,37.5979464,126.9121973, 은평구 신사종합사회복지관 밑반찬 배달 봉사자 모집 ,신사종합사회복지관,대한민국 서울특별시 은평구 신사1동 26-18,2019-07-02 2020-12-31
0,서울특별시 은평구,37.6057011,126.9072861, [발달지원팀] 아이마루놀이터  예능교실 프로그램 지원 봉사자 모집,서부장애인종합복지관,대한민국 서울특별시 은평구 구산동 갈현로11길 30,2019-08-21 2019-11-27
1,서울특별시 은평구,37.6057011,126.9072861, [발달지원팀] 아이마루놀이터 놀이교실 프로그램 지원 봉사자 모집,서부장애인종합복지관,대한민국 서울특별시 은평구 구산동 갈현로11길 30,2019-08-20 2019-11-26
2,서울특별시 은평구,37.6098005,126.9127056, 희망나눔서포터즈 모집 안내,은평어르신돌봄통합지원센터,대한민국 서울특별시 은평구 구산동 17-33,2019-07-08 2019-12-31
3,서울특별시 은평구,37.5822188,126.8962566, 물빛데이케어센터 이미용 자원봉사 모집,물빛데이케어센터,대한민국 서울특별시 은평구 수색동 수색로 256 2층,2019-06-24 2019-12-31
4,서울특별시 은평구,,, 제회 장애아동 및 형제아동 짝지 봉사자 모집,세계예술치료협회,,2019-08-30 2019-09-01
5,서울특별시 은평구,37.6248852,126.9341026, 성인발달장애인 기초학습 봉사,은평늘봄장애인자립생활센터,대한민국 서울특별시 은평구 불광동 40,2019-07-01 2019-12-31
6,서울특별시 은평구,37.6090839,126.9060309, [서울특별시립은혜로운집] 연말공연을 위한 재능기부 (핸드벨 난타),서울시립은혜로운집,대한민국 서울특별시 은평구 구산동 갈현로15길 51,2019-06-07 2019-12-31
7,서울특별시 은평구,37.585027,126.8993332, [은평복지관정기]어르신 건강체크 봉사 활동,은평종합사회복지관,대한민국 서울특별시 은평구 수색동 은평터널로 48,2019-06-10 2019-10-31
8,서울특별시 은평구,37.6090839,126.9060309, [서울특별시립 은혜로운집] 핸드벨 오카리나 등 재능기부 해주실 선생님 모집합니다,서울시립은혜로운집,대한민국 서울특별시 은평구 구산동 갈현로15길 51,2019-06-03 2019-12-31
9,서울특별시 은평구,37.585027,126.8993332, [은평복지관정기]아동 대상 아프리카댄스를 알려주실 봉사자님을 모십니다,은평종합사회복지관,대한민국 서울특별시 은평구 수색동 은평터널로 48,2019-06-03 2020-06-30
10,서울특별시 은평구,37.6090839,126.9060309, [서울특별시립 은혜로운집] 목욕(샤워) 봉사자 모집,서울시립은혜로운집,대한민국 서울특별시 은평구 구산동 갈현로15길 51,2019-05-16 2019-12-31
11,서울특별시 은평구,,, 아동(장애)활동보조, 늘함께 지역아동복지센터,,2019-05-07 2019-12-31
