,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 중랑구,37.6112036,127.0804662, 여명재가노인지원센터 정서지원 (말벗)  봉사,(사)여명복지회 여명재가노인지원센터,대한민국 서울특별시 중랑구 묵동 동일로160길 49,2019-08-20 2019-12-31
1,서울특별시 중랑구,37.5738692,127.0849589,  [중랑구정신건강복지센터]  학습멘토링 자원봉사자 모집 ,중랑구정신건강증진센터,대한민국 서울특별시 중랑구 면목4동 면목로 238,2019-08-19 2020-08-19
2,서울특별시 중랑구,37.6041626,127.096064, [원광장애인종합복지관] 추석맞이 한가위 민속잔치 봉사자 모집,원광장애인종합복지관,대한민국 서울특별시 중랑구 신내1동 572-2,2019-09-06 2019-09-06
3,서울특별시 중랑구,37.5883865,127.0777552, [중랑노인종합복지관] (화) 경로식당 자원봉사자 모집 ,시립중랑노인종합복지관,대한민국 서울특별시 중랑구 면목동 겸재로9길 45,2019-09-03 2019-09-03
4,서울특별시 중랑구,37.6041626,127.096064, 복지관 식당봉사단 한마음봉사단 봉사자 모집,유린원광종합사회복지관,대한민국 서울특별시 중랑구 신내1동 572-2,2019-08-22 
5,서울특별시 중랑구,37.5883865,127.0777552, [중랑노인종합복지관] (목) 경로식당 자원봉사자 모집,시립중랑노인종합복지관,대한민국 서울특별시 중랑구 면목동 겸재로9길 45,2019-08-29 2019-08-29
6,서울특별시 중랑구,37.5736192,127.087792, 하늘을 나는 공부방에서 아이들과 함께할 재능나눔 봉사자 모집합니다(면목복지관),면목종합사회복지관,대한민국 서울특별시 중랑구 면목4동 1382,2019-08-07 2019-12-31
7,서울특별시 중랑구,37.6090637,127.0947685, [서울시립대복지관] 청소년봉사단대학생(성인) 봉사자 모집,서울시립대학교종합사회복지관,대한민국 서울특별시 중랑구 신내2동 신내로 115,2019-08-01 2019-12-31
8,서울특별시 중랑구,,, 한국어 도우미(영어회화 가능자),사단법인 위드어스,,2019-07-29 2019-12-31
9,서울특별시 중랑구,37.5883865,127.0777552, [중랑노인복지관] 년 하반기 영상촬영 및 편집 홍보 서포터즈 모집합니다 ,시립중랑노인종합복지관,대한민국 서울특별시 중랑구 면목동 겸재로9길 45,2019-08-01 2019-12-31
10,서울특별시 중랑구,37.6147809,127.0878741, [신내노인복지관] 치매예방프로그램  서포터즈 모집,구립신내노인종합복지관,대한민국 서울특별시 중랑구 신내동 771-1,2019-09-05 2019-11-21
11,서울특별시 중랑구,37.6031035,127.0955377, (두레노인요양원) 원예치료 봉사자 모집,두레노인요양원,대한민국 서울특별시 중랑구 신내동 537-3번지,2019-07-20 2019-08-31
12,서울특별시 중랑구,37.6031035,127.0955377, (두레노인요양원) 나들이봉사자 모집,두레노인요양원,대한민국 서울특별시 중랑구 신내동 537-3번지,2019-07-20 2019-08-31
13,서울특별시 중랑구,37.6031035,127.0955377, (두레노인요양원) 목욕 봉사자 모집,두레노인요양원,대한민국 서울특별시 중랑구 신내동 537-3번지,2019-07-20 2019-08-31
14,서울특별시 중랑구,37.6031035,127.0955377, (두레노인요양원) 전기 시설 재능기부 봉사자 모집,두레노인요양원,대한민국 서울특별시 중랑구 신내동 537-3번지,2019-07-20 2019-08-31
0,서울특별시 중랑구,37.6031035,127.0955377, (두레노인요양원) 도배봉사자 모집,두레노인요양원,대한민국 서울특별시 중랑구 신내동 537-3번지,2019-07-20 2019-08-31
1,서울특별시 중랑구,37.5848485,127.0940229, (급)아이돌봄 및 프로그램 활동 보조[일 단기 신청 가능],중랑구건강가정지원센터,대한민국 서울특별시 중랑구 면목본동 62-2,2019-07-24 2019-11-20
2,서울특별시 중랑구,37.605,127.0911111, 맘편한 공부방 도서 사서 및 학습지도 봉사자 모집,신내종합사회복지관,대한민국 서울특별시 중랑구 상봉동 481,2019-07-12 2019-12-31
3,서울특별시 중랑구,37.6090637,127.0947685, [서울시립대복지관] 통기타 교실 자원봉사자 모집(강사),서울시립대학교종합사회복지관,대한민국 서울특별시 중랑구 신내2동 신내로 115,2019-07-04 2019-12-31
4,서울특별시 중랑구,37.6090637,127.0947685, [서울시립대학교종합사회복지관] 미술멘토링 봉사자 모집,서울시립대학교종합사회복지관,대한민국 서울특별시 중랑구 신내2동 신내로 115,2019-07-02 2019-12-31
5,서울특별시 중랑구,37.6041626,127.096064, [원광장애인종합복지관]장애인 식생활 지원 봉사자 모집 ,원광장애인종합복지관,대한민국 서울특별시 중랑구 신내1동 572-2,2019-07-01 2019-08-30
6,서울특별시 중랑구,37.5933234,127.0925761, 어린이집 시설봉사,구립면일어린이집,대한민국 서울특별시 중랑구 면목동 상봉로19길 13,2019-07-15 2019-08-30
7,서울특별시 중랑구,37.5883865,127.0777552, [중랑노인종합복지관] 빨간망토 인형극단 업무 보조 자원봉사자 모집,시립중랑노인종합복지관,대한민국 서울특별시 중랑구 면목동 겸재로9길 45,2019-07-15 2019-10-22
8,서울특별시 중랑구,37.605,127.0911111, 복지관 경로식당 무료급식 봉사활동,신내종합사회복지관,대한민국 서울특별시 중랑구 상봉동 481,2019-06-25 2019-12-31
9,서울특별시 중랑구,37.5937517,127.0943747, 도예원예활동 보조 및 운전자원봉사자를 모집합니다 ,시립중랑장애인단기보호센터 다운누리,대한민국 서울특별시 중랑구 망우동 겸재로61길 81,2019-06-07 2019-11-30
10,서울특별시 중랑구,37.6041626,127.096064, [원광장애인종합복지관] 평생교육반 프로그램(원예) 자원봉사자 모집,원광장애인종합복지관,대한민국 서울특별시 중랑구 신내1동 572-2,2019-06-14 2019-09-27
11,서울특별시 중랑구,37.5736192,127.087792, 아이들과 함께할 놀이터 플레이코치 모집(면목복지관),면목종합사회복지관,대한민국 서울특별시 중랑구 면목4동 1382,2019-05-28 2019-12-05
12,서울특별시 중랑구,37.6041626,127.096064, 지역사회 문화예술 전문봉사단 희망이 방울방울 업무 협조,유린원광종합사회복지관,대한민국 서울특별시 중랑구 신내1동 572-2,2019-05-30 2019-10-31
