,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,울산광역시 울주군,35.5064406,129.090349, 이손요양병원 호스피스 완화의료병동 손발 마사지 강사 모집합니다,의료법인 이손의료재단 이손요양병원,대한민국 울산광역시 울주군 삼남면 하방로 39,2019-08-22 2020-08-22
1,울산광역시 울주군,35.5703426,129.1257926, 서부문화아카데미 학기 수강신청 자원봉사자 모집,울주군서부종합사회복지관,대한민국 울산광역시 울주군 언양읍 동부리 376-3,2019-08-27 2019-08-30
2,울산광역시 울주군,,, 깨끗한 울산 만들기,울산환경운동연합,,2019-08-31 2019-08-31
3,울산광역시 울주군,35.40712600000001,129.2979685, 재봉틀(미싱) 봉사자 모집,남부장애인보호작업장,대한민국 울산광역시 울주군 온양읍 발리 279-2,2019-01-01 2019-12-31
4,울산광역시 울주군,35.5612514,129.1252643, [울주군장애인복지관] 중증장애인자립지원반 활동보조,울주군장애인복지관,대한민국 울산광역시 울주군 삼남면 교동리,2019-05-02 2019-12-31
5,울산광역시 울주군,35.5565388,129.1131716, 이동복지관 꼼지락 공방 자원봉사자 모집,서부노인복지관,대한민국 울산광역시 울주군 삼남면 서향교2길 50,2019-03-28 2019-11-30
6,울산광역시 울주군,35.5064406,129.090349, 이손요양병원 프로그램 강사 봉사활동,의료법인 이손의료재단 이손요양병원,대한민국 울산광역시 울주군 삼남면 하방로 39,2019-03-11 2020-03-31
7,울산광역시 울주군,35.5612514,129.1252643, 년 장애인복지관 아동사회정서발달프로그램 봉사자 모집 ,울주군장애인복지관,대한민국 울산광역시 울주군 삼남면 교동리,2019-06-03 2019-11-29
8,울산광역시 울주군,35.5694208,129.2391462, 울주군건강가정다문화가족지원센터 초등돌봄 자원봉사자 모집,울주군다문화가족지원센터,대한민국 울산광역시 울주군 범서읍 점촌5길 39-7,2019-03-01 2019-12-31
9,울산광역시 울주군,,, 노인돌봄,교육관리본부(울산),,2019-03-01 2019-12-31
10,울산광역시 울주군,35.4870452,129.3030576, 미술교육재능기부 봉사자 모집 ,울산광역시지적장애인복지협회 울주군지부,대한민국 울산광역시 울주군 청량면 상남길 71-12,2019-02-18 2019-12-31
11,울산광역시 울주군,35.5565388,129.1131716, 서부노인복지관 경로식당 자원봉사모집,서부노인복지관,대한민국 울산광역시 울주군 삼남면 서향교2길 50,2019-01-14 2019-12-31
12,울산광역시 울주군,,, 여가를 함께 하실 봉사자 모집,효성제일노인건강센터,,2019-01-01 2019-12-31
13,울산광역시 울주군,,, 목욕봉사,효성제일노인건강센터,,2019-01-01 2019-12-31
14,울산광역시 울주군,35.5615279,129.22541, 청소년 학습 멘토 모집,울주군중부종합사회복지관,대한민국 울산광역시 울주군 범서읍 천상4길 28-14,2019-01-08 2019-12-31
0,울산광역시 울주군,35.5565388,129.1131716, 이동복지관 이미용서비스 봉사자 모집,서부노인복지관,대한민국 울산광역시 울주군 삼남면 서향교2길 50,2019-03-15 2019-12-20
1,울산광역시 울주군,35.5612514,129.1252643, 장애인복지관 식당봉사자모집,울주군장애인복지관,대한민국 울산광역시 울주군 삼남면 교동리,2019-01-01 2019-12-31
2,울산광역시 울주군,35.5064406,129.090349, 수선(미싱)자원봉사자,의료법인 이손의료재단 이손요양병원,대한민국 울산광역시 울주군 삼남면 하방로 39,2018-05-31 2019-12-31
3,울산광역시 울주군,35.4346936,129.3144896, 온산장애인주간보호센터 봉사자 모집,울주군남부종합사회복지관,대한민국 울산광역시 울주군 온산읍 덕신리 36-4,2018-05-23 2019-12-31
4,울산광역시 울주군,35.6058406,129.0677089, [재능기부] 프로그램 진행해주실 강사님 모집합니다,(재)정토사관자재회,대한민국 울산광역시 울주군 상북면 양등리 138-1,2019-02-01 2020-01-31
5,울산광역시 울주군,35.6058406,129.0677089, 병원봉사활동,(재)정토사관자재회,대한민국 울산광역시 울주군 상북면 양등리 138-1,2013-08-20 2999-12-31
