,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,전라남도 목포시,,, [평화캠프목포지부] 청소년자원활동가모집,(사)평화캠프,,2019-09-01 2019-10-31
1,전라남도 목포시,34.817455,126.4578104, 막대인형극 자원봉사자 모집,전라남도서부노인보호전문기관,대한민국 전라남도 무안군 삼향읍 오룡5길,2019-08-01 2019-12-27
2,전라남도 목포시,34.8002168,126.3830712, 지적장애인과 함께하는 사회활동지원프로그램 및 여가활동지원,실로암그룹홈,대한민국 전라남도 목포시 대성동 이웃길 3-2,2019-07-04 2019-10-06
3,전라남도 목포시,34.796291,126.4267818, 시각장애인 생활체육교실 자원봉사 모집,(사) 한국시각장애인연합회 전남지부,대한민국 전라남도 목포시 신흥동 미항로 19,2019-05-14 2019-10-31
4,전라남도 목포시,34.7855261,126.3798007, 요양원 이미용 서비스,성모노인요양원,대한민국 전라남도 목포시 경동2가 영산로10번길 21,2019-05-01 2020-04-30
5,전라남도 목포시,,, 자원봉사재능기부,지역아동센터,,2019-04-05 2019-12-31
6,전라남도 목포시,34.8097793,126.3752181, 재가복지 이미용서비스,목포시종합사회복지관,대한민국 전라남도 목포시 산정동 1749,2019-03-14 2019-12-31
7,전라남도 목포시,34.8097793,126.3752181, 재가복지 도시락서비스,목포시종합사회복지관,대한민국 전라남도 목포시 산정동 1749,2019-03-14 2019-12-31
8,전라남도 목포시,34.8097793,126.3752181, 재가복지 밑반찬서비스,목포시종합사회복지관,대한민국 전라남도 목포시 산정동 1749,2019-03-14 2019-12-31
9,전라남도 목포시,34.8097793,126.3752181, 복지식당 ,목포시종합사회복지관,대한민국 전라남도 목포시 산정동 1749,2019-03-14 2019-12-31
10,전라남도 목포시,34.8067998,126.3736203, 미래은빛요양원식이봉사,미래은빛요양원,대한민국 전라남도 목포시 산정동 원산로59번길,2019-03-08 2020-12-31
11,전라남도 목포시,34.8221807,126.4220192, 굿네이버스 전남서부지부  아동권리교육 신규강사 모집,전남서부권아동보호전문기관,대한민국 전라남도 목포시 석현동 815-1,2019-02-21 2019-12-31
12,전라남도 목포시,34.8142529,126.4003951, 교육학습지도등 기타봉사,산돌지역아동센터,대한민국 전라남도 목포시 용해동 360-4,2019-02-20 2019-12-31
13,전라남도 목포시,,, 장애가정청소년 성장멘토링 멘토모집,사)전라남도장애인재활협회,,2019-02-11 2019-11-30
14,전라남도 목포시,34.7921851,126.3846626, 이미용자원봉사,부모섬김전문요양원,대한민국 전라남도 목포시 대안동 9-1,2018-08-06 2019-08-31
