,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,충청남도 천안시,,,  천안비영리컨퍼런스 진행보조 자원봉사자 모집,(재)풀뿌리희망재단,,2019-09-17 2019-09-17
1,충청남도 천안시,,, 년 하반기 주말(토) 봉사자 모집,천안사랑지역아동센터,,2019-09-07 2019-11-30
2,충청남도 천안시,,, 두리사랑주간보호센터 월(학기중)봉사자 모집,두리사랑주간보호센터,,2019-08-22 2019-08-30
3,충청남도 천안시,,, 천안시농아인지회 은빛쉼터 어르신 건강검진 보조 봉사자 모집,천안시수어통역센터,,2019-09-10 2019-11-26
4,충청남도 천안시,,, 소중한 나 만들기 부모자녀 집단 프로그램 자원봉사자 모집,천안시건강가정지원센터,,2019-09-03 2019-09-24
5,충청남도 천안시,,, 경로식당 도우미 봉사자 모집(천안시종합사회복지관),천안시종합사회복지관,,2019-08-20 2019-12-31
6,충청남도 천안시,,, 장애아동 미술치료 프로그램 보조(천안시종합사회복지관),천안시종합사회복지관,,2019-09-04 2019-11-27
7,충청남도 천안시,,, 두리사랑주간보호센터 월(학기중) 봉사자 모집,두리사랑주간보호센터,,2019-09-02 2019-09-30
8,충청남도 천안시,,, 방과 후 돌봄교실 봉사자 모집(천안시종합사회복지관),천안시종합사회복지관,,2019-09-02 2019-12-27
9,충청남도 천안시,,, 아이와 함께하는 체육교실 차 프로그램 보조(천안시종합사회복지관),천안시종합사회복지관,,2019-09-19 2019-10-31
10,충청남도 천안시,,, 아이와 함께하는 요리교실 프로그램 보조(천안시종합사회복지관),천안시종합사회복지관,,2019-09-03 2019-11-19
11,충청남도 천안시,,, 어머니교실 실전편 차(천안시종합사회복지관),천안시종합사회복지관,,2019-09-09 2019-09-30
12,충청남도 천안시,,, 어머니교실 이론편 차(천안시종합사회복지관),천안시종합사회복지관,,2019-09-06 2019-10-04
13,충청남도 천안시,,, 죽음준비학교 아름다운 마무리 제의 인생체험학습(천안시종합사회복지관),천안시종합사회복지관,,2019-09-05 2019-09-05
14,충청남도 천안시,,, 천연용품 만드는 슈퍼우먼 차(천안시종합사회복지관),천안시종합사회복지관,,2019-08-13 2019-09-03
0,충청남도 천안시,,, 추석맞이 소외계층 지원사업 자원봉사자 모집,천안성정종합사회복지관,,2019-09-11 2019-09-11
1,충청남도 천안시,,, 하이렉스파 목욕 봉사활동,충청남도시각장애인복지관,,2019-08-20 2019-12-31
2,충청남도 천안시,,, 쉘위  줌바댄스 교실 보조봉사자 모집,천안성정종합사회복지관,,2019-08-19 2019-12-31
3,충청남도 천안시,,, 천안의료원 진료지원 자원봉사자 모집 ,충청남도 천안의료원,,2019-08-28 2019-08-29
4,충청남도 천안시,,, 빛드림오카리나 동아리 봉사활동,충청남도시각장애인복지관,,2019-08-06 2019-12-31
5,충청남도 천안시,,, 공공형 어린이집 봉사자 모집,천안사랑지역아동센터,,2019-08-06 2019-12-31
6,충청남도 천안시,,, 천안시종합사회복지관 평생교육프로그램 만족도 조사자 모집,천안시종합사회복지관,,2019-08-12 2019-08-23
7,충청남도 천안시,,, 천안시사회복지협의회 ,천안시사회복지협의회,,2019-09-01 2019-09-25
8,충청남도 천안시,,, 천안시종합사회복지관 부설 장애인주간보호센터 봉사자 모집,천안시종합사회복지관,,2019-07-30 2019-12-31
9,충청남도 천안시,,, 학습지원봉사자(자격증시험대비과정),품,,2019-07-25 2019-12-31
10,충청남도 천안시,,, 목욕서비스  자원봉사자 모집,(주)그린케어,,2019-07-17 2019-12-31
11,충청남도 천안시,,, 지역아동 아침밥지원활동 차량지원,사단법인 미래를 여는 아이들,,2019-07-15 2019-12-31
12,충청남도 천안시,,, 백석공동육아나눔터 지킴이 활동가 모집합니다,천안시건강가정지원센터,,2019-07-15 2019-12-31
13,충청남도 천안시,,, 이미용(컷트) 자원봉사자 모집,(주)그린케어,,2019-07-12 2019-12-31
14,충청남도 천안시,,, 개별 학습지도 (수학과학영어),천안여자단기청소년쉼터,,2019-08-01 2019-08-31
0,충청남도 천안시,,, 천안남자단기청소년쉼터] 자원봉사자[멘토링꿈꾸미]를 모십니다 ,천안청소년단기남자쉼터,,2019-07-09 2019-12-31
1,충청남도 천안시,,, 어르신 노래교실 프로그램 자원봉사자 모집,천안성정종합사회복지관,,2019-07-09 2019-12-31
2,충청남도 천안시,,, 찾아가는 생활체육 서비스 스트레칭,충청남도시각장애인복지관,,2019-07-01 2019-12-01
3,충청남도 천안시,,, 이미용 자원봉사자 모집,(주)그린케어,,2019-06-21 2020-06-30
4,충청남도 천안시,,, 이미용(컷트)봉사자 희망합니다,의료법인 해담의료재단,,2019-06-18 2019-12-31
5,충청남도 천안시,,, 도시락 사랑나눔(도시락물품전달 및 말벗),사회복지법인 신창복지재단,,2019-06-13 2019-12-31
6,충청남도 천안시,,, 시설자원봉사,섬김노인복지센터,,2019-06-12 2019-09-30
7,충청남도 천안시,,, 어르신 목욕봉사,섬김노인복지센터,,2019-06-11 2019-09-30
8,충청남도 천안시,,, [천안] 기초한글수학 학습지도 자원봉사자 모집 ,사단법인 한빛회,,2019-06-04 2019-12-31
9,충청남도 천안시,,, 평일)초등 학습지도 봉사모집,솔로몬지역아동센터,,2019-06-03 2019-08-31
10,충청남도 천안시,,, 천안시노인종합복지관 수지침 봉사자 모집,천안시노인종합복지관,,2019-05-28 2019-12-31
11,충청남도 천안시,,, 평일 자원봉사자 모집 ,효누리요양원,,2019-06-01 2019-08-31
12,충청남도 천안시,,, 네일아트 피부관리프로그램 교사 모집,품,,2019-05-03 2019-12-31
13,충청남도 천안시,,, 홈페이지 운영관리자 모집,품,,2019-05-03 2019-12-31
14,충청남도 천안시,,, 천안시종합사회복지관 봉사자 모집,천안시종합사회복지관,,2019-06-03 2019-12-31
0,충청남도 천안시,,, 가정식 조리활동,품,,2019-04-16 2019-12-31
1,충청남도 천안시,,, 수영교실 자원봉사자 모집,충청남도시각장애인복지관,,2019-04-27 2019-10-12
2,충청남도 천안시,,, 년 로즈마리너싱홈에서 봉사자를 모집합니다,로즈마리너싱홈,,2019-01-01 2019-12-31
3,충청남도 천안시,,,  방문공연봉사단체 모집 ,효자의집,,2019-03-26 2020-03-26
4,충청남도 천안시,,, 아우내은빛복지관 경로식당 봉사자 모집,아우내은빛복지관,,2019-01-01 2019-12-31
5,충청남도 천안시,,, 도배 및 장판시공,품,,2019-06-01 2019-11-30
6,충청남도 천안시,,, 아동귀가지도 및 차량운행,천안사랑지역아동센터,,2019-02-23 2020-02-29
7,충청남도 천안시,,, 아기돌보기봉사자를 모집합니다,구세군 아름드리,,2019-03-06 2019-12-18
8,충청남도 천안시,,, 은빛쉼터 무료급식 조리보조 봉사 모집  ,천안시수어통역센터,,2019-02-13 2019-12-31
9,충청남도 천안시,,, 이미용(컷트)봉사자 희망합니다,의료법인 해담의료재단,,2019-01-29 2019-12-31
10,충청남도 천안시,,, 밑반찬배달서비스 반찬준비 및 청소,성환재가노인복지센터,,2019-01-16 2019-12-31
11,충청남도 천안시,,, 천안시노인종합복지관 미용봉사자 모집,천안시노인종합복지관,,2019-01-07 2019-12-31
12,충청남도 천안시,,, 캘리그라피 강사 요청,품,,2019-05-19 2019-12-31
13,충청남도 천안시,,, 장애인목용봉사보조,천안사랑지역아동센터,,2019-01-08 2019-12-31
14,충청남도 천안시,,, 이미용 봉사자 구합니다,동산요양원,,2018-11-08 2019-12-31
0,충청남도 천안시,,, 이미용봉사모집합니다,정다운요양원,,2018-10-22 2019-10-22
1,충청남도 천안시,,, 어르신과 함께하기,천안사랑지역아동센터,,2018-12-27 2019-12-31
2,충청남도 천안시,,, 아동과 놀이주기 프로그램지도 및 환경정리,천안사랑지역아동센터,,2018-09-18 2020-12-31
3,충청남도 천안시,,, 아동학습지도 프로그램 및 환경정리 등,천안사랑지역아동센터,,2018-09-18 2020-12-31
4,충청남도 천안시,,, 아동지도 및 기타시설보조업무,천안사랑지역아동센터,,2018-08-26 2020-12-31
5,충청남도 천안시,,, 밑반찬 만들기 보조업무,한숲복지재단 느티나무노인복지센터,,2014-06-30 9999-12-31
