,지역,시군구,기관,주소
0,강원도,강릉시,강릉경찰서,강원도 강릉시 포남동 교통로 293(포남동 1113)
1,강원도,강릉시,강릉시청,강원도 강릉시 홍제동 강릉시청 1
2,강원도,강릉시,강릉시청 올림픽행사과,강원도 강릉시 강릉대로 33 올림픽행사과
3,강원도,강릉시,강릉시청안전총괄과,강원도 강릉시 강릉대로 33 강릉시청 안전총괄과
4,강원도,강릉시,강릉시청올림픽운영과,강원도 강릉시 강릉대로 33 강릉시청 14층(홍제동)
5,강원도,강릉시,강원도청동계올림픽추진본부총괄기획과,강원도 춘천시 중앙로 1 강원도청 동계올림픽추진본부
6,강원도,강릉시,대한노인회강릉시지회,강원도 강릉시 경강로 1956 노인종합복지관 1층
7,강원도,강릉시,동부지방산림청,강원도 강릉시  종합운동장길 57-14
8,강원도,강릉시,작은샘터회,강원도 강릉시 주문진읍 교항리 87
9,강원도,강릉시,주문진읍사무소,강원도 강릉시 주문진읍 주문리 1033번지
0,강원도,강릉시,강릉교육문화관,강원도 강릉시 노암동 37-1번지
1,강원도,강릉시,강릉교육지원청Wee센터,강원도 강릉시  노암등길  19 강릉교육지원청 강릉Wee센터(3층)
2,강원도,강릉시,강릉문화재단,강원도 강릉시  종합운동장길  84 강릉문화예술관 내 강릉문화재단
3,강원도,강릉시,강릉시립도서관,강원도 강릉시 강릉대로 448
4,강원도,강릉시,강릉시장애인체육회,강원도 강릉시 종합운동장길 69 종합경기장 내 강릉시장애인체육회
5,강원도,강릉시,강릉의제21실천협의회,강원도 강릉시  강릉대로 강릉시청 33 강릉시청 5층
6,강원도,강릉시,공군3155부대,강원도 강릉시 월호평길 117 사서함 334-1호
7,강원도,강릉시,도로교통공단 강릉운전면허시험장,강원도 강릉시 사천면 중앙서로 464
8,강원도,강릉시,여성긴급전화1366,강원도 춘천시 온의동 70-4
9,강원도,강릉시,한국은행 강릉본부,강원도 강릉시  경강로 2063 한국은행 강릉본부
0,강원도,강릉시,가톨릭관동대학교 사회봉사센터,강원도 강릉시 범일로579번길 24 사회봉사센터
1,강원도,강릉시,강릉YMCA,강원도 강릉시 금성로 42 14(임당동)
2,강원도,강릉시,강릉YWCA,강원도 강릉시 교동 8-3번지
3,강원도,강릉시,강릉교육청,강원도 강릉시 노암동 351-19번지
4,강원도,강릉시,강릉시마을만들기지원센터,강원도 강릉시 포남1동 1176번지 풀시터 4층
5,강원도,강릉시,강릉아산병원,강원 강릉시 사천면 강릉아산병원 원무팀 외래unit
6,강원도,강릉시,강릉평생교육정보관,강원 강릉시 노암동 평생교육정보관
7,강원도,강릉시,명주교육도서관,강원 강릉시 주문진읍 교항1리 161번지 명주도서관
8,강원도,강릉시,반야의집,강원도 강릉시 초당동 128-1 초당현대A 101-503
9,강원도,강릉시,오죽헌시립박물관,강원도 강릉시 율곡로3139번길 24 오죽헌시립박물관 학예연구실
0,강원도,강릉시,2013평창동계스페셜올림픽조직위원회,강원도 춘천시 봉의동 중앙로1가 7 강원도개발공사6층
1,강원도,강릉시,강릉스포츠클럽,강원도 강릉시 종합운동장길 32 컬링센터 1층
2,강원도,강릉시,강릉시노인종합복지관,강원도 강릉시  경강로  1937 3 경강로 1956(홍제동 96-54) 강릉시노인종합복지관
3,강원도,강릉시,강릉시정신보건센터,강원도 강릉시 옥천동 강릉시정신보건센터
4,강원도,강릉시,강릉영동대학사회봉사단,강원도 강릉시  공제로 강릉영동대학 357 학생지원과 사회봉사단
5,강원도,강릉시,강원도박중독예방치유센터,강원도 강릉시 교동 982-8번지 2층 한국도박문제관리센터 강원센터
6,강원도,강릉시,강원도보건환경연구원 동부지원,강원도 강릉시 사천면 산대월길 38-9 강원도보건환경연구원 동부지원
7,강원도,강릉시,강원동부보훈지청,강원도 강릉시 동해대로 3310 강원동부보훈지청
8,강원도,강릉시,국립대관령치유의숲,강원도 강릉시 성산면 대관령옛길 127-42 국립대관령치유의숲
9,강원도,강릉시,북부노인종합복지관,강원도 강릉시 연주로 230 (연곡면)
0,강원도,강릉시,강릉문화원,강원도 강릉시 하슬라로 96
