,지역,시군구,기관,주소
0,강원도,고성군,DMZ박물관,강원도 고성군 현내면 통일전망대로 369 강원도디엠제트박물관
1,강원도,고성군,건강가정.다문화가족지원센터,강원도 고성군 간성읍 상리 210-1 건강가정지원센터
2,강원도,고성군,고성경찰서,강원도 고성군  탑동길 12 고성경찰서
3,강원도,고성군,고성교육지원청 Wee센터,강원도 고성군 간성읍 간성로 80 Wee센터
4,강원도,고성군,고성군립 간성도서관,강원도 고성군 간성읍 쇠롱골길 17 고성군립 간성도서관
5,강원도,고성군,고성군정신건강복지센터,강원도 고성군 간성읍 수성로 30 보건소 2층 정신건강복지센터
6,강원도,고성군,고성군지체장애인협회,강원도 고성군 죽왕면 가진리 고성군지체장애인협회
7,강원도,고성군,고성보건소,강원도 고성군 간성읍 신안리
8,강원도,고성군,재미난 지역아동센터,강원도 고성군 토성면 아야진길 55-3 재미난지역아동센터
9,강원도,고성군,토성공공도서관,강원도 고성군 토성면 토성로 167-6 토성공공도서관
0,강원도,고성군,간성전통시장조합상인회,강원도 고성군 간성읍 간성시장2길 9-2 간성시장 고객지원센타
1,강원도,고성군,고성노인복지센터,강원도 고성군 거성길 3 고성노인복지센터(거성초등학교 입구)
2,강원도,고성군,고성연화마을,강원도 고성군  건봉사로 388 연화마을 건봉사로 388 고성연화마을
3,강원도,고성군,고성진로체험지원센터,강원도 고성군 토성면 봉포4길 46 경동대학교 충효관 1316호
4,강원도,고성군,꿈동산지역아동센터,강원도 고성군 토성면 천진7길 12 꿈동산 지역아동센터
5,강원도,고성군,수성주간노인복지센터,강원도 고성군 향목길 42-2
6,강원도,고성군,열린지역아동센터,강원도 고성군 현내면 한나루로 67 현내면사무소2층 열린지역아동센터
7,강원도,고성군,하늘땅지역아동센터,강원도 고성군 거진읍 거진시장길 15-1 하늘땅지역아동센터
