,지역,시군구,기관,주소
0,강원도,속초시,WeStart속초마을운영센터,강원 속초시 청호동 444-8번지
1,강원도,속초시,강원도속초양양교육지원청Wee센터,강원 속초시 교동 767~800 미시로 261 (교동 76-1) 속초양양교육지원청
2,강원도,속초시,강원진로교육원,강원도 속초시 미시령로3337번길 30 강원진로교육원
3,강원도,속초시,속초교육문화관,강원도 속초시  번영로 82 속초교육문화관
4,강원도,속초시,속초시드림스타트,강원도 속초시  청초호반로 201 2층 드림스타트
5,강원도,속초시,속초시정보스포츠센터,강원도 속초시  조양로 89 속초시정보스포츠센터
6,강원도,속초시,속초시청,강원도 속초시 중앙동 속초시청 시청
7,강원도,속초시,속초양양교육지원청 교육과,강원도 속초시 미시령로 3336 3층 교육과
8,강원도,속초시,속초우체국,강원도 속초시 중앙동 468-9
9,강원도,속초시,속초해양경찰서,강원도 속초시 동명동 0
0,강원도,속초시,강원도속초양양교육지원청 교육과,강원도 속초시 미시령로 3336 3층 교육과
1,강원도,속초시,대한적십자사 속초지구협의회,강원도 속초시 해오름로 34 대포동
2,강원도,속초시,사)한국시각장애인연합회 속초지회,강원도 속초시 중앙로 12-5 사)한국시각장애인연합회속초지회
3,강원도,속초시,설악산국립공원,강원도 속초시 설악동 43-1
4,강원도,속초시,속초시드림스타트센터,강원 속초시 교동 668-32 근로자종합복지관 2층 드림스타트센터
5,강원도,속초시,속초시립박물관,강원도 속초시 노학동 신흥길16
6,강원도,속초시,속초시보건소,강원도 속초시 교동 980번지
7,강원도,속초시,속초시장애인체육회,강원도 속초시  관광로363번길 92 속초시장애인체육회
8,강원도,속초시,적십자,강원도 속초시 만리공원길 6 3동 102호
9,강원도,속초시,조양자율방범대,강원도 속초시 동해대로 4170-4
0,강원도,속초시,(사)강원산림교육전문가협회,강원도 양양군 양양읍 송암길 13-17 3층 사무실
1,강원도,속초시,국립산악박물관,강원도 속초시  미시령로 3054 국립산악박물관
2,강원도,속초시,사)한국시각장애인연합회 속초지회,강원도 속초시  중앙로 12-5
3,강원도,속초시,설악문화재단,강원도 속초시  관광로 439 설악문화센터
4,강원도,속초시,속초시 다함께돌봄센터,강원도 속초시 청호로3길 57 아동청소년문화의집 1층 속초시 다함께돌봄센터
5,강원도,속초시,속초시건강가정.다문화가족지원센터,강원도 속초시 도리원길 5 (경동대학교 속초캠퍼스 유아교육관 2층)
6,강원도,속초시,속초시어린이급식관리지원센터,강원도 속초시  농공단지1길 4 동해안젓갈콤플렉스센터 3층 속초시어린이급식관리지원센터
7,강원도,속초시,속초시유기동물보호소,강원도 속초시 대포동 159-13
8,강원도,속초시,속초시지속가능발전협의회,강원도 속초시  동해대로 4223 2층
9,강원도,속초시,영랑동명자율방범대,강원도 속초시 우렁길 17 437-6
0,강원도,속초시,교동.노학자율방범대,강원도 속초시 동해대로 4229 1층
1,강원도,속초시,들꽃향기 작은도서관,강원도 속초시 영랑로 15-23 들꽃향기 작은도서관
2,강원도,속초시,부모사랑복지센터,"강원도 속초시 청대로 4 210호(조양동, 성호@상가2층)"
3,강원도,속초시,속초보광병원,강원도 속초시 중앙로 11 속초보광병원 총무팀
4,강원도,속초시,속초시노인종합복지회관,강원도 속초시 교동 979 속초시노인종합복지회관 1층
5,강원도,속초시,속초시정신건강증진센터,강원도 속초시  중앙로17번길 6 속초시정신건강증진센터
6,강원도,속초시,속초연탄은행,강원도 속초시 교동 168-8번지 속초연탄은행
7,강원도,속초시,속초우리요양병원,강원도 속초시 온천로 291 (교동)
8,강원도,속초시,신흥사불교대학원각사,강원도 속초시 번영로179번길 10 신흥사불교대학원각사
9,강원도,속초시,작은도서관 The Book,강원도 속초시 동해대로 4166 작은도서관 The Book
0,강원도,속초시,보광실버홈(노인장기요양기관),강원도 속초시  중앙로 11 길(교동) 보광병원 5층
1,강원도,속초시,부모사랑복지센터,"강원도 속초시 청대로 4 210호 (조양동,성호아파트1단지상가)"
2,강원도,속초시,사단법인하트포칠드런속초지부,강원도 속초시  선사로1길 33-1 사단법인하트포칠드런속초지부(속초 풀잎문화센터속초지부)
3,강원도,속초시,아우름장애인자립생활센터,강원도 속초시 원암학사평길 62 아우름장애인자립생활센터
4,강원도,속초시,예람노인주간보호센터,강원도 속초시  밤골2길 7-1 예람노인주간보호센터
5,강원도,속초시,참사랑홈케어노인복지센터,강원도 속초시  원암학사평길 112 참사랑홈케어노인복지센터
