,지역,시군구,기관,주소
0,강원도,영월군,내성초등학교,강원도 영월군 내성안길 9 내성초등학교
1,강원도,영월군,라디오스타사회적협동조합,강원도 영월군 금강공원길 84-3
2,강원도,영월군,산솔지역아동센터,강원도 영월군 중동면 태백산로 1199-1 1층
3,강원도,영월군,영월경찰서,강원도 영월군 영월읍 영흥2리 947-1
4,강원도,영월군,영월군자원봉사센터,강원도 영월군 단종로16번길 18-5 여성회관 3층 영월군자원봉사센터 3층
5,강원도,영월군,영월군청,강원 영월군 영월읍 하송5리 242
6,강원도,영월군,영월소방서,강원도 영월군 영월읍 영월로  1863 영월소방서
7,강원도,영월군,영월의료원,강원도 영월군 중앙1로 59
8,강원도,영월군,월드프렌즈 영월교육원,강원도 영월군 주천면 다래골길 53 월드프렌즈 영월교육원
9,강원도,영월군,이든샘 지역아동센터,강원도 영월군 김삿갓면 영월동로 1646 옥동리 391
0,강원도,영월군,구세군영월,강원 영월군 영월읍 하송리 217 구세군 영월교회
1,강원도,영월군,영월군다문화가족지원센터 공동육아나눔터,강원도 영월군 영월읍 덕포하리2길 20
2,강원도,영월군,영월아프리카미술박물관,강원도 영월군 영월동로 1107-1
