,지역,시군구,기관,주소
0,강원도,원주시,원주경찰서,강원도 원주시 봉산로 1 원주경찰서
1,강원도,원주시,원주공업고등학교,강원도 원주시 고문골길 54 상담실
2,강원도,원주시,원주교육지원청 Wee센터,강원도 원주시 단구로 151
3,강원도,원주시,원주시 대중교통과,강원도 원주시 시청로 1
4,강원도,원주시,원주시 창의문화도시지원센터,강원도 원주시 단구로 170 따뚜공연장 1층
5,강원도,원주시,원주시립도서관,강원도 원주시 서원대로 472-12 원주시립도서관
6,강원도,원주시,원주시청안전총괄과,강원도 원주시 시청로 1 원주시청 안전총괄과
7,강원도,원주시,원주우편집중국,강원도 원주시 이화1길 27
8,강원도,원주시,원주지방환경청,강원도 원주시 입춘로 65
9,강원도,원주시,한국농어촌공사 원주지사,강원도 원주시 문막읍 문막시장1길 9
0,강원도,원주시,강릉원주대학교부설유치원,강원도 원주시 흥업면  강릉원주대학교원주캠퍼스 강릉원주대학교부설유치원
1,강원도,원주시,강원도원주의료원,강원도 원주시 서원대로 387 보건의료복지통합지원센터
2,강원도,원주시,건강보험심사평가원,강원도 원주시 혁신로 60
3,강원도,원주시,기후변화대응교육연구센터,강원도 원주시  행구로 360 기후변화대응교육연구센터 101호
4,강원도,원주시,대한적십자사 혈액관리본부,강원도 원주시  혁신로 50
5,강원도,원주시,아우름 도서관,강원도 원주시 흥업면 남원로 105
6,강원도,원주시,원주교도소,강원도 원주시 북원로 2155 원주교도소
7,강원도,원주시,원주교육문화관,강원도 원주시 북원로 2312 원주교육문화관
8,강원도,원주시,원주시지역사회보장협의체,강원도 원주시 갈머리2길 31
9,강원도,원주시,한국관광공사,강원도 원주시  세계로 10 한국관광공사 국내스마트관광팀
0,강원도,원주시,강원남부해바라기센터,강원도 원주시 일산로 20 문창모 기념관 5층
1,강원도,원주시,국공립 웨스포어린이집,강원도 원주시 우산공단길 24
2,강원도,원주시,대성고등학교,강원도 원주시 북원로 2001
3,강원도,원주시,무실빛유치원,강원도 원주시 지니기길 11-18
4,강원도,원주시,문막교육도서관,강원도 원주시 문막읍 문막시장1길 76-6
5,강원도,원주시,원주시장애아동체력증진실,강원도 원주시 흥업면 연세대길 1 장애아동체력증진실
6,강원도,원주시,원주시청소년성문화센터,강원도 원주시 단계동 909 원주시청소년수련관 1층
7,강원도,원주시,원주영상미디어센터,강원 원주시 일산동 211번지 건강문화센터4층
8,강원도,원주시,원주청소년문화의집,강원도 원주시  백간길 119 원주청소년문화의집(학성동)
9,강원도,원주시,판부문화의집,강원도 원주시 치악로 1503 2층 판부문화의집
0,강원도,원주시,그루터기 작은도서관,강원도 원주시 시청로 524-44
1,강원도,원주시,모니카의집,강원도 원주시 개륜1길 65
2,강원도,원주시,사)한국지체장애인협회 강원도협회 원주시지회,강원도 원주시 갈머리2길 31 203호
3,강원도,원주시,소초면주민자치위원회,강원도 원주시 소초면 평장동길 86-16 소초면주민자치센터
4,강원도,원주시,원주소비자시민모임,강원도 원주시 중앙로 83 밝음신협 501호
5,강원도,원주시,원주의료복지사회적협동조합,강원도 원주시 중앙로 83 3층
6,강원도,원주시,원주작은도서관,강원도 원주시 치악로 1878-6 원주작은도서관
7,강원도,원주시,중흥도서관 북적북적,강원도 원주시 배울로 24
8,강원도,원주시,학교폭력피해자가족협의회 강원지부,강원도 원주시 단관길 102 2층
9,강원도,원주시,한국청소년지원연구소,강원도 원주시 이화1길 38-17
0,강원도,원주시,(재)대한걷기연맹,강원도 원주시 서원대로 311 원주종합운동장 2층
1,강원도,원주시,노인요양공동생활가정 평화의집,강원도 원주시 소초면 현촌길 65
2,강원도,원주시,부승노인전문요양원(본점),강원도 원주시 평원로 100
3,강원도,원주시,사회복지법인 해오름어린이집,강원도 원주시 탑두둑길 92
4,강원도,원주시,연봉정 농촌체험 휴양마을,강원도 원주시 신림면 연봉정길 48-18
5,강원도,원주시,원주소망주기복지센터,강원도 원주시 단계동 806번지
6,강원도,원주시,지혜누리작은도서관,강원도 원주시 시청로 24 603호
7,강원도,원주시,지혜누리작은도서관,강원도 원주시 시청로 24 더큼프라자 6층 603호 지혜누리작은도서관
8,강원도,원주시,천사들의집,강원도 원주시 개륜1길 63
9,강원도,원주시,행복요양원,강원도 원주시 송림길 18 2층
0,강원도,원주시,단성주간보호,강원도 원주시 원문로100번길 2-55
1,강원도,원주시,무실지역아동센터,강원도 원주시 무실로 380 102동 102호
2,강원도,원주시,원주YWCA,강원도 원주시 천사로 190
3,강원도,원주시,원주시장애인가족지원센터,강원도 원주시 치악로 2050 관리동 1층
4,강원도,원주시,원주실버데이케어센터,강원도 원주시 늘품로 168 현대빌딩 2~3층
5,강원도,원주시,원주청소년의집,강원도 원주시 원문로69번길 23
6,강원도,원주시,의료법인와이의료재단 문막요양병원,강원도 원주시 문막읍 문막시장1길 16
7,강원도,원주시,행복가득 작은도서관,강원도 원주시 흥업면 남원로 71 2층
