,지역,시군구,기관,주소
0,강원도,인제군,강원도 인제군 인제경찰서,강원도 인제군 인제읍 인제경찰서
1,강원도,인제군,강원도인제교육지원청 Wee센터,강원도 인제군 인제읍 인제로193번길 15 인제교육지원청 Wee센터
2,강원도,인제군,남면경로당,강원도 인제군 남면 신남리 사서함 256번지
3,강원도,인제군,내린천노인요양원,강원도 인제군 기린면 내린천로 3760 내린천노인요양원 3층 사무실
4,강원도,인제군,내설악예술인촌 공공미술관,강원도 인제군 북면 예술인촌길 66-12 내설악예술인촌 공공미술관
5,강원도,인제군,북면청소년문화의집,강원도 인제군 북면 금강로 60-23 북면청소년문화의집
6,강원도,인제군,사)한국시각장애인협회 인제군지회,강원도 인제군 인제읍 인제로103번길 30-6
7,강원도,인제군,응봉어린이집,강원도 인제군 남면 응봉길 51 응봉아파트 203동 1층
8,강원도,인제군,인제군드림스타트센터,강원도 인제군 인제읍 비봉로 44번길 100
9,강원도,인제군,인제군장애인보호작업장,강원도 인제군 인제읍 비봉로30번길 58
0,강원도,인제군,(사)한국청소년육성회 인제지구회,강원도 인제군 인제읍 인제로 209 9
1,강원도,인제군,강원도농아인협회 인제군지회,강원도 인제군 인제읍 인제로 166-11 1층
2,강원도,인제군,글라렛재가복지센터,강원 인제군 북면 월학리 1849-6번지
3,강원도,인제군,만해마을,강원도 인제군 북면 용대리 사서함 만해마을
4,강원도,인제군,사단법인 내린천약수길,강원도 인제군 기린면 내린천로 4096-3 백두대간트레일 안내센터
5,강원도,인제군,산책작은도서관,강원도 인제군 인제읍 점봉산로 126-6
6,강원도,인제군,설악산배움터,강원도 인제군 북면 원통5리 금강로 33번길 9-6번지
7,강원도,인제군,애향원,강원 인제군 기린면 북리 431 애향원
8,강원도,인제군,인제군사회복지협의회,강원도 인제군 인제읍 상동리 43-1
9,강원도,인제군,인제군청재난관리과,강원도 인제군 인제읍 상동리 인제군청 .
0,강원도,인제군,(재)인제군문화재단,강원도 인제군 인제읍 남북리 하늘내린센터
1,강원도,인제군,북면사무소,강원도 인제군 북면 용대리 사서함 637번지
