,지역,시군구,기관,주소
0,강원도,철원군,민주평화통일자문회의 철원군협의회,강원도 철원군 갈말읍 삼부연로 28번길 27(철원군청 제2별관 2층)
1,강원도,철원군,사)강원도농아인협회철원군지회,강원도 철원군 금학로 169-5
2,강원도,철원군,철원경찰서,강원도 철원군 삼부연로 35
3,강원도,철원군,철원군드림스타트,강원도 철원군 서면 와수로136번길 3 철원군드림스타트
4,강원도,철원군,철원군어린이급식관리지원센터,강원도 철원군 금학로330번길 12
5,강원도,철원군,철원군자원봉사센터,강원도 철원군 삼부연로28번길 27 철원군청 제2별관 2층 철원군자원봉사센터
6,강원도,철원군,철원군청,강원도 철원군 갈말읍 삼부연로 51 .
7,강원도,철원군,철원군청(관광문화체육과),강원도 철원군 갈말읍 삼부연로 51 관광문화체육과
8,강원도,철원군,철원군청안전총괄과,강원도 철원군 삼부연로 51 철원군청 안전총괄과
9,강원도,철원군,철원소방서,강원도 철원군 태봉로 1504
0,강원도,철원군,(사)대한노인회철원군지회,강원도 철원군 갈말읍 삼부연로28번길 29 (사)대한노인회철원군지회
1,강원도,철원군,갈말도서관,강원도 철원군 갈말읍 명성로179번길 21 갈말도서관
2,강원도,철원군,강원도철원교육지원청Wee센터,강원도 철원군 명성로179번길 27
3,강원도,철원군,대한법률구조공단 철원지소,강원도 철원군 갈말읍 삼부연로 51 철원군청내 1층 (철원군의회건물)
4,강원도,철원군,와수초등학교,강원도 철원군 서면 와수로 119 와수초등학교
5,강원도,철원군,철원군농업기술센터,강원도 철원군 장흥로 311 철원군농업기술센터
6,강원도,철원군,철원군드림스타트 철원군소,강원도 철원군 금학로279번길 15
7,강원도,철원군,철원군보건소,강원도 철원군 갈말읍 군탄로 16
8,강원도,철원군,철원군체육회,강원도 철원군 갈말읍 갈말로 53-1 철원군체육회
9,강원도,철원군,철원중학교,강원도 철원군 철원읍 화지 8리 54
0,강원도,철원군,(주)철원아이사랑,강원도 철원군 금학로 152
1,강원도,철원군,다사랑외국인센터,강원도 철원군 갈말읍 명성로158번길 52 2층
2,강원도,철원군,은혜장애인요양원,강원도 철원군 텃골1길 19
3,강원도,철원군,철원가정폭력상담소,강원도 철원군 갈말읍 텃골3길 17 철원가정폭력상담소
4,강원도,철원군,철원군건강가정.다문화가족지원센터,강원도 철원군 삼부연로17번안길 22-1
5,강원도,철원군,철원군노인전문요양원,강원도 철원군 동온동길 177
6,강원도,철원군,철원사랑요양원재가복지센터,강원도 철원군 동송읍 상노2길 42 2층
7,강원도,철원군,철원시각장애인연합회,강원도 철원군 금학로 169-5 철원군장애인연합회 시각장애인이동지원센터
8,강원도,철원군,철원종합문화복지센터,강원도 철원군 철원읍 금학로330번길 12 철원종합문화복지센터
9,강원도,철원군,철원초등학교,강원도 철원군  금학로 297-18 철원초등학교
0,강원도,철원군,강원도장애인복지관철원분관,강원도 철원군 와수로136번길 5
1,강원도,철원군,강원철원지역자활센터,강원도 철원군 갈말읍 호국로 5014 2층
2,강원도,철원군,사)철원군장애인연합회,강원도 철원군 금학로 169-5 2층
3,강원도,철원군,성산요양원,강원도 철원군 와수로367번길 54
4,강원도,철원군,이웃사랑무료식탁,강원도 철원군 오덕로 10 이웃사랑무료식탁
5,강원도,철원군,철원군새마을회,강원도 철원군 삼부연로17번안길 22-1 철원군새마을회
6,강원도,철원군,철원병원,강원도 철원군 갈말읍 명성로 208 철원병원
7,강원도,철원군,철원사랑요양원,강원도 철원군 상노2길 42
8,강원도,철원군,철원요양병원,강원도 철원군 금학로157번길 23-17 철원요양병원
9,강원도,철원군,행복한요양원,강원도 철원군 김화로 416
0,강원도,철원군,(사)철원군지체장애인협회,강원도 철원군 금학로 169-5 철원군장애인연합회 철원군지체장애인협회
1,강원도,철원군,꽃다지지역아동센터,강원도 철원군 와수1로 98
2,강원도,철원군,다솜장애인공동생활가정,강원도 철원군 김화읍 망경동길 3-43 .
3,강원도,철원군,몬띠노인요양원,강원도 철원군 자등로 140
4,강원도,철원군,문혜장애인요양원,강원도 철원군 갈말읍 텃골1길 13 문혜장애인요양원
5,강원도,철원군,부모사랑요양센터,강원도 철원군 오덕로30번길 7
6,강원도,철원군,엘림노인복지센터,강원도 철원군 이평2로 31
7,강원도,철원군,움사랑지역아동센터,강원도 철원군 군탄로8번길 14
8,강원도,철원군,장수식당 무료급식소,강원도 철원군 갈말읍 삼부연로28번길 29 철원군노인회관 1층 무료급식소
9,강원도,철원군,희망지역아동센터,강원도 철원군 태봉로 2349
