,지역,시군구,기관,주소
0,강원도,태백시,강원도태백교육청,강원도 태백시 장성동 하장성 1길 14
1,강원도,태백시,대한노인회태백시지회,강원도 태백시 광장로 45 태백시노인회관
2,강원도,태백시,재난관리과,강원도 태백시 태붐로 21 태백시청 별관3층
3,강원도,태백시,태백교육도서관,강원도 태백시  태백로 1126
4,강원도,태백시,태백문화원,강원도 태백시  태백로 1136 태백문화원
5,강원도,태백시,태백시 문화사업소 태백산소드림도서관,강원도 태백시 장수길 33 태백산소드림도서관
6,강원도,태백시,태백시립도서관,강원도 태백시 평화길 12 태백시립도서관
7,강원도,태백시,태백시안전총괄과,강원도 태백시  태붐로 21 태백시청 안전총괄과
8,강원도,태백시,태백시종합실버복지타운,강원도 태백시 문곡동 4-9 태백시 종합실버복지타운
9,강원도,태백시,통리지역아동센터,강원도 태백시 통리길 67-1 통리지역아동센터
0,강원도,태백시,(사)태백생명의숲국민운동,강원도 태백시 연지로 17 3층
1,강원도,태백시,24시 노인상담센터,강원도 태백시  황지로 98 4층
2,강원도,태백시,강원도지적장애인복지협회 태백시지부,강원도 태백시  계산1길 48 강원도지적장애인복지협회 태백시지부
3,강원도,태백시,신나는집지역아동센터,강원도 태백시 상장로 36-1 태백성공교회 신나는집지역아동센터
4,강원도,태백시,철암도서관,강원도 태백시  피내골길 23
5,강원도,태백시,태백석탄박물관,강원도 태백시  천제단길 195
6,강원도,태백시,태백시노인복지관,강원도 태백시  황장목이길 23 태백시노인복지관 문곡동
7,강원도,태백시,태백시다문화가족지원센터,강원도 태백시 해지개길 41 태백연동교회
8,강원도,태백시,태백시정신건강복지센터,강원도 태백시 태백로 905 보건소
9,강원도,태백시,태백시청소년수련시설,강원도 태백시  번영로 224 청소년장학센 태백시청소년수련시설
0,강원도,태백시,꿈나무집 지역아동센터,강원도 태백시  학마을길 101 꿈나무집 지역아동센터
1,강원도,태백시,넓은세상 지역아동센터,강원도 태백시  번영로 287 태백중앙교회 넓은세상 지역아동센터
2,강원도,태백시,다같이효종합복지센터,강원도 태백시  보드미길 40 태백시근로자종합복지관 다같효종합복지센터
3,강원도,태백시,안식의 집,강원도 태백시  문화로 25 안식의집
4,강원도,태백시,태백가정폭력상담소,강원도 태백시  보드미길 40 태백시근로자종합복지관 태백가정폭력상담소(2층)
5,강원도,태백시,태백노인복지센터,강원도 태백시 황지로 99 (황지동)
6,강원도,태백시,태백시실버요양원,강원도 태백시황장목이길 23 실버요양원 태백시실버요양원
7,강원도,태백시,태백시어린이급식관리지원센터,강원도 태백시  대학길 97 강원관광대학 관광관1층 태백시어린이급식관리지원센터
8,강원도,태백시,행복한지역아동센터,강원도 태백시 황지로 77 -1
9,강원도,태백시,희망둥지지역아동센터,강원도 태백시  서황지로2길 12 사회봉사관
0,강원도,태백시,도시과,강원도 태백시 상장동 태백시청 244-3
1,강원도,태백시,삼육지역아동센터,강원도 태백시 청솔길 13 삼육미래클어린이집
2,강원도,태백시,소도지역아동센터,강원도 태백시 버들치길 10 2층
3,강원도,태백시,월드비전꽃때말지역아동센터,강원도 태백시 장성1길 102-5 꽃때말공부방
4,강원도,태백시,태백고원축구구장,강원도 태백시 문곡동 고원축구구장
5,강원도,태백시,태백시강원랜드장난감도서관,강원도 태백시 황지북2길 6 황지교회사회복지관1층
6,강원도,태백시,태백시종합운동장,강원도 태백시 문곡동 종합운동장
7,강원도,태백시,태백시청민방위과,강원도 태백시 상장동 태백시청민방위과
8,강원도,태백시,태백시청스포츠산업과,강원 태백시 상장동 태백시청 244-3
9,강원도,태백시,햇빛나눔노인복지센터,강원도 태백시 서학1길 58 사랑의도시락
0,강원도,태백시,강원케어센터,강원도 태백시 철암동 산61-13 강원케어센터
1,강원도,태백시,상장동동사무소,강원도 태백시 상장동 상장동사무소
2,강원도,태백시,태백경찰서,강원도 태백시 장성동 태백경찰서 48
3,강원도,태백시,태백소방서,강원도 태백시 상장동 212-2
4,강원도,태백시,태백시주민생활지원과,강원도 태백시 상장동 태백시청 244-1
5,강원도,태백시,태백장애인종합복지관,강원 태백시 금천동 15 번지
