,지역,시군구,기관,주소
0,경기도,가평군,가평경찰서,경기 가평군 가평읍 가평경찰서 가화로 61
1,경기도,가평군,가평교육지원청,경기도 가평군 가평읍 향교로 17 가평교육지원청
2,경기도,가평군,가평소방서,경기도 가평군 가평읍 가화로 36 가평소방서
3,경기도,가평군,가평중학교,경기도 가평군 광장로 10 가평중학교
4,경기도,가평군,사)대한노인회가평군지회노인취업지원센터,경기도 가평군 가평읍 대곡리 13-4
5,경기도,가평군,상면보건지소,경기도 가평군 상면 청군로 1099
6,경기도,가평군,상면사무소,경기도 가평군 상면 청군로 1105 상면사무소
7,경기도,가평군,청평중학교,경기도 가평군 골안길 7 청평중학교
8,경기도,가평군,청평초등학교,경기도 가평군 청평면 잠곡로 27
9,경기도,가평군,한솔너싱홈청평센터,경기도 가평군 청평면 삼회리 189-51
0,경기도,가평군,가평군보건소,경기도 가평군 가평읍 가화로 155-18 가평군보건소
1,경기도,가평군,가평군시설관리공단가평체육관,경기도 가평군 문화로 131 가평체육관
2,경기도,가평군,가평군청소년문화의집,경기도 가평군 가평읍 문화로 120 청소년문화의집
3,경기도,가평군,가평군평생학습센터,경기도 가평군 가평읍 석봉로 181 가평군청
4,경기도,가평군,가평마장초등학교,경기도 가평군 가평읍 각담말길 15 가평마장초등학교
5,경기도,가평군,가평문화예술회관,경기도 가평군 가평읍 문화로 131 가평문화예술회관
6,경기도,가평군,가평유치원,경기도 가평군 가평읍 향교로 23-3 가평유치원
7,경기도,가평군,경기도 산림환경 연구소,경기도 가평군 상면 축령로 289-146 경기도 잣향기 푸른숲
8,경기도,가평군,청평도서관,경기도 가평군 청평면 은고개로 31
9,경기도,가평군,청평면사무소,경기도 가평군 은고개로 19 청평면사무소
0,경기도,가평군,가평군다문화가족지원센터,경기도 가평군 향교로 38 가평군청서고 2층
1,경기도,가평군,가평군어린이급식관리지원센터,경기도 가평군 가평읍 연인길 6 2층 어린이급식관리지원센터
2,경기도,가평군,가평문화원,경기도 가평군 문화로 131 가평문화원
3,경기도,가평군,가평어린이집,경기도 가평군 가평읍 가화로 163
4,경기도,가평군,가평역,경기도 가평군 문화로 13-42
5,경기도,가평군,가평자원순환센터,경기도 가평군 가평읍 상색리 509
6,경기도,가평군,가평초등학교 교육복지실,경기도 가평군 가평읍 향교로 23-2 가평초등학교
7,경기도,가평군,반딧불정보화마을,경기도 가평군 설악면 묵안로 182 반딧불 정보화마을
8,경기도,가평군,연인산도립공원,경기도 가평군 가평읍 용추로 229-41 연인산도립공원 탐방안내소
9,경기도,가평군,재단법인가평군복지재단,경기도 가평군 연인2길 13-8 3층
0,경기도,가평군,가평군건강가정지원센터,경기도 가평군 가평읍 읍내리 528 행정정보관 2층
1,경기도,가평군,가평군립조종도서관,경기도 가평군 하면 조종희망로26번길 22 가평군립조종도서관
2,경기도,가평군,가평군시설관리공단,경기도 가평군 가평읍 문화로 131 가평군시설관리공단
3,경기도,가평군,가평군청소년상담복지센터,경기도 가평군 가평읍 문화로 120 가평군청소년문화의집 1층
4,경기도,가평군,가평여성회관,경기 가평군 가평읍 대곡리 문화로 131
5,경기도,가평군,설악어린이집,경기도 가평군 설악면 한서로 18-16 설악어린이집
6,경기도,가평군,조종면사무소,경기도 가평군 조종면 조종희망로26번길 25 조종면행정복지센터
7,경기도,가평군,조종어린이집,경기도 가평군 조종희망로 26 하면어린이집
8,경기도,가평군,한석봉도서관,경기 가평군 가평읍 읍내리 366번지
9,경기도,가평군,햇살공부방,경기 가평군 하면 현리 567-7  하면 사무소 내
0,경기도,가평군,(사)경기도시각장애인연합회가평군지회,경기도 가평군 가평읍 비석거리길 4-11 (사)경기도시각장애인연합회가평군지회
1,경기도,가평군,가평군노인복지관,경기도 가평군 가평읍 가화로 161 가평군노인복지관
2,경기도,가평군,가평마을교육공동체,경기도 가평군 조종면 청군로 1187 가평마을교육공동체
3,경기도,가평군,가평삼회 생태복원시범지구 탐방객센터,경기도 가평군 청평면 178-2
4,경기도,가평군,꿈에그린어린이집,경기도 가평군 조종면 청군로 1149 꿈에그린 어린이집
5,경기도,가평군,대한노인회가평군지회,경기도 가평군 가평읍 가화로 161 노인복지관 3층
6,경기도,가평군,또래지역아동센터,경기도 가평군 조종면 조종새싹로 49 또래지역아동센터
7,경기도,가평군,새나래어린이집,경기도 가평군 갈오현로 21 새나래어린이집
8,경기도,가평군,하늘땅연극마을,경기도 가평군 가평읍 북한강변로 729-187 하늘땅연극마을
9,경기도,가평군,한강지키기운동본부가평지회,경기도 가평군 설악면 유명로 1641-5
0,경기도,가평군,가평군어린이집연합회,경기도 가평군 정간내로19번길 22 어린이집
1,경기도,가평군,가평군정신건강증진센터,경기도 가평군 가화로 155-15 가평군건강증진센타
2,경기도,가평군,다문화교류센터,경기도 가평군 신천중앙로 137 골목집 다문화교류센터
3,경기도,가평군,설미재미술관,경기도 가평군 유명로 1454-38 설미재미술관
4,경기도,가평군,설악마을공동체,경기도 가평군 신천중앙로 138 설악마을공동체
5,경기도,가평군,청정가평지속가능발전협의회,경기도 가평군 가평읍 보납로 12 청정가평지속가능발전협의회
6,경기도,가평군,포도향이흐르는마을,경기도 가평군 음지말로 6 포도향이흐르는마을
7,경기도,가평군,한국예총가평지회,경기도 가평군 문화로 131 문화예술회관1층 한국예총
8,경기도,가평군,한국청소년희망캠프,경기도 가평군 잠곡로 10 2층
9,경기도,가평군,행복한어르신재가복지센터,경기도 가평군 신천중앙로 79 행복한 어르신 재가복지센터
0,경기도,가평군,가평효사랑요양원,경기도 가평군 용추로 6
1,경기도,가평군,공동육아아이터,경기도 가평군 북면 석장모루길 11 2층
2,경기도,가평군,노병사의집,경기도 가평군 조종면 운악청계로491번길 106 노병사의 집
3,경기도,가평군,라온어린이집,경기도 가평군 문화로 63 102동 103호 라온어린이집
4,경기도,가평군,사회복지법인첨심복지재단청심빌리지,경기도 가평군 설악면 미사리로 191-16 청심빌리지 실버타운 (사회복지법인 청심복지재단)
5,경기도,가평군,새터전작은도서관,경기도 가평군 가평읍 새말옛로6번길 17-1 새터전작은도서관
6,경기도,가평군,오픈놀리지,경기도 가평군 설악면 산 102번지 청심국제중고등학교
7,경기도,가평군,우리향기노인요양센터,경기도 가평군 북한강로1604번길 64-27 노인요양센터 우리향기
8,경기도,가평군,청심공부방,경기도 가평군 신천중앙로132번길 4 설악떡방앗간 2층
9,경기도,가평군,청평면재가노인복지센터,경기도 가평군 청평면 청평중앙로 64 청평재가복지센터
0,경기도,가평군,가평군교통약자이동지원센터,경기도 가평군 청평면 청평중앙로82번길 21-1 2층
1,경기도,가평군,가평군장애인복지관,경기도 가평군 가평읍 석봉로 191번길 65-19
2,경기도,가평군,사랑의동산어린이집,경기도 가평군 청평면 청평중앙로 39-1 사랑의동산어린이집
3,경기도,가평군,설악지역아동센터,경기도 가평군 탐선길 16
4,경기도,가평군,이레요양원,경기도 가평군 설악면 유명로 1277-26
5,경기도,가평군,작은예수회현리요셉의집,경기도 가평군 하면 현리 작은예수회현리요셉의집
6,경기도,가평군,참좋은주야간보호센터,경기도 가평군 조종면 연등길 32 참좋은주야간보호센터
7,경기도,가평군,청평문화예술학교,경기도 가평군 가평읍 문화로 131 가평문화예술회관 내
8,경기도,가평군,하누리재가복지센터,경기도 가평군 청평면 청평중앙로 47-5 하누리재가복지센터
9,경기도,가평군,해암요양원,경기도 가평군 청평면 경춘로 706 해암요양원
0,경기도,가평군,가평군체육회,경기도 가평군 문화로 131 종합운동장 내 가평체육회
1,경기도,가평군,가평사랑의요양원,경기도 가평군 태봉두밀로 525-137 가평사랑의요양원
2,경기도,가평군,가평지역아동센터,경기도 가평군 가평읍 아랫마장길 16
3,경기도,가평군,금빛어린이집,경기도 가평군 강산길 25 금빛어린이집
4,경기도,가평군,길누리어르신재가복지센터,경기도 가평군 아랫마장길 48 길누리어르신재가복지센터
5,경기도,가평군,늘푸른 상상력 도서관,경기도 가평군 가평읍 문화로 120 늘푸른 상상력 도서관
6,경기도,가평군,소풍주간보호센터,경기도 가평군 양지말길 159 양지말길 167(산유리 327)
