,지역,시군구,기관,주소
0,경기도,과천시,갈현동문화교육센터,경기도 과천시 중앙로 28-1 갈현동회관
1,경기도,과천시,과천경찰서,경기도 과천시 통영로 20
2,경기도,과천시,과천시 평생학습센터,경기도 과천시 통영로 5 시민회관 1층 평생학습센터
3,경기도,과천시,과천시립예술단,경기도 과천시 통영로 5
4,경기도,과천시,과천시무한돌봄센터,경기도 과천시 관문로 69 과천시청 주민생활지원실
5,경기도,과천시,과천시안전총괄담당관,경기도 과천시 관문로 69 과천시청 안전총괄담당관
6,경기도,과천시,관문초등학교,경기도 과천시 별양로 180-1 관문초등학교
7,경기도,과천시,렛츠런승마힐링센터,경기도 과천시 경마공원대로 107 렛츠런승마힐링센터
8,경기도,과천시,문원초등학교,경기도 과천시 코오롱로 53 문원초등학교
9,경기도,과천시,청계초등학교,경기도 과천시 꿈보람길 34 청계초등학교
0,경기도,과천시,경기과천교육도서관,경기도 과천시 도서관길 36 경기과천교육도서관
1,경기도,과천시,과천문원중학교,경기도 과천시 코오롱로 57 문원중학교
2,경기도,과천시,과천문화원,경기도 과천시  문원로 40-1 과천문화원 과천문화원 2층 사무국
3,경기도,과천시,과천시건강가정지원센터,경기도 과천시 관악산길 58 온온사
4,경기도,과천시,과천시어린이급식관리지원센터,경기도 과천시 관문로 69 과천시의회 B1
5,경기도,과천시,과천일자리센터,경기도 과천시 관문로 69 과천 일자리센터
6,경기도,과천시,문원동문화교육센터,경기도 과천시  아랫배랭이로 35 문원동주민센터 2층
7,경기도,과천시,법무부법질서선진화과,경기도 과천시 관문로 47 정부과천청사 1동
8,경기도,과천시,재)과천축제,경기도 과천시 통영로 5 과천시민회관 2층
9,경기도,과천시,한국마사회,경기도 과천시 경마공원대로 107 한국마사회
0,경기도,과천시,과천시노인복지관,경기도 과천시 문원로 57 과천시 노인복지관(구관)
1,경기도,과천시,과천시육아종합지원센터,경기도 과천시 별양로 182 가족여성플라자 4층
2,경기도,과천시,과천시종합자원봉사센터,경기도 과천시 별양상가1로 10 과천타워 3층
3,경기도,과천시,과천시청,경기도 과천시 관문로 69 중앙동 1-3 업무시설
4,경기도,과천시,과천시청소년상담복지센터,경기도 과천시 참마을로 9 청소년수련관 1층
5,경기도,과천시,과천시청소년수련관,경기도 과천시 참마을로 9
6,경기도,과천시,과천초등학교,경기도 과천시 온온사로 10
7,경기도,과천시,민간기동대,경기도 과천시 별양상가1로 10 과천타워 2층 자원봉사센터
8,경기도,과천시,민속보존회,경기도 과천시 향촌5길 40
9,경기도,과천시,중앙동문화교육센터,경기도 과천시  관문로 136 중앙동주민센터 3층 문화교육센터
0,경기도,과천시,(사)한국예총과천지회,경기도 과천시 통영로 5 과천시민회관 2층
1,경기도,과천시,과천시드림스타트센터,경기도 과천시 관문로 69 과천시청 사회복지과 내 과천시드림스타트센터
2,경기도,과천시,과천시보건소,경기도 과천시 관문로 69 보건소 3층 치매안심센터
3,경기도,과천시,과천시보건소,경기도 과천시 관문로 69 과천시청
4,경기도,과천시,과천시수어통역센터,경기도 과천시 문원로 40 211호
5,경기도,과천시,과천시시설관리공단,경기도 과천시 통영로 5 과천시민회관
6,경기도,과천시,과천시자원정화센터,경기도 과천시 구리안로 177 (갈현동)
7,경기도,과천시,과천시정신건강복지센터,경기도 과천시 관문로 69 과천시보건소 1층
8,경기도,과천시,과천시체육회,경기도 과천시 중앙로 294
9,경기도,과천시,과천종합사회복지관,경기도 과천시 별양상가1로 10 과천타워
0,경기도,과천시,과천시여성비전센터,경기도 과천시 별양로 182 가족여성플라자4층
1,경기도,과천시,과천시장애인복지관,경기도 과천시 문원로 40
2,경기도,과천시,과천시정보과학도서관,경기도 과천시 중앙로 24
3,경기도,과천시,과천시추사박물관,경기도 과천시 추사로 78 과지초당 추사박물관
4,경기도,과천시,과천어린이집,경기도 과천시 과천대로 608-7 과천동회관
5,경기도,과천시,구세군과천양로원,경기도 과천시 관악산길 194
6,경기도,과천시,국립과천과학관,경기도 과천시 상하벌로 110 국립과천과학관
7,경기도,과천시,문원어린이집,경기도 과천시 문원청계길 31-13 시립문원어린이
8,경기도,과천시,부림동문화교육센터,경기도 과천시 별양로 174 부림동주민센터
9,경기도,과천시,아해한국전통문화어린이박물관,경기도 과천시 추사로 133 아해한국전통문화어린이박물관
0,경기도,과천시,과천기후변화교육센터아하!,경기도 과천시 별양상가로 7 6층 603호
1,경기도,과천시,과천시문원도서관,경기도 과천시 문원로 104
2,경기도,과천시,과천시여성단체협의회,경기도 과천시 별양로 182-2
3,경기도,과천시,과천시재향군인회,경기도 과천시  중앙로 131 현대빌딩 4층 401호
4,경기도,과천시,구세군승리요양원,경기도 과천시 관악산길 188 과천구세군승리관
5,경기도,과천시,바르게살기협의회,경기도 과천시  별양상가1로 10 과천타워3층
6,경기도,과천시,사)경기도신체장애인복지회과천지부,경기도 과천시 문원로 40 과천시장애인복지관 219호
7,경기도,과천시,울림터과천시장애인자립생활센터,경기도 과천시 공원마을1길 54 다목적센터1층
8,경기도,과천시,한국사이버원예대학,경기도 과천시 향촌6길 18-9 과천회관 2층
9,경기도,과천시,한국효문화센터,경기도 과천시 문원로 40-1 3층 한국효문화센터
0,경기도,과천시,"""(1)""과천주간보호센터",경기도 과천시 향촌6길 18-9 과천회관 1층
1,경기도,과천시,"""0nly 1"" 큰소망노인복지센터",경기도 과천시  문원청계2길 50 로고스센터 1층 주간보호
2,경기도,과천시,(사)한국농아인협회 경기도협회 과천시지회,경기도 과천시 문원로 40 보훈종합회관 211호
3,경기도,과천시,(재)꽃과어린왕자,경기도 과천시 코오롱로 11 코오롱 본관 17층
4,경기도,과천시,과천시지속가능발전협의회,경기도 과천시 향촌6길 18-9 과천회관 2층
5,경기도,과천시,과천시화훼협회,경기도 과천시 상하벌로 16
6,경기도,과천시,구세군복지재단과천지부,경기도 과천시 관악산길 216
7,경기도,과천시,법무부법사랑위원과천지구협의회,경기도 과천시 별양상가1로 10 과천타워 3층 309호
8,경기도,과천시,부림어린이집,경기도 과천시 별양로 182 가족여성프라자
9,경기도,과천시,식생활교육과천네트워크사회적협동조합,경기도 과천시 공원마을1길 54 문원동주민센터 3층
0,경기도,과천시,과천시모범운전자회,경기도 과천시 향촌6길 26-10 과천회관 내
1,경기도,과천시,과천시장애인단체연합회,경기도 과천시 별양상가로 7
2,경기도,과천시,국립현대미술관,경기도 과천시 광명로 313 국립현대미술관
3,경기도,과천시,꿈나눔과천지역아동센터,경기도 과천시 문원청계2길 50
4,경기도,과천시,별양어린이집,경기도 과천시 향촌6길 26-10 별양어린이집
5,경기도,과천시,사랑의동산,경기도 과천시 희망4길 57
6,경기도,과천시,사회복지법인큰소망,경기도 과천시 문원청계2길 50
7,경기도,과천시,한국자유총연맹과천시지회,경기도 과천시 별양상가1로 10 과천타워 301호
8,경기도,과천시,한살림,경기도 과천시 별양상가로 7 벽산상가 1층
9,경기도,과천시,해병대전우회,경기도 과천시 희망4길 24
0,경기도,과천시,'A+과천행복'노인복지센터,경기도 과천시 희망4길 53
1,경기도,과천시,과천시새마을회,경기도 과천시 문원로 107
2,경기도,과천시,구세군과천요양원,경기도 과천시 관악산길 194 구세군과천요양원
3,경기도,과천시,대한노인회과천시지회,경기도 과천시  문원로 57 노인복지관 신관4층
4,경기도,과천시,별양동주민센터,경기도 과천시 별양로 60
5,경기도,과천시,붕붕도서관,경기도 과천시 경마공원대로 118-1 붕붕도서관
6,경기도,과천시,재)다솜둥지복지재단,경기도 수원시 권선구 수인로 126 305호
7,경기도,과천시,중요무형문화재제58호줄타기보존회,경기도 과천시 중앙로 28-1 4층
8,경기도,과천시,하트투하트,경기도 과천시 뒷골2로 4 A동 3층(과천동)
9,경기도,과천시,환경사업소,경기도 과천시 상하벌로 17
0,경기도,과천시,구세군과천어린이집,경기도 과천시 관악산길 216 구세군과천어린이집
1,경기도,과천시,부림지역아동센터,경기도 과천시 부림3길 6-5 부림아동센터 과천시립 부림지역아동센터
2,경기도,과천시,사)과천호스피스,경기도 과천시 향촌6길 18-9 과천회관
3,경기도,과천시,사)소비자교육중앙회 과천시지회,경기도 과천시 관문로 69 3층 소비자 상담센터
4,경기도,과천시,성베드로의집,경기도 과천시 부림3길 6-14
5,경기도,과천시,장군마을지역아동센터,경기도 과천시 장군마을5길 24-2
6,경기도,과천시,푸른내일을여는여성들,경기도 과천시 통영로 5 과천시설관리공단 2층 녹색가게
