,지역,시군구,기관,주소
0,경기도,광명시,광명1동주민센터,경기도 광명시 광복로31번길 10 (광명동)
1,경기도,광명시,광명2동주민센터,경기도 광명시 광명로 947 광명2동행정복지센터
2,경기도,광명시,광명시청 글로벌관광과,경기도 광명시 가학로85번길 142 2층 글로벌관광과
3,경기도,광명시,광명시청 안전총괄과,경기도 광명시  시청로 20 광명시청 3층 안전총괄과
4,경기도,광명시,광명시청 지도민원과,경기도 광명시 도덕로 5 1층
5,경기도,광명시,소하1동주민센터,경기도 광명시 소하로 25 (소하동)
6,경기도,광명시,소하2동주민센터,경기도 광명시 성채로 52 (소하동)
7,경기도,광명시,하안1동주민센터,경기도 광명시 오리로 747 1
8,경기도,광명시,하안3동주민센터,경기도 광명시 금당로 28 (하안동)
9,경기도,광명시,하안4동주민센터,경기도 광명시 안현로 54
0,경기도,광명시,광명3동주민센터,경기도 광명시 광명로928번길 18-20 광명3동 주민센터
1,경기도,광명시,광명4동주민센터,경기도 광명시 광명로888번길 26-6 (광명동)
2,경기도,광명시,광명5동주민센터,경기도 광명시 너부대로35번길 20 (광명동)
3,경기도,광명시,광명6동주민센터,경기도 광명시 광명로791번길 6 (광명동)
4,경기도,광명시,광명7동주민센터,경기도 광명시 도덕로 53 (광명동)
5,경기도,광명시,철산1동주민센터,경기도 광명시 사성로 121 (철산동)
6,경기도,광명시,철산2동주민센터,경기도 광명시 시청로 94
7,경기도,광명시,철산3동주민센터,경기도 광명시 철산로 56
8,경기도,광명시,철산4동주민센터,경기도 광명시 도덕공원로 60
9,경기도,광명시,하안2동주민센터,경기도 광명시  안현로 25 하안2동 주민센터
0,경기도,광명시,광명경찰서,경기도 광명시 디지털로 5
1,경기도,광명시,광명시민회관,경기도 광명시 시청로 20 광명시민회관 2층 광명문화재단
2,경기도,광명시,광명시보건소,경기도 광명시  오리로 613 광명시보건소
3,경기도,광명시,광명시청 복지정책과,경기도 광명시 시청로 20 종합민원실 지하1층 복지정책과 복지정책팀
4,경기도,광명시,광명시청여성가족과,경기도 광명시 시청로 20 광명시청
5,경기도,광명시,광명시평생학습원,경기도 광명시 오리로854번길 10 광명시평생학습원
6,경기도,광명시,빛가온초등학교,경기도 광명시 양달로10번길 8 빛가온초등학교
7,경기도,광명시,소하지역아동센터,경기도 광명시 성채로50번길 14 광명열린문교회 2층
