,지역,시군구,기관,주소
0,경기도,구리시,구리경찰서경비교통과,경기도 구리시 아차산로 359 구리경찰서 4층
1,경기도,구리시,구리시지역사회보장협의체,경기도 구리시 이문안로113번길 5 2층 구리지역사회교육협의체
2,경기도,구리시,구리시청 복지정책과,경기도 구리시 아차산로 439 구리시청 주민생활지원과
3,경기도,구리시,구리시청 회계과,경기도 구리시 아차산로 439 구리시청
4,경기도,구리시,구리시평생교육원,경기도 구리시 체육관로 74 행정복지센터 6층
5,경기도,구리시,구리지속가능발전협의회,경기도 구리시 체육관로 74 5층
6,경기도,구리시,동인초등학교어머니폴리스,경기도 구리시 동구릉로103번길 37 동인초등학교
7,경기도,구리시,부양초등학교,경기도 구리시 장자대로 89-2 부양초등학교
8,경기도,구리시,장자초등학교,경기도 구리시 장자대로 40
9,경기도,구리시,토평중학교학부모보람교사,경기도 구리시 장자대로111번길 61 토평중학교
0,경기도,구리시,교문중학교,경기도 구리시 장자대로37번길 15
1,경기도,구리시,교문초등학교교육복지실,경기도 구리시 안골로19번길 16 교문초등학교 교육복지실
2,경기도,구리시,구리고등학교,경기도 구리시 장자대로 89
3,경기도,구리시,구리시청 안전총괄과,경기도 구리시 아차산로 439 구리시청
4,경기도,구리시,구리시청 평생학습과,경기도 구리시 아차산로 439 구리시청
5,경기도,구리시,구리여자중학교학부모폴리스,경기도 구리시 벌말로 168 구리여자중학교 1층 교무실
6,경기도,구리시,구지초등학교 특수학급,경기도 구리시 건원대로76번길 40 특수학급
7,경기도,구리시,백문초등학교,경기도 구리시 장자대로13번길 12
8,경기도,구리시,인창중학교학부모회,경기도 구리시 건원대로34번길 118
9,경기도,구리시,토평초등학교,경기도 구리시 벌말로129번길 17-1 토평초등학교
0,경기도,구리시,갈매초등학교,경기도 구리시 갈매중앙로 40 갈매초등학교
1,경기도,구리시,경기도구리남양주교육지원청,경기도 남양주시 경춘로 520 구리남양주교육청
2,경기도,구리시,교문초등학교 도서관,경기도 구리시 안골로19번길 16
3,경기도,구리시,구리시청 기업지원과,경기도 구리시 아차산로 439 기업지원과
4,경기도,구리시,구리시청안전도시국 도로과,경기도 구리시 아차산로 439 도로과 자전거팀
5,경기도,구리시,동구초등학교,경기도 구리시 건원대로76번길 45 동구초등학교
6,경기도,구리시,서울삼육고등학교,경기도 구리시 아차산로487번길 70 서울삼육고등학교
7,경기도,구리시,수택1동지역사회보장협의체,경기도 구리시 검배로93번길 35 수택1동주민센터
8,경기도,구리시,인창중학교,경기도 구리시 건원대로34번길 118 인창중학교
9,경기도,구리시,인창중학교학부모폴리스,경기도 구리시 건원대로34번길 118
0,경기도,구리시,갈매중학교,경기도 구리시 갈매순환로 121 갈매중학교
1,경기도,구리시,구리남양주교육지원청 위(Wee)센터,경기도 남양주시 경춘로 520 구리남양주교육지원청 2층 위(Wee)센터
