,지역,시군구,기관,주소
0,경기도,김포시,경기김포교육도서관,경기도 김포시 봉화로 68 경기도립김포도서관
1,경기도,김포시,김포본동주민자치센터,경기도 김포시 북변1로 13 김포본동주민자치센터
2,경기도,김포시,김포시도로관리사업소,경기도 김포시 감암로 125-1 도로관리사업소
3,경기도,김포시,김포시청 복지정책과,경기도 김포시 사우중로 1 김포시청 복지정책과
4,경기도,김포시,김포시청안전총괄과,경기도 김포시 사우중로 1 안전총괄과
5,경기도,김포시,김포시청체육청소년과,경기도 김포시 사우중로 1 체육청소년과
6,경기도,김포시,김포시학교급식지원센터,경기도 김포시 사우중로3번길 13-17 평생학습관 3층 교육지원과
7,경기도,김포시,운양동행정복지센터,경기도 김포시 모담공원로 32 운양동주민센터
8,경기도,김포시,장기동행정복지센터,경기도 김포시 김포한강2로 112 장기동행정복지센터
9,경기도,김포시,풍무초등학교,경기도 김포시 풍무로96번길 71 풍무초등학교
0,경기도,김포시,고촌도서관,경기도 김포시 고촌읍 장차로 14 고촌읍행정복지센터
1,경기도,김포시,곡촌어린이집,경기도 김포시 양촌읍 양곡3로 129 곡촌어린이집
2,경기도,김포시,김포경찰서,경기도 김포시 태장로795번길 65 보안과 외사계
3,경기도,김포시,김포시의회,경기도 김포시 사우중로 1
4,경기도,김포시,김포시청 주민협치담당관실,경기도 김포시 사우중로 1
5,경기도,김포시,김포시학교밖청소년지원센터,경기도 김포시 걸포로 76 3층
6,경기도,김포시,마송중앙초등학교,경기도 김포시 통진읍 마송1로 140
7,경기도,김포시,마송초등학교,경기도 김포시 통진읍 흥신로 315 마송초등학교
8,경기도,김포시,월곶면사무소,경기도 김포시 월곶면 군하로 263
9,경기도,김포시,은여울중학교,경기도 김포시 김포한강8로 173-48 은여울중학교
0,경기도,김포시,김포금빛초등학교,경기도 김포시 태장로 821 김포금빛초등학교
1,경기도,김포시,김포서초등학교,경기도 김포시 봉화로 188 김포서초등학교
2,경기도,김포시,김포제일공업고등학교,경기도 김포시 봉화로 69 김포제일공업고등학교
3,경기도,김포시,김포한가람유치원,경기도 김포시 김포한강9로115번길 57 김포한가람유치원
4,경기도,김포시,신곡초등학교,경기도 김포시 고촌읍 수기로 67-30 신곡초등학교
5,경기도,김포시,신양중학교,경기도 김포시 양촌읍 양곡4로 243 신양중학교
6,경기도,김포시,원님어린이집,경기도 김포시 양촌읍 황금로89번길 47 시립 원님어린이집
7,경기도,김포시,유현초등학교 병설유치원,경기도 김포시 유현로33번길 50 유현초등학교 병설유치원
8,경기도,김포시,푸른솔중학교,경기도 김포시 김포한강2로 328 푸른솔중학교
9,경기도,김포시,하늘빛중학교,경기도 김포시 김포한강11로 354 하늘빛중학교
0,경기도,김포시,경기관광공사,경기도 파주시 임진각로 153 경기평화센터 경기관광공사
1,경기도,김포시,고촌초등학교,경기도 김포시 고촌읍 수기로 67-30 신곡초등학교
2,경기도,김포시,김포시육아종합지원센터,경기도 김포시 김포한강1로 77-39 김포시육아종합지원센터
3,경기도,김포시,김포은솔유치원,경기도 김포시 김포한강8로 299 은솔유치원
4,경기도,김포시,김포청수초등학교 병설유치원,경기도 김포시 김포한강11로 256 병설유치원
5,경기도,김포시,샘재유치원,경기도 김포시 모담공원로167번길 90 샘재유치원
6,경기도,김포시,시립신곡어린이집,경기도 김포시 은행영사정로23번길 52-15 시립신곡어린이집
7,경기도,김포시,월곶면주민자치센터,경기도 김포시 월곶면 군하로 263 월곶면주민자치센터
8,경기도,김포시,은여울초등학교,경기도 김포시 김포한강8로 173-38
9,경기도,김포시,장기푸른꿈도서관,경기도 김포시 김포한강2로 173 장기초등학교내 푸른꿈도서관
0,경기도,김포시,경기도김포교육지원청,경기도 김포시 김포한강11로 342
1,경기도,김포시,고촌읍주민자치센터,경기도 김포시 은행영사정로 23 52-15 고촌읍주민자치센터
2,경기도,김포시,구래동주민자치센터,경기도 김포시 김포한강9로115번길 25 구래동주민자치센터 구래동주민자치센터
3,경기도,김포시,김포시독립운동기념관,경기도 김포시 양곡2로30번길 46 김포시독립운동기념관 김포시독립운동기념관
4,경기도,김포시,매수리10단지어린이집,경기도 김포시 통진읍 마송1로 134-27 매수리10단지 어린이집
5,경기도,김포시,새솔학교,경기도 김포시 김포한강3로 315 새솔학교
6,경기도,김포시,시립솔터3단지어린이집,경기도 김포시 김포한강8로 333 김포한강엘에이치솔터마을3단지 시립솔터3단지어린이집
7,경기도,김포시,양촌읍행정복지센터,경기도 김포시 양촌읍 양곡리 471
8,경기도,김포시,장기도서관,경기도 김포시 김포한강2로 42 장기도서관 3층
9,경기도,김포시,장기동나눔터,경기도 김포시 돌문로15번길 20 김포시자원봉사센터
0,경기도,김포시,(주)워터웨이플러스,경기도 김포시아라육로270번길 74 아라 김포여객터미널 3층
1,경기도,김포시,감정중학교,경기도 김포시 감정로 25
2,경기도,김포시,구래동주민센터,경기도 김포시 김포한강9로115번길 25 구래동주민센터
