,지역,시군구,기관,주소
0,경기도,부천시,경기도일자리재단,경기도 부천시 부천로136번길 27 경기도일자리재단
1,경기도,부천시,국공립 옥길어린이집,경기도 부천시 양지로 134
2,경기도,부천시,국공립새샛별아이어린이집,경기도 부천시 정주로34번가길 12 101/103
3,경기도,부천시,부천세무서,경기도 부천시 계남로 227
4,경기도,부천시,부천시육아종합지원센터,경기도 부천시 원미구 계남로 303
5,경기도,부천시,부천지역사회교육협의회,경기도 부천시 원미구 부흥로424번길 20 부천지역사회교육협의회
6,경기도,부천시,새노래작은도서관,경기도 부천시 소향로 29 701호 새노래작은도서관
7,경기도,부천시,성곡동 나눔터,경기도 부천시 성오로 25
8,경기도,부천시,심곡동 나눔터,경기도 부천시 부흥로424번길 25
9,경기도,부천시,옥길양지어린이집,경기도 부천시 양지로 134 사회복지시설1층 옥길양지어린이집
0,경기도,부천시,BIAF조직위원회,경기도 부천시 길주로 1 한국만화영상진흥원 비즈니스센터 302호
1,경기도,부천시,BiFan부천국제판타스틱영화제,경기도 부천시 원미구 길주로 1 한국만화영상진흥원 1층 영화제 사무국
2,경기도,부천시,고혈압당뇨병등록교육센터,경기도 부천시 원미구 중동 1119번지 원미보건소 4층
3,경기도,부천시,부천문화원,경기도 부천시 경인로 60
4,경기도,부천시,부천소사경찰서,경기도 부천시 소사구 송내동 601 부천소사경찰서
5,경기도,부천시,부천시드림스타트,경기도 부천시 오정구  원종로51번길 48-9 원종1동사무소 2층 드림스타트센터
6,경기도,부천시,부천여성청소년재단,경기도 부천시 원미구  장말로 107 복사골문화센터 507
7,경기도,부천시,부천혜림학교,경기도 부천시 소사구  경인로304번길 26 부천혜림학교(심곡본동)
8,경기도,부천시,소새울어린이집,경기도 부천시 경인옛로 73 .
9,경기도,부천시,인천지방검찰청부천지청,경기도 부천시 원미구 부흥로 403
0,경기도,부천시,(사)부천국제학생애니메이션페스티벌,경기도 부천시 원미구 상3동 529-2번지 한국만화영상진흥원 비즈니스센터 302호
1,경기도,부천시,국공립대학어린이집,경기도 부천시 호현로 489
2,경기도,부천시,국공립심곡어린이집,경기도 부천시 성주로 178-1
3,경기도,부천시,부천고용센터,경기도 부천시 원미구길주로 351 뉴월드빌딩 부천고용센터
4,경기도,부천시,부천시립 송내도서관,경기도 부천시 소사구  경인로92번길 33 송내어울마당 송내도서관
5,경기도,부천시,부천시립역곡도서관,경기도 부천시 지봉로51번길 54 역곡도서관
6,경기도,부천시,부천오정경찰서,경기도 부천시 오정구 여월동 304
7,경기도,부천시,부천원미경찰서,경기도 부천시 원미구 조마루로311번길 84 부천원미경찰서
8,경기도,부천시,부천지역노사민정협의회,경기도 부천시 원미구 부흥로 403 부천시민학습원 2층
9,경기도,부천시,야인시대캠핑장,경기도 부천시 원미구 길주로 1 야인시대캠핑장
0,경기도,부천시,범안동행정복지센터,경기도 부천시 범안로 38
1,경기도,부천시,부천교육지원청,경기도 부천시 원미구 계남로 219 경기도부천교육지원청
2,경기도,부천시,부천동행정복지센터(구.원미1동행정복지센터),경기도 부천시 부천로136번길 27
3,경기도,부천시,상동행정복지센터(구.상2동행정복지센터),"경기도 부천시 원미구  조마루로 95 (상동,  상2동 행정복지센터)"
4,경기도,부천시,성곡동행정복지센터,경기도 부천시 성오로 25
5,경기도,부천시,소사본동행정복지센터,경기도 부천시 경인옛로 73 (소사본동)
6,경기도,부천시,신중동행정복지센터(구.중4동행정복지센터),경기도 부천시 석천로209번길 15
7,경기도,부천시,심곡동 행정복지센터,경기도 부천시 부흥로424번길 25 구. 심곡2동 행정복지센터
8,경기도,부천시,오정동행정복지센터,경기도 부천시 성오로 172 4층
9,경기도,부천시,중동행정복지센터,경기도 부천시 부일로 342
0,경기도,부천시,부천문화재단,경기도 부천시 장말로 107 4층 (재)부천문화재단
1,경기도,부천시,부천시립 꿈여울도서관,경기도 부천시 오정구 작동 67-1 꿈여울도서관
2,경기도,부천시,부천시립상동도서관,경기도 부천시 원미구 상이로 12
3,경기도,부천시,부천시립심곡도서관,경기도 부천시 소사구 심곡본동 562-480 부천시립심곡도서관
4,경기도,부천시,부천시립원미도서관,경기도 부천시 소사로 456 원미도서관
5,경기도,부천시,부천시립한울빛도서관,경기도 부천시 소사로 107
6,경기도,부천시,부천시정신건강복지센터,경기도 부천시 오정구 성오로 172 오정보건센터 3층 부천시정신건강증진센터
7,경기도,부천시,부천시청,경기 부천시 원미구 중1동 부천시청 ...
8,경기도,부천시,부천식물원,경기 부천시 원미구 춘의동 381번지
9,경기도,부천시,한국만화영상진흥원,경기도 부천시 길주로 1
0,경기도,부천시,부천상록학교,경기 부천시 원미구 춘의동 258번지 부천상록학교
1,경기도,부천시,부천생태박물관,경기도 부천시 원미구 춘의동 381
2,경기도,부천시,부천소방서,경기도 부천시 신흥로 115 1층(중동)
3,경기도,부천시,부천시건강가정지원센터,경기도 부천시 원미구 부천로122번길 60 (원미동99-2) (구. 원미1동 주민센터 건물)
4,경기도,부천시,부천시립노인전문병원,경기도 부천시 오정구 작동 405번지
5,경기도,부천시,부천시립책마루도서관,경기 부천시 원미구 중동 1192-3
6,경기도,부천시,부천시여성회관,경기 부천시 원미구 상1동 394-2 복사골문화센터501호 부천시여성회관
7,경기도,부천시,부천시평생학습센터,경기도 부천시 원미구 부흥로 403 부천시민학습원 2층
8,경기도,부천시,사)부천김포범죄피해자지원센터,경기도 부천시 원미구 상동 448번지 다산빌딩 1005호
9,경기도,부천시,한국철도공사,대전광역시 동구 중앙로 240 (소제동)
0,경기도,부천시,(재)경기콘텐츠진흥원,경기도 부천시 부천로198번길 18 춘의테크노파크 2차 202동 9층
