,지역,시군구,기관,주소
0,경기도,성남시,분당구보건소치매안심센터,경기도 성남시 분당구 내정로 94 주공 7단지 711동 1층
1,경기도,성남시,성남시청도시재생과,경기도 성남시 중원구 성남대로 997
2,경기도,성남시,성남시청정수과,경기도 성남시 중원구 성남대로 997
3,경기도,성남시,성남시청창조산업과,경기도 성남시 중원구 성남대로 997
4,경기도,성남시,성남시평생학습원평생학습과,경기도 성남시 분당구 판교로 546 성남시평생학습원
5,경기도,성남시,성보경영고등학교,경기도 성남시 수정구 논골로 82
6,경기도,성남시,수원지방법원성남지원,경기도 성남시 수정구 산성대로 451 수원지방법원성남지원
7,경기도,성남시,수정구보건소치매안심센터,경기도 성남시 수정구 수정로 218 수정구보건소 3층
8,경기도,성남시,위례동행정복지센터,경기도 성남시 수정구 위례동로 91
9,경기도,성남시,이매1동행정복지센터,경기도 성남시 분당구 성남대로779번길 10
0,경기도,성남시,성남시청공원과,경기도 성남시 중원구 성남대로 997
1,경기도,성남시,성남시청도시개발과,경기도 성남시 중원구 성남대로 997
2,경기도,성남시,성남시청수도시설과,경기도 성남시 중원구 성남대로 997
3,경기도,성남시,성남시청수도행정과,경기도 성남시 중원구 성남대로 997
4,경기도,성남시,성남시청수질복원과,경기도 성남시 중원구 성남대로 997
5,경기도,성남시,성남시청전통시장현대화과,경기도 성남시 중원구 성남대로 997
6,경기도,성남시,성남시청주거환경과,경기도 성남시 중원구 성남대로 997
7,경기도,성남시,성남시청첨단교통과,경기도 성남시 중원구 성남대로 997
8,경기도,성남시,성남시청청소행정과,경기도 성남시 중원구 성남대로 997
9,경기도,성남시,성남시청하천관리과,경기도 성남시 중원구 성남대로 997
0,경기도,성남시,성남시농업기술센터,경기도 성남시 분당구 성남대로762번길 2 농업기술센터
1,경기도,성남시,성남시청교통기획과,경기도 성남시 중원구 성남대로 997
2,경기도,성남시,성남시청대중교통과,경기도 성남시 중원구 성남대로 997
3,경기도,성남시,성남시청도로과,경기도 성남시 중원구 성남대로 997
4,경기도,성남시,성남시청도시계획과,경기도 성남시 중원구 성남대로 997
5,경기도,성남시,성남시청디자인정책과,경기도 성남시 중원구 성남대로 997
6,경기도,성남시,성남시청세정과,경기도 성남시 중원구 성남대로 997
7,경기도,성남시,성남시청주택과,경기도 성남시 중원구 성남대로 997
8,경기도,성남시,성남시청징수과,경기도 성남시 중원구 성남대로 997
9,경기도,성남시,성남시청회계과,경기도 성남시 중원구 성남대로 997
0,경기도,성남시,국가기록원서울기록관,경기도 성남시 수정구 대왕판교로851번길 30 국가기록원 서울기록관
1,경기도,성남시,도촌동행정복지센터,경기도 성남시 중원구 도촌북로 28
2,경기도,성남시,백현동행정복지센터,경기도 성남시 분당구 동판교로 21
3,경기도,성남시,분당중앙고,경기도 성남시 분당구 불정로 174 분당중앙고등학교
4,경기도,성남시,성남시중원어린이도서관,경기도 성남시 중원구 산성대로408번길 42
5,경기도,성남시,성남시청기업지원과,경기도 성남시 중원구 성남대로 997
6,경기도,성남시,성남시청일자리창출과,경기도 성남시 중원구 성남대로 997
7,경기도,성남시,성남시청정보정책과,경기도 성남시 중원구 성남대로 997
8,경기도,성남시,성남시청체육진흥과,경기도 성남시 중원구 성남대로 997
9,경기도,성남시,정자동행정복지센터,경기도 성남시 분당구 내정로17번길 4-7
0,경기도,성남시,(사)예닮공동체,경기 성남시 분당구 야탑동 340~361 361-3 금탑플라자 7층
1,경기도,성남시,경기남부노인보호전문기관,경기 성남시 수정구 산성동 2178번지
2,경기도,성남시,국제복지문화등불협회,경기도 성남시 수정구 신흥2동 1 - 124 47번지
3,경기도,성남시,금곡동행정복지센터,경기도 성남시 분당구 성남대로171번길 14
4,경기도,성남시,삼평동행정복지센터,경기도 성남시 분당구 동판교로266번길 7
5,경기도,성남시,성남시학교청소년복지상담사업,경기도 성남시 분당구 양현로 20 성남교육지원청 2층 중등교육지원과
6,경기도,성남시,카리스선교회주님의식탁,경기도 성남시 분당구 내정로 152 127-1704
7,경기도,성남시,한마음교회경로식당,경기 성남시 수정구 신흥1동 5332번지 3층
8,경기도,성남시,황송노인종합복지관,경기 성남시 중원구 상대원동 279-7 황송노인종합복지관
9,경기도,성남시,황송노인주간보호센터,경기 성남시 중원구 상대원동 279-7
0,경기도,성남시,구미1동행정복지센터,경기도 성남시 분당구 돌마로90번길 8
1,경기도,성남시,구미동행정복지센터,경기도 성남시 분당구 구미로 130
2,경기도,성남시,서현1동행정복지센터,경기도 성남시 분당구 중앙공원로39번길 35
3,경기도,성남시,서현2동행정복지센터,경기도 성남시 분당구 돌마로476번길 17
4,경기도,성남시,야탑1동행정복지센터,경기도 성남시 분당구 장미로86번길 18
5,경기도,성남시,야탑2동행정복지센터,경기도 성남시 분당구 야탑로76번길 5
6,경기도,성남시,야탑3동행정복지센터,경기도 성남시 분당구 야탑로167번길 12
7,경기도,성남시,이매2동행정복지센터,경기도 성남시 분당구 탄천로79번길 19
8,경기도,성남시,정자3동행정복지센터,경기도 성남시 분당구 돌마로 242
9,경기도,성남시,판교동행정복지센터,경기도 성남시 분당구 서판교로32번길 9
0,경기도,성남시,분당동행정복지센터,경기도 성남시 분당구 불정로 312
1,경기도,성남시,상대원3동행정복지센터,경기도 성남시 중원구 박석로 78
2,경기도,성남시,수내1동행정복지센터,경기도 성남시 분당구 내정로173번길 21
3,경기도,성남시,수내2동행정복지센터,경기도 성남시 분당구 내정로166번길 17
4,경기도,성남시,수내3동행정복지센터,경기도 성남시 분당구 돌마로356번길 43
5,경기도,성남시,시흥동행정복지센터,경기도 성남시 수정구 여수대로56번길 6
6,경기도,성남시,운중동행정복지센터,경기도 성남시 분당구 운중로138번길 10
7,경기도,성남시,정자1동행정복지센터,경기도 성남시 분당구 성남대로407번길 12 정자1동주민센터
8,경기도,성남시,정자2동행정복지센터,경기도 성남시 분당구 내정로 66
9,경기도,성남시,하대원동행정복지센터,경기도 성남시 중원구 둔촌대로 252
0,경기도,성남시,금광1동행정복지센터,경기도 성남시 중원구 광명로 328
1,경기도,성남시,금광2동행정복지센터,경기도 성남시 중원구 광명로 345
2,경기도,성남시,단대동행정복지센터,경기도 성남시 수정구 희망로506번길 21
3,경기도,성남시,산성동행정복지센터,경기도 성남시 수정구 수정남로 261
4,경기도,성남시,상대원1동행정복지센터,경기도 성남시 중원구 둔촌대로 425
5,경기도,성남시,상대원2동행정복지센터,경기도 성남시 중원구 희망로 371
6,경기도,성남시,성남동행정복지센터,경기도 성남시 중원구 광명로 89
7,경기도,성남시,수진2동행정복지센터,경기도 성남시 수정구 성남대로 1204
8,경기도,성남시,은행1동행정복지센터,경기도 성남시 중원구 은행로 85
9,경기도,성남시,은행2동행정복지센터,경기도 성남시 중원구 은이로 21
0,경기도,성남시,성남시수정구청,경기도 성남시 수정구 수정로 283
1,경기도,성남시,성남시청,경기도 성남시 중원구 여수동 200번지
