,지역,시군구,기관,주소
0,경기도,시흥시,군자초등학교,경기도 시흥시 군자로 539
1,경기도,시흥시,금모래초등학교,경기도 시흥시 대은로 16-29
2,경기도,시흥시,산현초등학교,경기도 시흥시 목감남서로 68 산현초등학교
3,경기도,시흥시,서해초등학교,경기도 시흥시 정왕대로53번길 14
4,경기도,시흥시,송운초등학교,경기도 시흥시 옥구천동로 433-25
5,경기도,시흥시,시화중학교,경기도 시흥시 큰솔로52번길 23
6,경기도,시흥시,시흥시시설관리공단(오이도 선사유적공원),경기도 시흥시 서해안로 113-27 오이도 선사유적공원
7,경기도,시흥시,웃터골초등학교,경기도 시흥시 은행고길 18
8,경기도,시흥시,조남중학교,경기도 시흥시 목감둘레로 205
9,경기도,시흥시,조남초등학교,경기도 시흥시 목감둘레로 229-9
0,경기도,시흥시,군서초등학교,경기도 시흥시 정왕천로427번길 30
1,경기도,시흥시,배곧라온초등학교,경기도 시흥시 배곧4로 94-39 배곧라온초등학교
2,경기도,시흥시,배곧초등학교,경기도 시흥시 배곧4로 44-5
3,경기도,시흥시,배곧한울초등학교,경기도 시흥시 배곧1로 28-25 배곧한울초등학교
4,경기도,시흥시,서촌초등학교,경기도 시흥시 정왕대로118번길 27
5,경기도,시흥시,시흥월곶초등학교,경기도 시흥시 월곶해안로 69
6,경기도,시흥시,장곡고등학교,경기도 시흥시 장곡로70번길 8
7,경기도,시흥시,정왕고등학교,경기도 시흥시 정왕대로118번길 13
8,경기도,시흥시,하중초등학교,경기도 시흥시 하중로209번길 10
9,경기도,시흥시,함현초등학교,경기도 시흥시 역전로 455
0,경기도,시흥시,검바위초등학교,경기도 시흥시 수인로3247번길 59
1,경기도,시흥시,냉정초등학교,경기도 시흥시 역전로 369
2,경기도,시흥시,도창초등학교,경기도 시흥시 수인로2793번길 6
3,경기도,시흥시,반려,경기도 시흥시 서해안로 113-27 오이도 선사유적공원
4,경기도,시흥시,서해고등학교,경기도 시흥시 정왕신길로 13
5,경기도,시흥시,시흥시민원지적과,경기도 시흥시 시청로 20 시흥시 민원지적과
6,경기도,시흥시,시흥시환경정책과,경기도 시흥시 시청로 20 시흥시청
7,경기도,시흥시,시흥여성새일지원본부,경기도 시흥시 정왕대로233번길 21 여성비전센터 1층
8,경기도,시흥시,월포초등학교,경기도 시흥시 월곶중앙로 18
9,경기도,시흥시,응곡중학교,경기도 시흥시 장곡로54번길 14
0,경기도,시흥시,대야동주민센터일자리복지과,경기도 시흥시 소래산길 11 대야동
1,경기도,시흥시,반려,경기도 시흥시 시청로 20 관광과 생태관광팀
2,경기도,시흥시,배곧고등학교,경기도 시흥시 배곧4로 94-10
3,경기도,시흥시,시흥갯골축제사무국,경기도 시흥시 시청로 20 본관 3층 갯골축제사무국
4,경기도,시흥시,시흥경찰서,경기도 시흥시 황고개로 513 시흥경찰서
5,경기도,시흥시,시흥시청안전총괄과,경기도 시흥시 시청로 20 시흥시청
6,경기도,시흥시,시흥시청행정과,경기도 시흥시 시청로 20 시흥시청
7,경기도,시흥시,시흥시평생교육원평생학습과,경기도 시흥시 새재로 11 J-PARK (주상복합아파트) 201호
8,경기도,시흥시,청소년국제교류팀,경기도 시흥시  소래산길 11 ABC행복학습타운
9,경기도,시흥시,평생학습기획팀,경기도 시흥시  소래산길 11 시흥ABC행복학습센터 평생학습과 301호
0,경기도,시흥시,거모노인주간보호센터,경기도 시흥시 군자로466번길 37 4층
1,경기도,시흥시,시화초등학교,경기도 시흥시 큰솔로7번길 10
2,경기도,시흥시,시흥사회적기업팀,경기도 시흥시 소래산길 11 시흥ABC행복학습타운
3,경기도,시흥시,시흥시 관광과,경기도 시흥시 오이도로 332
4,경기도,시흥시,시흥시 청소행정과,경기도 시흥시  시청로 20 시흥시청 청소행정과
5,경기도,시흥시,시흥시노인종합복지관,경기도 시흥시 능곡동 765번지 능곡지구 4호 근린공원 내
6,경기도,시흥시,시흥시청 가족여성과,경기도 시흥시  시청로 20 시흥시청 가족여성과
7,경기도,시흥시,시흥중앙도서관,경기 시흥시 정왕2동 1845-2
8,경기도,시흥시,옥터초등학교,경기도 시흥시 옥터로 33
9,경기도,시흥시,정왕2동자원봉사센터,경기도 시흥시  정왕대로 122
0,경기도,시흥시,배곧동주민센터,경기도 시흥시 서울대학로278번길 61 4층
1,경기도,시흥시,배곧중학교,경기도 시흥시 배곧4로 72 배곧중학교
2,경기도,시흥시,시립대야어린이집,경기도 시흥시 복지로 37
3,경기도,시흥시,시립배곧호반2차어린이집,경기도 시흥시 서울대학로 328 호반베르디움 더프라임 관리동 어린이집
4,경기도,시흥시,시흥시 농업기술센터,경기도 시흥시 관곡지로 139
5,경기도,시흥시,시흥시청경관디자인과,경기도 시흥시 공단2대로 14 맑은물상상누리
6,경기도,시흥시,시흥시치매안심센터(연성),경기도 시흥시 하중로 283 시흥시치매안심센터
7,경기도,시흥시,시흥시치매안심센터(정왕),경기도 시흥시 정왕대로233번길 19
8,경기도,시흥시,중부지방고용노동청안산지청시흥고용센터,경기도 시흥시 마유로418번길 18 3층
9,경기도,시흥시,평생학습센터,경기 시흥시 대야동 571-3
0,경기도,시흥시,경기시흥시육아종합지원센터,경기도 시흥시 정왕대로233번길 37 시흥시육아종합지원센터
1,경기도,시흥시,도일초등학교,경기도 시흥시 군자로465번길 7 도일초등학교
2,경기도,시흥시,승지초등학교,경기도 시흥시 승지로 110
3,경기도,시흥시,시흥시시설관리공단,경기도 시흥시 동서로 287 장곡동 724-32번지 갯골생태공원 인포센터
4,경기도,시흥시,시흥시자원봉사센터,경기도 시흥시 호현로 72
5,경기도,시흥시,시흥시정신건강복지센터,경기도 시흥시 호현로 55 시흥시보건소 5층
6,경기도,시흥시,시흥시청 균형발전사업단,경기도 시흥시  서해안로 405 균형발전사업단
7,경기도,시흥시,신천고등학교도서관,경기도 시흥시 포도원로 50 신천고등학교
8,경기도,시흥시,은계중학교,경기도 시흥시 대은로111번길 10
9,경기도,시흥시,조남유치원,경기도 시흥시 목감둘레로 199 조남유치원
0,경기도,시흥시,공립단설시화유치원,"경기도 시흥시 큰솔로7번길 10 (정왕동, 시화유치원)"
1,경기도,시흥시,배곧누리초등학교,경기도 시흥시 해송십리로 472-30 배곧누리초등학교
