,지역,시군구,기관,주소
0,경기도,안양시,경기도안양과천교육지원청,경기도 안양시 동안구  관평로 210 안양과천교육지원청 초등교육지원과(교육자원봉사센터)
1,경기도,안양시,동안노인복지회관,경기도 안양시 동안구 부흥동 1106
2,경기도,안양시,만안구청,경기도 안양시 만안구 안양로 128 1층 민원봉사과
3,경기도,안양시,만안구청어린이집,경기도 안양시 만안구 냉천로 39
4,경기도,안양시,만안노인복지회관,경기 안양시 만안구 안양5동 707-139
5,경기도,안양시,만안여성회관,경기도 안양시 만안구 안양6동 477-1
6,경기도,안양시,안양동안경찰서,경기도 안양시 동안구 부흥동 안양동안경찰서
7,경기도,안양시,안양시청소과재활용팀,경기 안양시 동안구 평촌동 897-1 자원회수시설내 청소과 재활용팀
8,경기도,안양시,안양시평생학습원평생교육과,경기 안양시 동안구 비산동 1106  동안평생교육센터
9,경기도,안양시,안양시평촌청소년문화의집,경기도 안양시 동안구 흥안대로 394 (평촌동)
0,경기도,안양시,(재)안양시 미래인재육성 장학재단,경기도 안양시 만안구 냉천로31번길 33 만안청소년수련관
1,경기도,안양시,관양초등학교,경기도 안양시 동안구 관평로336번길 23 관양초등학교
2,경기도,안양시,대궁어린이집,경기도 안양시 동안구 시민대로327번길 11-14 안양창조경제융합센터 1층
3,경기도,안양시,안양만안경찰서,경기도 안양시 만안구 냉천로 63 안양만안경찰서
4,경기도,안양시,안양시육아종합지원센터,경기도 안양시 만안구 냉천로 39 만안여성회관 2층
5,경기도,안양시,안양시청소년성문화센터,경기도 안양시 동안구 경수대로 604 2층(호계동)
6,경기도,안양시,안양치매상담센터,경기도 안양시 동안구 평촌대로253번길 41 3층 안양시동안치매안심센터
7,경기도,안양시,제6950부대,경기도 안양시 동안구 평촌대로 491 충의학교
8,경기도,안양시,평촌초등학교(도서관),경기도 안양시 동안구 평촌대로180번길 56
9,경기도,안양시,한국농어촌공사 농어촌자원개발원,경기도 안양시 동안구 부림로169번길 22
0,경기도,안양시,(재)안양군포의왕공동급식지원센터,"경기도 안양시 동안구 엘에스로 36 (호계동, 2층)"
1,경기도,안양시,FC안양,경기도 안양시 동안구 평촌대로 389
