,지역,시군구,기관,주소
0,경기도,여주시,가남읍자원봉사 거점센터,경기도 여주시 가남읍 태평중앙1길 20 2층 가남주민자치센터
1,경기도,여주시,가남지역아동센터,경기도 여주시 가남읍 경충대로 1162-19 가남지역아동센터
2,경기도,여주시,북내작은도서관,경기도 여주시 북내면 여강로 337-38
3,경기도,여주시,여주경찰서,경기도 여주시 세종로 50 여주경찰서
4,경기도,여주시,여주교육지원청교육자원봉사센터,경기도 여주시 청심로 181 여주교육지원청 마을교육공동체팀
5,경기도,여주시,여주소방서 재난예방과,경기도 여주시 우암로 110 여주소방서 재난예방과
6,경기도,여주시,여주시 여성회관,경기도 여주시 신륵사길 6-6 여성회관
7,경기도,여주시,여주시청소년상담복지센터,경기도 여주시  신륵사길 6-8 청소년상담복지센터
8,경기도,여주시,여주시평생학습센터,경기도 여주시 신륵사길 6-6 2층 평생학습팀
9,경기도,여주시,점동도서관,경기도 여주시 점동면 청안로 130-15 점동도서관
0,경기도,여주시,경기도립노인전문 여주병원,경기도 여주시 북내면 도예로 361-14 경기도노인전문 여주병원
1,경기도,여주시,세종도서관,경기도 여주시 영릉로 125
2,경기도,여주시,여주 황학산수목원,경기도 여주시 황학산수목원길 73
3,경기도,여주시,여주대학교,경기도 여주시 세종로 338 여주대학교 학생지원처
4,경기도,여주시,여주도서관,경기도 여주시  여양로 190-17 여주도서관
5,경기도,여주시,여주시건강가정다문화가족지원센터,경기도 여주시 세종로 61 현대아파트 현대 상가  3층
6,경기도,여주시,여주시보건소,경기도 여주시 여흥로160번길 14 여주시보건소
7,경기도,여주시,여주시어린이급식관리지원센터,경기도 여주시 세종로 338 여주대학교 여암학술정보관 3층 305호
8,경기도,여주시,여주시정신건강복지센터,경기도 여주시 세종로 338 여주대학교 대학본부 2층
9,경기도,여주시,여주중학교,경기도 여주시 능서면 농도원1길 78 여주중학교
0,경기도,여주시,경기여주가남교육도서관,경기도 여주시 가남읍 태평2길 28-7 3층 종합자료실
1,경기도,여주시,금사면자원봉사 거점센터,경기도 여주시 금사면 이포로 27 금사면자원봉사센터
2,경기도,여주시,능서면자원봉사 거점센터,경기도 여주시 능서면 능서공원길 99
3,경기도,여주시,대신면자원봉사 거점센터,경기도 여주시 대신면 율촌1길 12-9
4,경기도,여주시,명성황후생가유적관리사무소,경기도 여주시 명성로 71 명성황후생가 관리사무소
5,경기도,여주시,산북노인주간보호센터,경기도 여주시 산북면 상품로 113 산북노인주간보호센터
6,경기도,여주시,산북면자원봉사 거점센터,경기도 여주시 산북면 상품로 93 산북면자원봉사센터(산북면주민자치센터)
7,경기도,여주시,세종대왕유적관리소,경기도 여주시 능서면 영릉로 269-50
8,경기도,여주시,점동면자원봉사 거점센터,경기도 여주시 점동면 청안로 130-3
9,경기도,여주시,흥천면자원봉사 거점센터,경기도 여주시 흥천면 효자로 123 흥천면주민자치센터
0,경기도,여주시,구세군여주아동센터,경기도 여주시 도예로 39-11
1,경기도,여주시,그림책배,경기도 여주시 세종로517번길 7-20 711호
2,경기도,여주시,늘푸른자연학교,경기도 여주시 점동면 성주로 946 늘푸른자연학교(전 당현분교)
3,경기도,여주시,대진요양병원,경기도 여주시 강천면 강천로 702 대진요양병원
4,경기도,여주시,면형다문화센터,경기도 여주시 점동면 가남로 1045-18 한국순교복자수녀원 수원관구 면형다문화센터 김이나수녀님
5,경기도,여주시,사)한국시각장애인연합회 여주시지회,경기도 여주시 향교로 30-7
6,경기도,여주시,사회복지법인 세림주택,경기도 여주시 도예로 361-38 세림주택
7,경기도,여주시,산북작은도서관,경기도 여주시 산북면 상품로 113 산북종합복지회관 3층 산북작은도서관
8,경기도,여주시,솔로몬작은도서관,경기도 여주시 우암로 25
9,경기도,여주시,원더풀마인드교육원,경기도 여주시 여흥로105번길 5
0,경기도,여주시,가남반석가정봉사원파견센터,경기도 여주시 가남읍 은봉길 116-29 가남반석가정봉사원파견센터
1,경기도,여주시,골든밸리,경기도 여주시 능서면 중부대로 2806-1 골든밸리
2,경기도,여주시,노란문작은도서관,"경기도 여주시 세종로45번길 39 2층(홍문동, 모범빌딩)"
3,경기도,여주시,다산하늘센터,경기도 여주시 섬강로 229-1 다산하늘센터
4,경기도,여주시,대진노인복지센터,경기도 여주시 강천면 강천로 702 대진노인복지센터
5,경기도,여주시,"여주가정폭력,성폭력상담소","경기도 여주시 세종로45번길 8 여주가정폭력,성폭력상담소"
6,경기도,여주시,여주사람들,경기도 여주시 세종로14번길 9 3층 다문화그림책도서관 토닥토닥
7,경기도,여주시,여주시방문보건센터,경기도 여주시 세종로 338 여주대학교 여암학술정보관 414호
8,경기도,여주시,여주이주민지원센터,경기도 여주시 여흥로47번길 18-16 여주이주민지원센터
9,경기도,여주시,여주환경운동연합,경기도 여주시 여흥로47번길 18-16 2층
0,경기도,여주시,가남반석주간보호센터,경기도 여주시 가남읍 은봉길 116-29 가남반석노인주간보호센터
1,경기도,여주시,늘사랑노인요양공동생활가정,경기도 여주시 강천면 원양1로 774 늘사랑노인요양공동생활가정
2,경기도,여주시,대진요양시설,경기도 여주시 강천면 강천로 702 대진요양시설
3,경기도,여주시,믿음의집,경기도 여주시 북내면 가정긴골길 41-8 믿음의 집
4,경기도,여주시,사마리안지역아동센터,경기도 여주시 청심로 165 사마리안지역아동센터
5,경기도,여주시,세광사랑방,경기도 여주시 가남읍 경충대로 1162-19 세광사랑방
6,경기도,여주시,시애노병원,경기도 여주시 북내면 도예로 361-30 시애노병원
7,경기도,여주시,여강길,"경기도 여주시 강변유원지길 105 2층, 여강길"
8,경기도,여주시,여주시지체장애인협회,경기도 여주시 소양로53번길 18 여주시지체장애인협회
9,경기도,여주시,한국지역아동센터,경기도 여주시 가남읍 이화길 56-22 한국지역아동센터
0,경기도,여주시,대신노인복지센터,경기도 여주시 대신면 여양1로 144 대신노인복지센터
1,경기도,여주시,라파엘직업재활센터,경기도 여주시 강천면 원양1로 907 라파엘직업재활센터
2,경기도,여주시,베데스다요양원,경기도 여주시 도예로 113-14 베데스다요양원
3,경기도,여주시,사랑이가득한요양원,경기도 여주시 세종로517번길 7-8 사랑이가득한요양원
4,경기도,여주시,소망교도소,경기도 여주시 북내면 아가페길 140
5,경기도,여주시,여주시온의집,경기도 여주시 북내면 서원2길 37 여주시온의집
6,경기도,여주시,예뜰요양원,경기도 여주시 북내면 좌암2길 66
