,지역,시군구,기관,주소
0,경기도,의정부시,동암초등병설유치원,경기도 의정부시 장곡로 206 동암초등학교
1,경기도,의정부시,신곡1동행정복지센터,경기도 의정부시 발곡로 17 신곡1동행정복지센터
2,경기도,의정부시,연지곤지주야간보호센터,경기도 의정부시 시민로 405 4층
3,경기도,의정부시,의정부경찰서 금오지구대,경기도 의정부시 추동로108번길 1 금오지구대
4,경기도,의정부시,의정부민락중학교,경기도 의정부시 오목로 151 아람터도서관
5,경기도,의정부시,의정부시공원녹지과,경기도 의정부시 시민로 1
6,경기도,의정부시,의정부시복지정책과,경기도 의정부시 시민로 1
7,경기도,의정부시,의정부시자원봉사센터,경기도 의정부시 의정로 165 4층
8,경기도,의정부시,의정부시평생교육비전센터,경기도 의정부시 의정로 165 1층
9,경기도,의정부시,흥선동행정복지센터,경기도 의정부시 흥선로 20
0,경기도,의정부시,녹양동주민센터,경기도 의정부시 진등로 21 녹양동주민센터
1,경기도,의정부시,사단법인의정부시새마을회,경기도 의정부시  신흥로 177-27 의정부시봉사회관
2,경기도,의정부시,송산1동주민센터,경기도 의정부시 민락로 13 송산1동주민센터
3,경기도,의정부시,송산2동행정복지센터,경기도 의정부시 용민로 115 다리목근린공원 옆
4,경기도,의정부시,의정부3동주민센터,경기도 의정부시 경의로 120 의정부3동주민센터
5,경기도,의정부시,의정부시문화관광과,경기도 의정부시 시민로 1
6,경기도,의정부시,의정부시여성가족과,경기도 의정부시 시민로 1
7,경기도,의정부시,의정부시자원순환과,경기도 의정부시 시민로 1 의정부시청
8,경기도,의정부시,의정부시징수관,경기도 의정부시 시민로 1 의정부시청
9,경기도,의정부시,호원1동주민센터,경기도 의정부시 평화로230번길 12-9 호원1동주민센터
0,경기도,의정부시,가능동주민센터,경기도 의정부시 신촌로 35
1,경기도,의정부시,경기북부노인보호전문기관,경기도 의정부시가능로136번길 7 의정부교회
2,경기도,의정부시,경기북부병무지청,경기도 의정부시 전좌로 76
3,경기도,의정부시,솔뫼초등학교도서관,경기도 의정부시 시민로 442 도서실
4,경기도,의정부시,신곡2동주민센터,경기도 의정부시 추동로23번길 7 신곡2동주민센터
5,경기도,의정부시,의정부1동주민센터,경기도 의정부시 가능로152번길 14 의정부1동주민센터
6,경기도,의정부시,의정부고용복지+센터,경기도 의정부시 시민로 49 754 신동아파라디움빌딩 1~2층
7,경기도,의정부시,자금동주민센터,경기도 의정부시 거북로 13 자금동주민센터
8,경기도,의정부시,장암동주민센터,경기도 의정부시 장곡로250번길 23 장암동주민센터
9,경기도,의정부시,한국장애인고용촉진공단,경기도 의정부시신흥로 251 구성타워빌딩 9층
0,경기도,의정부시,경기도병원 의정부의료원,경기도 의정부시 흥선로 142 경기도병원 의정부의료원
1,경기도,의정부시,경기도북부육아종합지원센터,경기도 의정부시 둔야로 9 경기도북부육아종합지원센터 4층
2,경기도,의정부시,경기도청 북부청사 행정도서관,경기도 의정부시  청사로 1 경기도청 북부청사 행정도서관
3,경기도,의정부시,경기도청북부청사,경기도 의정부시 청사로 1
4,경기도,의정부시,사)의정부시어린이식생활안전관리센터,경기도 의정부시 호국로 1778-56
5,경기도,의정부시,송양중학교,경기도 의정부시 용민로 308
6,경기도,의정부시,의정부문화원,경기도 의정부시 산단로 123 의정부문화원
7,경기도,의정부시,의정부소방서,경기도 의정부시 의정로 48 의정부소방서
8,경기도,의정부시,의정부시마을사회적경제지원센터,경기도 의정부시 용민로 373-17 의정부시마을사회적경제지원센터
9,경기도,의정부시,의정부우체국,경기도 의정부시추동로 88 의정부우체국
0,경기도,의정부시,365언제나경기도청민원센터,경기도 의정부시 경의로118번길 49 3층
1,경기도,의정부시,경기도의정부교육지원청,경기도 의정부시  가능로136번길 29 경기도의정부교육지원청(의정부동 225-3)
2,경기도,의정부시,경기북부장애인인권센터,경기도 의정부시  오목로225번길 140 성산타워 301호
3,경기도,의정부시,고산초등학교,경기도 의정부시 고산로 121 고산초등학교
4,경기도,의정부시,국공립 장수원어린이집,경기도 의정부시  평화로 159-1 국공립 장수원어린이집
5,경기도,의정부시,녹양중학교,경기도 의정부시 체육로 187 녹양중
6,경기도,의정부시,동국대학교사범대학부속영석고등학교,경기도 의정부시 시민로 363 동국대학교 사범대학부속 영석고등학교
7,경기도,의정부시,송양초등학교,경기도 의정부시 송양로 46
8,경기도,의정부시,송현고등학교,경기도 의정부시 용민로 159 송현고등학교
9,경기도,의정부시,의정부시사회복지사협회,경기도 의정부시 의정로 165 5층
0,경기도,의정부시,경기북동부해바라기센터,경기도 의정부시 흥선로 142
1,경기도,의정부시,경기북부지방경찰청,경기도 의정부시  금오로23번길 22-49 경기북부지방경찰청
2,경기도,의정부시,동암중학교,경기도 의정부시 장곡로226번길 132 동암중학교
3,경기도,의정부시,의정부 경찰서 가능지구대,경기도 의정부시  호국로 1171 가능지구대
4,경기도,의정부시,의정부경찰서 송산파출소,경기도 의정부시  용민로 119 송산파출소
5,경기도,의정부시,의정부경찰서 신곡지구대,경기도 의정부시  경의로 119 신곡지구대
6,경기도,의정부시,의정부경찰서 호원파출소,경기도 의정부시  평화로 159 호원파출소
7,경기도,의정부시,의정부송산초등학교,경기도 의정부시 오목로 228 송산초등학교
8,경기도,의정부시,호동초등학교,경기도 의정부시 호동로 45 호동초등학교
9,경기도,의정부시,희망학교,경기도 의정부시  진등로11번길 9-2 희망학교
0,경기도,의정부시,경기북부스마트쉼센터,경기도 의정부시  범골로 137 경기도일자리재단 102호
1,경기도,의정부시,도로교통공단의정부운전면허시험장,경기도 의정부시 금오로109번길 55 의정부면허시험장
2,경기도,의정부시,민주평화통일자문회의정부시협의회,경기도 의정부시시민로 1 의정부시청 본관3층 민주평통
3,경기도,의정부시,부용초등학교,경기도 의정부시 오목로 83 의정부 부용초등학교
4,경기도,의정부시,송산1동주민자치센터,경기도 의정부시  민락로 13 송산1동주민센터
5,경기도,의정부시,송양고등학교,경기도 의정부시 민락로 392 경기 의정부시 낙양동 456
6,경기도,의정부시,의정부경찰서,경기도 의정부시호국로 1265 의정부경찰서
7,경기도,의정부시,의정부시 어린이급식관리지원센터,경기도 의정부시 회룡로 139 남영빌딩 3층
8,경기도,의정부시,의정부시장애인체육회,경기도 의정부시체육로 90 종합운동장 내
9,경기도,의정부시,의정부시청소년육성재단,경기도 의정부시  의정로 27
0,경기도,의정부시,(사)경기도장애인재활협회,경기도 의정부시호국로 1290 정우 오피스텔 201호
1,경기도,의정부시,경기도시각장애인복지관,경기도 의정부시 추동로 140 801-1번지 4층
2,경기도,의정부시,새시대어린이집,경기도 의정부시  신흥로207번길 51 새시대어린이집
3,경기도,의정부시,송민학교,경기도 의정부시민락로 262
4,경기도,의정부시,수락글방작은도서관,경기도 의정부시 누원로 51 관리동 지하
5,경기도,의정부시,의정부노인종합복지관,경기도 의정부시 경의로85번길 16-12 의정부노인종합복지관
6,경기도,의정부시,의정부시남자청소년쉼터,경기도 의정부시  경의로 56 유풍빌딩 5층 의정부시남자청소년쉼터
7,경기도,의정부시,의정부시드림스타트,경기도 의정부시새말로 9 트윈프라자2 4층
8,경기도,의정부시,의정부시육아종합지원센터,경기도 의정부시  신흥로 198 덕암빌딩 3~5층 의정부시육아종합지원센터
9,경기도,의정부시,호원2동행정복지센터,경기도 의정부시 신흥로 115
0,경기도,의정부시,경기도교육청,경기도 의정부시 동일로 700
1,경기도,의정부시,경기북부가정위탁지원센터,경기도 의정부시 시민로19번길 30-11 2층
2,경기도,의정부시,경기북부시각장애인점자도서관,경기도 의정부시추동로140번길 26-18 경기북부상공회의소 3층
3,경기도,의정부시,경기북부장애인가족지원센터,경기도 의정부시충의로 73 밀레니엄프라자
4,경기도,의정부시,의정부교도소,경기도 의정부시송산로 1111-76
