,지역,시군구,기관,주소
0,경기도,이천시,국립이천호국원,경기도 이천시 설성면 노성로 260 국립이천호국원
1,경기도,이천시,대한장애인체육회 이천훈련원,경기도 이천시 신둔면 석동로 167 이천훈련원
2,경기도,이천시,도암초등학교,경기도 이천시 신둔면 증신로 550 교무실
3,경기도,이천시,민주화운동기념공원,경기도 이천시 모가면 공원로 30
4,경기도,이천시,백사면사무소,경기도 이천시 백사면 현방로 65
5,경기도,이천시,서희역사관,경기도 이천시 부발읍 무촌로18번길 130 서희역사관
6,경기도,이천시,이천교육청,경기 이천시 증포동 375-11
7,경기도,이천시,이천시보건소,경기도 이천시 증신로153번길 13 이천시보건소
8,경기도,이천시,이천시청 안전총괄과,경기도 이천시 부악로 40 8층 안전총괄과
9,경기도,이천시,이천시청 여성가족과 청소년팀,경기도 이천시 부악로 40 이천시청 (여성가족과 청소년팀)
0,경기도,이천시,설봉초등학교,경기도 이천시 향교로 129 2층 도서실
1,경기도,이천시,이천시 정신건강복지센터,경기도 이천시 이섭대천로 1119 이천시 상공회의소 2층 이천시 정신건강복지센터
2,경기도,이천시,이천시건강가정.다문화가족지원센터,경기도 이천시 남천로 31 중리동 187 이천시 종합복지타운
3,경기도,이천시,이천시건강가정·다문화가족지원센터,경기도 이천시 남천로 31 여성회관 3층
4,경기도,이천시,이천시건강가정다문화가족지원센터,경기도 이천시 경충대로2638번길 17 여성회관 3층
5,경기도,이천시,이천시청소년상담복지센터,경기도 이천시 영창로 260 3층
6,경기도,이천시,이천지역자활센터,경기도 이천시 신둔면 원적로290번길 14 주차장내 이천지역자활센터 1층
7,경기도,이천시,청미청소년문화의집,경기도 이천시 장호원읍 서동대로8965번길 57 청미청소년문화의집
8,경기도,이천시,한국도자재단,경기도 이천시 경충대로2697번길 263 한국도자재단 이천세계도자센터
9,경기도,이천시,한내초등학교,경기도 이천시 갈산로 71 한내초등학교 도서관
0,경기도,이천시,경기도 이천시 청미도서관,경기도 이천시 장호원읍 서동대로8829번길 53-6 청미도서관
1,경기도,이천시,다원학교,경기도 이천시 부발읍 부발중앙로46번길 21 다원학교
2,경기도,이천시,대한적십자사 경기도지사 동부희망나눔봉사센터,경기도 이천시 경충대로2493번길 2-21
3,경기도,이천시,마장도서관,경기도 이천시 마장면 마장로 11 마장도서관
4,경기도,이천시,아리마을작은도서관,경기도 이천시  증신로291번길 155 신일아파트 아리마을작은도서관
5,경기도,이천시,이천 여성새로일하기 센터,경기도 이천시  남천로 31 이천시종합복지타운내 3층(이천여성새로일하기센터)
6,경기도,이천시,이천시시설관리공단(이천농업테마공원),경기도 이천시 모가면 공원로 48 이천농업테마공원
7,경기도,이천시,이천시육아종합지원센터,경기도 이천시  중리천로34번길 38
8,경기도,이천시,한마음유치원,경기도 이천시 백사면 청백리로 64-28 가동
9,경기도,이천시,햇사레지역아동센터,경기도 이천시 장호원읍 장감로41번길 5 햇사레지역아동센터
0,경기도,이천시,더자람어린이집,경기도 이천시 부발읍 경충대로2041번길 165
1,경기도,이천시,부원고등학교,경기도 이천시  서동대로 8857 부원고등학교
2,경기도,이천시,이천고등학교,경기도 이천시  아리역로16번길 1
3,경기도,이천시,이천시립도서관,경기도 이천시  설봉로 81 50 이천시립도서관
4,경기도,이천시,이천시립어린이도서관,경기도 이천시  남천로 31 이천시립어린이도서관
5,경기도,이천시,이천시립효양도서관,경기도 이천시 부발읍 경충대로2250번길 35 이천시립효양도서관
6,경기도,이천시,이천시자원봉사센터,경기도 이천시  영창로 119
7,경기도,이천시,이천시장애인체육회,경기도 이천시 부발읍 중부대로 1696 이천종합운동장내 이천시장애인체육회
8,경기도,이천시,이천시청소년상담복지센터,경기도 이천시  영창로 260 서희청소년문화센터 3층
9,경기도,이천시,효양도서관,경기도 이천시 부발읍 경충대로2250번길 35 효양도서관
0,경기도,이천시,국공립 율면 어린이집,경기도 이천시 율면 고당로119번길 25 율면 어린이집
1,경기도,이천시,모가작은도서관,경기도 이천시 모가면 대월로63번길 54 2층 모가작은도서관
2,경기도,이천시,서희청소년문화센터,경기도 이천시 창전동 105-3
3,경기도,이천시,설봉어린이집,경기도 이천시  설봉로30번길 22 설봉어린이집
4,경기도,이천시,율면어린이집,경기도 이천시 율면 고당로119번길 25 415-1율면어린이집
5,경기도,이천시,이천고용복지플러스센터,경기도 이천시 이섭대천로 1309 이천고용복지플러스센터
6,경기도,이천시,이천시다문화가족지원센터,경기도 이천시  남천로 31 이천시종합복지타운 여성회관 3층 이천시다문화가족지원센터
7,경기도,이천시,이천시의사회,경기도 이천시 영창로 223 역적빌딩4층
8,경기도,이천시,이천시청 자원관리과,"경기도 이천시  부악로 40 (중리동, 이천시청)"
9,경기도,이천시,증포송정 작은도서관,경기도 이천시 아리역로 34 증포송정 작은도서관 (2층)
0,경기도,이천시,노승산우무실마을,경기도 이천시 설성면 진상미로867번길 34-8 수산리 383-1
1,경기도,이천시,상승숲속어린이집,경기도 이천시 장호원읍 경충대로597번길 225 상승숲속어린이집
2,경기도,이천시,설봉서원,경기도 이천시 경충대로2709번길 276 설봉서원
3,경기도,이천시,설봉아름드리작은도서관,경기도 이천시 애련정로 180 설봉아름드리작은도서관
4,경기도,이천시,이천소망요양병원,경기도 이천시 호법면 중부대로 797-26 이천소망요양병원
5,경기도,이천시,이천시 산악연맹,경기도 이천시 경충대로2709번길 152 이천시 산악연맹(인공암벽장내)
6,경기도,이천시,이천시탁구협회,경기도 이천시 부발읍 중부대로 1696 탁구전용구장
7,경기도,이천시,이천시환경학습관,경기도 이천시 호법면 중부대로798번길 126
8,경기도,이천시,창전청소년문화의집,경기도 이천시 영창로163번길 28 창전청소년문화의집
9,경기도,이천시,초록놀이터,"경기도 이천시 신둔면 원적로529번길 344-18 1,2층"
0,경기도,이천시,꿈이있는 지역아동센터,경기도 이천시 장호원읍 장여로55번길 40-5 2층 꿈이있는 지역아동센터
1,경기도,이천시,도니울마을,경기도 이천시 대월면 대월로667번길 359 도니울명품쌀정보화마을
2,경기도,이천시,백사어린이집,경기도 이천시 백사면 청백리로 413
3,경기도,이천시,사랑의집,경기도 이천시  금율로828번길 198-50 사랑의집
4,경기도,이천시,이천부발청소년문화의집,경기도 이천시 부발읍 무촌로 121 청소년문화의집 부발청소년문화의집
5,경기도,이천시,이천스포츠센터,경기도 이천시 호법면 중부대로798번길 126 이천스포츠센터
6,경기도,이천시,일신성화학교 지역아동센터,경기도 이천시 부발읍 중부대로1796번길 35-7 일신성화학교 지역아동센터
7,경기도,이천시,창전지역아동센타,경기도 이천시  향교로 64 창전동
8,경기도,이천시,한국기독교역사박물관,경기도 이천시 대월면 대평로214번길 10-13 한국기독교역사박물관
9,경기도,이천시,한마음일터,경기도 이천시 마장면 이장로 256 한마음일터
0,경기도,이천시,(사) 경기도지체장애인협회 이천시지회,경기도 이천시 서희로 7-14 이천공설운동장 본부석 1층
1,경기도,이천시,국공립 장호원어린이집,경기도 이천시 장호원읍 서동대로8965번길 57 장호원 어린이집
2,경기도,이천시,동이천로타리클럽,경기도 이천시 서희로 35 4층
3,경기도,이천시,어울림비전센터,경기도 이천시 장호원읍 장여로85번길 73 1층 가운데칸
4,경기도,이천시,은빛사랑채 신하주간보호센터,경기도 이천시 신둔면 경충대로 3225 은빛사랑채 신하주간보호센터
5,경기도,이천시,이천라이온스클럽,경기도 이천시 경충대로 2839-41 이천라이온스클럽
6,경기도,이천시,이천로타리클럽,경기도 이천시 이섭대천로 1342 3층
7,경기도,이천시,이천시건강가정.다문화가족지원센터,경기도 이천시 남천로 31 여성회관 3층 이천시건강가정다문화가족지원센터
8,경기도,이천시,이천시여자단기청소년쉼터(나르샤),경기도 이천시 영창로227번길 28 111호
9,경기도,이천시,함께하는 작은도서관,경기도 이천시 영창로314번길 28 2층 함께하는 작은도서관
0,경기도,이천시,(사)다문화가정협회,경기도 이천시  서희로 16-4 2층
1,경기도,이천시,(사)대한미용사회이천시지부,경기도 이천시 서희로 48
2,경기도,이천시,나눔과기쁨이천지부,경기도 이천시 서희로71번길 14 남강빌딩
3,경기도,이천시,비영리교육단체 씨앗,경기도 이천시 애련정로149번길 6 301호
4,경기도,이천시,신둔작은도서관,경기도 이천시 신둔면 경충대로3160번길 1-14 신둔작은도서관
5,경기도,이천시,에메트작은도서관,경기도 이천시 갈산로136번길 30 167-2 1층
6,경기도,이천시,이천소망병원,경기도 이천시 호법면 중부대로 797-26 이천소망병원
7,경기도,이천시,이천시어린이급식지원센터,경기도 이천시 증신로153번길 13 이천시보건소 지하 1층
8,경기도,이천시,이천시체육회,경기도 이천시 부발읍 중부대로 1696 종합운동장 이천시체육회
9,경기도,이천시,이천시축구협회,경기도 이천시 부발읍 중부대로 1696 이천종합운동장내 1층
0,경기도,이천시,(사)이천시다문화가정센터,경기도 이천시 부발읍 중부대로1796번길 35-7
1,경기도,이천시,(사)한국장애인정보화협회경기도이천시지회,경기도 이천시  서희로 7-14
2,경기도,이천시,관고동새마을,경기도 이천시  영창로 108 벽산아파트
3,경기도,이천시,부발로타리클럽,경기도 이천시 부발읍 무촌로 133 효양타운3층
4,경기도,이천시,사)장애인부모회이천지부,경기도 이천시  남천로 31 여성회관 지하 보육실
5,경기도,이천시,사단법인 이천시자원봉사협의회,경기도 이천시  남천로 31 이천시종합복지타운 관리동 2층 이천시자원봉사협의회
6,경기도,이천시,이천설봉로타리클럽,경기도 이천시  서희로39번길 3 (2층)이천설봉로타리클럽
7,경기도,이천시,이천중앙로타리클럽,경기도 이천시  이섭대천로 1185 401호  이천중앙로타리클럽
8,경기도,이천시,증포동새마을협의회,경기도 이천시  갈산로136번길 119
9,경기도,이천시,청미봉사회,경기도 이천시 장호원읍 장터로1번길 4 하나부동산
0,경기도,이천시,사)세계여성평화그룹(IWPG),경기도 이천시 설봉로 7 학산빌딩 3층 NGO. IWPG
1,경기도,이천시,사단법인 세계청소년교류연맹,경기도 이천시 호법면 장자터로 114-129 사단법인 세계청소년교류연맹
2,경기도,이천시,사단법인 행복투게더,경기도 이천시 대월면 사동로 88 행복투게더도시락
3,경기도,이천시,생명나무 작은어린이도서관,경기도 이천시  이섭대천로1439번길 15 3F 생명나무 작은어린이도서관
4,경기도,이천시,성안드레아자원봉사센터,경기도 이천시  서이천로320번길 109-84 성안드레아병원 자원봉사센터
5,경기도,이천시,수림1차 행복도서관,"경기도 이천시 증신로291번길 105 관리동2층 행복도서관 (송정동, 수림1차아파트)"
6,경기도,이천시,에버빌 작은도서관,경기도 이천시 안흥로 60 현진에버빌 지하1층 에버빌 작은도서관
7,경기도,이천시,이천시장애인자립생활센터,경기도 이천시 설봉로 185 404-2 하이힐파크 101동 101호
8,경기도,이천시,이천시지속가능발전협의회,경기도 이천시 부악로 40 부악관 204호
