,지역,시군구,기관,주소
0,경기도,하남시,(재)하남시자원봉사센터,경기도 하남시 신장로228번길 5 2층 (재)하남시자원봉사센터
1,경기도,하남시,광주하남교육지원청마을교육공동체팀,경기도 광주시 광주대로 178 광주하남교육지원청
2,경기도,하남시,성광학교,경기도 하남시 신장로55번길 71 성광학교
3,경기도,하남시,위례중학교,경기도 하남시 위례순환로 343 위례중학교
4,경기도,하남시,하남시 자원순환과,"경기도 하남시  미사대로 710 (신장동, 하남시환경기초시설) 하남시청 자원순환과"
5,경기도,하남시,하남시 청소년지원센터 꿈드림,경기도 하남시 대청로 10 하남시청 본관 지층
6,경기도,하남시,하남시 치매안심센터,경기도 하남시 대청로 9 우정빌딩5층 치매안심센터
7,경기도,하남시,하남시 친환경재생과,경기도 하남시  대청로 10 하남시청 친환경재생과
8,경기도,하남시,하남시덕풍도서관,경기도 하남시 역말로 14 덕풍도서관
9,경기도,하남시,하남정신건강복지센터,경기도 하남시 대청로 9 우정빌딩 4층 정신건강증진센터
0,경기도,하남시,달봄유치원,경기도 하남시 미사강변북로30번길 56 달봄유치원
1,경기도,하남시,시립아란티움어린이집,경기도 하남시 미사강변중앙로 120 시립아란티움어린이집
2,경기도,하남시,하남경찰서 생활안전계,경기도 하남시  검단로 27 하남경찰서 생활안전계
3,경기도,하남시,하남나룰도서관,경기도 하남시 덕풍3동 739 하남시나룰도서관
4,경기도,하남시,하남드림스타트센터,경기도 하남시 신평로 125 하남문화예술회관
5,경기도,하남시,하남보건소,경기도 하남시 대청로 10 보건소
6,경기도,하남시,하남소방서,경기도 하남시 대청로 76 (신장동.하남소방서)
7,경기도,하남시,하남시신장도서관,경기도 하남시 하남대로 740 신장도서관 (신장동)
8,경기도,하남시,하남시청소년지원센터,경기도 하남시 신장2동 하남시청 청소년지원센터
9,경기도,하남시,한홀초등학교병설유치원,경기도 하남시 미사강변서로 68 한홀초등학교병설유치원
0,경기도,하남시,시립나룰어린이집,경기도 하남시  덕풍서로 45 휴먼시아꽃뫼마을2단지아파트 205동 1층 시립나룰어린이집
1,경기도,하남시,시립덕풍어린이집,경기도 하남시  수리북로27번길 5-24 시립덕풍어린이집
2,경기도,하남시,시립새하남어린이집,경기도 하남시  아리수로 565-2 미사강변13단지
3,경기도,하남시,시립초롱어린이집,경기도 하남시 덕산로 75 시립초롱어린이집
4,경기도,하남시,에어팰리스 어린이집,경기도 하남시 초일로 78
5,경기도,하남시,하남경찰서여성청소년계,경기도 하남시 검단로 27 하남경찰서 여성청소년계
6,경기도,하남시,하남시어린이급식관리지원센터,경기도 하남시 하남대로802번길 121 지하1층 하남시어린이급식지원센터
7,경기도,하남시,하남시장애인복지관,경기도 하남시 미사강변남로 56 하남시장애인복지관
8,경기도,하남시,하남시장애인주간보호시설,경기도 하남시  검단로19번길 27 장애인주간보호시설 복지회관1층
9,경기도,하남시,하남시종합사회복지관,경기도 하남시 덕풍천서로 9 (신장동.종합사회복지관)
0,경기도,하남시,(재)하남문화재단,경기도 하남시  신평로 125 하남문화예술회관 전시장 3층
1,경기도,하남시,느티나무 마을,경기도 하남시 덕풍동로 53 (덕풍동)
2,경기도,하남시,시립풍산어린이집,경기도 하남시  덕풍북로 70 휴먼시아꽃뫼마을1단지아파트 108동 시립풍산어린이집
3,경기도,하남시,은빛사랑채 영락노인주간보호센터,경기도 하남시  안터로 29-16 은빛사랑채 영락노인주간보호센터
4,경기도,하남시,하남고 아마추어 무선 동아리(HHH),경기도 하남시 망월동 778-1 하남고등학교
5,경기도,하남시,하남문화원,경기도 하남시  덕풍동로 12 덕풍3동주민센터 덕풍동 285-80 번지
6,경기도,하남시,하남시립은방울어린이집,경기도 하남시  덕풍천서로 9 종합사회복지관 1층 은방울어린이집
7,경기도,하남시,하남시미사강변종합사회복지관,경기도 하남시  아리수로 565 1301동 1층
8,경기도,하남시,하남시평생학습관,경기도 하남시 하남대로 732 하남시평생학습관
9,경기도,하남시,하남청소년문화의집,경기도 하남시 대청로 11 (신장동. 백천빌딩)
0,경기도,하남시,(사)한국지적장애인복지협회하남시지부,경기도 하남시 검단로19번길 27 (하산곡동.복지회관3층)
1,경기도,하남시,더샵작은도서관,경기도 하남시 하남대로 856 더샵작은도서관
2,경기도,하남시,시립미사어린이집,경기도 하남시 미사강변남로 56 하남시장애인복지관 1층내 시립미사어린이집
3,경기도,하남시,시립미사이편한세상어린이집,경기도 하남시 미사강변중앙로 90 시립미사이편한세상어린이집
4,경기도,하남시,에뜰작은도서관,경기도 하남시 하남유니온로 70 관리동 지하 1층
5,경기도,하남시,위례아스트로작은도서관,경기도 하남시 위례광장로 285 신안인스빌아스트로작은도서관
6,경기도,하남시,하남노인복지회관,경기도 하남시 서하남로 488 (춘궁동. 하남시노인복지회관)
7,경기도,하남시,하남시건강가정지원센터,경기도 하남시 덕풍천서로 9 하남시종합사회복지관 별관 4층
8,경기도,하남시,하남시세미도서관,경기도 하남시 세미로1길 15 하남시세미도서관
9,경기도,하남시,하남시육아종합지원센터,"경기도 하남시 미사강변대로54번길 125 5층, 6층 하남시육아종합지원센터"
0,경기도,하남시,(사)한국예총 하남지회,경기도 하남시 덕풍동로 12 문화원3층
1,경기도,하남시,(사)한국자유총연맹하남시지회,경기도 하남시  역말로 71 하남역사박물관
2,경기도,하남시,(사)한국장애인부모회하남지부,경기도 하남시  신장로 130-5 계명빌딩 601-1호
3,경기도,하남시,광주하남아이쿱소비자생활협동조합,경기도 하남시 하남대로 855 402호
4,경기도,하남시,꿈꾸는 달팽이작은도서관,경기도 하남시 하남대로 778 2층
5,경기도,하남시,미사강변무지개작은도서관,경기도 하남시 미사강변대로 270 미사강변센트리버 커뮤니센터
6,경기도,하남시,민주평화통일자문회의하남시협의회,경기도 하남시  대청로 10 하남시청 본관4층
7,경기도,하남시,사)경기도장애인미디어인권협회하남지회,경기도 하남시 대청로 10 하남시청(종합민원실 내)
8,경기도,하남시,사)정해복지부설하남행복한가정상담소,경기도 하남시  신장로 171-3 6층
9,경기도,하남시,한국시각장애인연합회 하남시지회,경기도 하남시  검단로19번길 27 복지관 2층
0,경기도,하남시,(사)경기도장애인복지회하남시지부,경기도 하남시 역말로 71 (덕풍동)
