,지역,시군구,기관,주소
0,경상남도,산청군,경상남도환경교육원,경상남도 산청군 시천면 지리산대로 1 경상남도환경교육원(지리산국립공원내)
1,경상남도,산청군,산청교육지원청,경상남도 산청군 산청읍 친환경로 2707-10 산청교육지원청
2,경상남도,산청군,산청군금서면사무소,경상남도 산청군 금서면 친환경로 2536 금서면
3,경상남도,산청군,산청군농촌폐기물종합처리시설,경상남도 산청군 생비량면 진산로 2192-77
4,경상남도,산청군,산청군보건의료원,경상남도 산청군 산청읍 중앙로 97
5,경상남도,산청군,산청군산청읍사무소,경상남도 산청군 산청읍 산엔청로 42
6,경상남도,산청군,산청군시천면사무소,경상남도 산청군 시천면 남명2길 21
7,경상남도,산청군,산청군신안면사무소,경상남도 산청군 신안면 원지로 9
8,경상남도,산청군,신등면사무소,경상남도 산청군 신등면 신차로 576
9,경상남도,산청군,오부면사무소,경상남도 산청군 오부면 산수로 541
0,경상남도,산청군,국립산청호국원,경상남도 산청군 단성면 목화로170번길 57 국립산청호국원
1,경상남도,산청군,산청경찰서,경상남도 산청군 산청읍 중앙로 1
2,경상남도,산청군,산청군단성면사무소,경상남도 산청군 단성면 목화로 985
3,경상남도,산청군,산청군삼장면사무소,경상남도 산청군 삼장면 덕산대포로 257
4,경상남도,산청군,산청군생비량면사무소,경상남도 산청군 생비량면 비량로 38
5,경상남도,산청군,산청군생초면사무소,경상남도 산청군 생초면 생초로 58
6,경상남도,산청군,산청도서관,경상남도 산청군 산청읍 꽃봉산로79번길 45 산청도서관
7,경상남도,산청군,산청문화원,경상남도 산청군 산청읍 산엔청로 56 산청문화원
8,경상남도,산청군,산청박물관,경상남도 산청군 생초면 산수로 1064 산청박물관
9,경상남도,산청군,지리산국립공원사무소,경상남도 산청군 시천면 남명로 376 지리산국립공원사무소
0,경상남도,산청군,남사예담촌,경상남도 산청군 단성면 지리산대로2897번길 10 10-3 남사예담촌
1,경상남도,산청군,산청고등학교,경상남도 산청군 산청읍 웅석봉로86번길 9-12
2,경상남도,산청군,산청군건강가정지원센터,경상남도 산청군 산청읍 꽃봉산로79번길 31-3
3,경상남도,산청군,산청군새마을회,경상남도 산청군 산청읍 웅석봉로86번길 9-2
4,경상남도,산청군,산청군자원봉사센터,경상남도 산청군 산엔청로 1 산청군자원봉사센터
5,경상남도,산청군,산청군체육회,경상남도 산청군 금서면 친환경로2631번길 39
6,경상남도,산청군,산청지역자활센터,경상남도 산청군 산청읍 꽃봉산로 84 산청지역자활센터
7,경상남도,산청군,산청한의학박물관,경상남도 산청군 금서면 동의보감로555번길 61 산청한의학박물관
8,경상남도,산청군,한일노인요양원,경상남도 산청군 산청읍 웅석봉로67번길 26
9,경상남도,산청군,행복미소 작은도서관,경상남도 산청군 신안면 원지로4번길 36 행복미소 작은도서관
0,경상남도,산청군,(사)대한노인회산청군지회,경상남도 산청군 산청읍 중앙로2번길 2
1,경상남도,산청군,(사)숲과문화의향기-산청군청소년방과후아카데미,경상남도 산청군 산청읍 웅석봉로 92 청소년수련관 3층
2,경상남도,산청군,민주평화통일자문회의산청군협의회,경상남도 산청군 산청읍 산엔청로 1 산청군청내
3,경상남도,산청군,바르게살기운동산청군협의회,경상남도 산청군 산청읍 산엔청로 42
4,경상남도,산청군,사)느티나무경상남도장애인부모회산청군지부,경상남도 산청군 신안면 원지로4번길 64
5,경상남도,산청군,사단법인경남지체장애인연합회산청지회,경상남도 산청군 금서면 친환경로2631번길 12
6,경상남도,산청군,산청 성심원,경상남도 산청군 산청읍 산청대로1381번길 17 산청 성심원
7,경상남도,산청군,산청예심소규모노인종합센터,경상남도 산청군 금서면 동의보감로312번길 11-10 산청예심소규모노인종합센터
8,경상남도,산청군,숲속새마을작은도서관,경상남도 산청군 삼장면 덕산대포로 257 숲속마을작은도서관
9,경상남도,산청군,화계지역아동센터,경상남도 산청군 금서면 경호로 49 화계지역아동센터
0,경상남도,산청군,대동강변타운새마을작은도서관,경상남도 산청군 신안면 원지강변로61번길 24
1,경상남도,산청군,사회복지법인함께나눔,경상남도 산청군 산청읍 동의보감로312번길 176-57 이례마을
2,경상남도,산청군,산청성모노인전문요양원,경상남도 산청군 금서면 친환경로 2016 산청성모노인전문요양원
3,경상남도,산청군,삼장면대포마을,경상남도 산청군 삼장면 덕산대포로245번길 48 대포정보화마을
4,경상남도,산청군,신안면진태마을,경상남도 산청군 신안면 원지로 9
5,경상남도,산청군,이레마을,경상남도 산청군 산청읍 동의보감로312번길 176-57 이레사회복지시설
6,경상남도,산청군,자모당,경상남도 산청군 생초면 새실로 5 자모당
7,경상남도,산청군,지혜샘지역아동센터,경상남도 산청군 생초면 왕산로 378 생초면
