,지역,시군구,기관,주소
0,경상남도,진주시,경상남도산림환경연구원,경상남도 진주시 이반성면 수목원로 386 경상남도수목원
1,경상남도,진주시,부산지방고용노동청진주지청,경상남도 진주시 금산면 금산순환로11번길 43
2,경상남도,진주시,상대동행정복지센터,경상남도 진주시 동진로 189 (상대동)
3,경상남도,진주시,상봉동행정복지센터,경상남도 진주시 창렬로162번길 9 (상봉동)
4,경상남도,진주시,진주시보건소 건강증진과 건강관리지원,"경상남도 진주시  월아산로 2026 진주시보건소 재활사업실(초전동, 경남서부청사)"
5,경상남도,진주시,진주시보건소 치매정책과,경상남도 진주시 문산읍 월아산로 983 정신건강복지센터
6,경상남도,진주시,창원보호관찰소진주지소,"경상남도 진주시 소호로 86 (충무공동, 진주준법지원센터)"
7,경상남도,진주시,천전동주민센터,경상남도 진주시 망경남길 30 (망경동)
8,경상남도,진주시,충무공동주민센터,경상남도 진주시 충의로 145 (충무공동)
9,경상남도,진주시,하대동행정복지센터,경상남도 진주시 모덕로 305 (하대동)
0,경상남도,진주시,경남서부보훈지청,경상남도 진주시 월아산로 2082-5 (초전동)
1,경상남도,진주시,국립농산물품질관리원 진주사무소,경상남도 진주시  솔밭로80번길 16 (상평동)
2,경상남도,진주시,민주평화통일자문회의진주시협의회,경상남도 진주시 동진로 155 진주시청 10층(상대동)
3,경상남도,진주시,성북동주민센터,경상남도 진주시 진주대로1143번길 3 (봉곡동)
4,경상남도,진주시,중앙동행정복지센터,경상남도 진주시 진주대로1032번길 14 (동성동)
5,경상남도,진주시,진주교도소,경남 진주시 대곡면 광석리 700
6,경상남도,진주시,진주시드림스타트,경상남도 진주시 북장대로6번길 9 (인사동)
7,경상남도,진주시,진주시보건소 문산읍보건지소,경상남도 진주시 문산읍 동부로587번길 12
8,경상남도,진주시,진주시새마을회,경상남도 진주시 솔밭로 133 (상대동)
9,경상남도,진주시,초장동주민센터,경상남도 진주시 초장로14번길 14 (초전동)
0,경상남도,진주시,가호동행정복지센터,경상남도 진주시 가좌길74번길 9 (가좌동)
1,경상남도,진주시,상평동주민센터,경상남도 진주시 솔밭로80번길 18 (상평동)
2,경상남도,진주시,신안동주민센터,경상남도 진주시 진양호로 360 (신안동)
3,경상남도,진주시,이반성면사무소,경상남도 진주시 이반성면 오봉산로 719
4,경상남도,진주시,이현동주민센터,경상남도 진주시 평거로 287 (이현동)
5,경상남도,진주시,일반성면사무소,경상남도 진주시 일반성면 동부로1959번길 2
6,경상남도,진주시,정촌면사무소,경상남도 진주시 정촌로 57 정촌면
7,경상남도,진주시,지수면사무소,경상남도 진주시 지수면 지수로 483
8,경상남도,진주시,진성면사무소,경상남도 진주시 진성면 동부로 1329
9,경상남도,진주시,집현면사무소,경상남도 진주시 집현면 진산로 697
0,경상남도,진주시,금곡면사무소,경상남도 진주시 금곡면 월아산로 140
1,경상남도,진주시,금산면사무소,경상남도 진주시 금산면 금산로 107
2,경상남도,진주시,내동면사무소,경상남도 진주시 내동면 순환로 389
3,경상남도,진주시,대곡면사무소,경상남도 진주시 진의로 1094 대곡면사무소
4,경상남도,진주시,대평면사무소,경상남도 진주시 한들길 44 대평면사무소
5,경상남도,진주시,명석면사무소,경상남도 진주시 명석면 광제산로 37
6,경상남도,진주시,문산읍사무소,경상남도 진주시 문산읍 동부로587번길 12
7,경상남도,진주시,미천면사무소,경상남도 진주시 미천면 오방로 731
8,경상남도,진주시,사봉면사무소,경상남도 진주시 사봉면 사군로 105
9,경상남도,진주시,수곡면사무소,경상남도 진주시 수곡면 곤수로 972
0,경상남도,진주시,(사)대한노인회진주시지회,경상남도 진주시 공단로 53 종합사회복지관 상평분관내(상평동)
1,경상남도,진주시,사단법인 토박이말바라기,경상남도 진주시 도동로248번길 13-1 (하대동)
2,경상남도,진주시,진주소방서 중앙119안전센터,경상남도 진주시 북장대로64번길 14 (봉곡동)
3,경상남도,진주시,진주시 월아산 우드랜드,경상남도 진주시 진성면 달음산로 313 진주시 월아산 우드랜드
4,경상남도,진주시,진주시보건소 치매안심센터,경상남도 진주시 문산읍 월아산로 983 1층
5,경상남도,진주시,진주시자원봉사센터,"경상남도 진주시 동진로 155 진주시청 4층,사회복지과내(상대동)"
6,경상남도,진주시,진주향교,경상남도 진주시 향교로 99-3 (옥봉동)
7,경상남도,진주시,진주혜광학교,경상남도 진주시 문산읍 월아산로1048번길 36
8,경상남도,진주시,판문동주민센터,경상남도 진주시 새평거로 55 (평거동)
9,경상남도,진주시,평거동주민센터,경상남도 진주시 평거로40번길 5 (평거동)
0,경상남도,진주시,경남과학기술대학교사회봉사센터,"경상남도 진주시 동진로 33 사회봉사센터(칠암동,경남과학기술대학교 본관 1층)"
1,경상남도,진주시,경상남도진산학생교육원,경상남도 진주시 이반성면 길성길 1-80
2,경상남도,진주시,진양호동물원,경상남도 진주시 남강로1번길 130 녹지공원과 진양호공원계(판문동)
3,경상남도,진주시,진주시보건소 건강증진과,경상남도 진주시 월아산로 2026 경남서부청사(초전동)
4,경상남도,진주시,진주시보건소 건강증진과 건강증진계,경상남도 진주시 월아산로 2026 경상남도청 서부청사(초전동)
5,경상남도,진주시,진주시체육회,경상남도 진주시 동진로 415 진주종합경기장 내 출입문5(충무공동)
6,경상남도,진주시,평거119안전센터,경상남도 진주시 순환로 565 (평거동)
7,경상남도,진주시,한국국제대학교,경상남도 진주시 문산읍 동부로 965 사회봉사단
8,경상남도,진주시,한국농어촌공사진주산청지사,경상남도 진주시 하대로58번길 9 (하대동)
9,경상남도,진주시,한국승강기안전공단,경상남도 진주시  소호로 78 (충무공동)
0,경상남도,진주시,경남과학기술대학교도서관,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교 도서관)"
1,경상남도,진주시,경상남도유아교육원분원진주유아체험교육원,경상남도 진주시 진성면 진의로 160
2,경상남도,진주시,대한법률구조공단(진주출장소),"경상남도 진주시 진양호로293번길 16 6층(신안동,승소빌딩)"
3,경상남도,진주시,재단법인 진주시 좋은세상 복지재단,경상남도 진주시  동진로 189  (상대동)
4,경상남도,진주시,제8962부대,경상남도 진주시 동부로169번길 35 (호탄동)
5,경상남도,진주시,진양도서관,경상남도 진주시 문산읍 동부로588번길 24
6,경상남도,진주시,진주교육지원청,경상남도 진주시 비봉로23번길 8 (중안동)
7,경상남도,진주시,진주시다문화가족지원센터,경상남도 진주시 진양호로 305 (신안동)
8,경상남도,진주시,진주시보건소 건강증진과 정신건강증진센터,경상남도 진주시 문산읍 월아산로 983 정신건강증진센터
9,경상남도,진주시,진주시장애인체육회,경상남도 진주시 동진로 415 진주종합경기장 내 5번 출입문
