,지역,시군구,기관,주소
0,경상남도,창원시,경남대표도서관,경상남도 창원시 의창구 사림로45번길 59 경남대표도서관
1,경상남도,창원시,경남지방경찰청 사이버수사대,경상남도 창원시 의창구 상남로 289 경남지방경찰청 사이버수사대 안전팀 사무실
2,경상남도,창원시,경상남도 교육청 다문화교육센터,경상남도 창원시 의창구 용지로 264 3층 다문화교육센터
3,경상남도,창원시,동읍사무소,경상남도 창원시 의창구 동읍 동읍로 88 맞춤형복지팀
4,경상남도,창원시,소계평생학습센터,경상남도 창원시 의창구 소계로84번길 7 소계민원센터 2층 소계평생학습센터
5,경상남도,창원시,진북면행정복지센터,경상남도 창원시 마산합포구 진북면 지산5길 80 진북면사무소
6,경상남도,창원시,창원교육지원청 Wee센터,경상남도 창원시 의창구 중앙대로228번길 3 후관 1층 Wee센터
7,경상남도,창원시,창원세무서,경상남도 창원시 의창구 중앙대로209번길 16 창원세무서
8,경상남도,창원시,창원시청(산림녹지과),경상남도 창원시 의창구 중앙대로 151 2별관 4층 산림녹지과
9,경상남도,창원시,팔룡동행정복지센터,경상남도 창원시 의창구 팔용로 435 팔룡동행정복지센터
0,경상남도,창원시,경남소방본부 119종합상황실,경상남도 창원시 의창구 중앙대로 300 119종합방재센터
1,경상남도,창원시,국립농산물품질관리원 경남지원,경상남도 창원시 의창구 중앙대로249번길 16 국립농산물품질관리원 경남지원
2,경상남도,창원시,석동행정복지센터,경상남도 창원시 진해구 돌리로 3
3,경상남도,창원시,석전동행정복지센터,경상남도 창원시 마산회원구 석전동4길 52
4,경상남도,창원시,성산구청(산업과),경상남도 창원시 성산구  창원대로 1086 성산구청 산업과
5,경상남도,창원시,웅천동행정복지센터,경상남도 창원시 진해구  웅천중로 59
6,경상남도,창원시,진해경찰서 생활안전계,경상남도 창원시 진해구 진해대로 815 4층 생활안전계
7,경상남도,창원시,창원시 의창구청 산림농정과,경상남도 창원시 의창구 지귀로 123 의창구청 별관 1층
8,경상남도,창원시,창원중부경찰서 여성청소년과,경상남도 창원시 의창구 상남로 177 3층 여성청소년 수사팀
9,경상남도,창원시,충무동행정복지센터,경상남도 창원시 진해구 중원로74번길 6
0,경상남도,창원시,경남지방경찰청,경상남도 창원시 의창구  상남로 289 경남지방경찰청 경비교통과 작전의경계
1,경상남도,창원시,마산동부경찰서삼계파출소,경상남도 창원시 마산회원구 내서읍 삼계로 32 삼계파출소
2,경상남도,창원시,마산동부경찰서석전파출소,경상남도 창원시 마산회원구 석전동6길 20 석전파출소 .
3,경상남도,창원시,마산동부경찰서중리파출소,경상남도 창원시 마산회원구 호원로 164 중리경찰서치안센터 .
4,경상남도,창원시,마산중부경찰서구산파출소,경상남도 창원시 마산합포구 구산로 562 구산파출소 .
5,경상남도,창원시,마산합포구청(문화위생과),경상남도 창원시 마산합포구 3·15대로 210 3층
6,경상남도,창원시,병암동행정복지센터,경상남도 창원시 진해구  경화로16번길 31
7,경상남도,창원시,성산구청(행정과),경상남도 창원시 성산구  창원대로 1086 성산구청
8,경상남도,창원시,진해경찰서,경상남도 창원시 진해구 진해대로 815 진해경찰서
9,경상남도,창원시,창원시진해구선거관리위원회,경상남도 창원시 진해구  충장로 173 창원시진해구선거관리위원회
0,경상남도,창원시,경남동부보훈지청,경상남도 창원시 마산합포구 제2부두로 10 정부경남지방합동청사 5층
1,경상남도,창원시,경남지방중소벤처기업청,경상남도 창원시 의창구 창이대로532번길 50 경남지방중소벤처기업청
