,지역,시군구,기관,주소
0,경상남도,하동군,고전면사무소,경상남도 하동군 고전면 하동읍성로 349 고전면사무소
1,경상남도,하동군,북천면사무소,경상남도 하동군 북천면 경서대로 2451 북천면사무소
2,경상남도,하동군,악양면사무소,경상남도 하동군 악양면 악양서로 357 악양면사무소
3,경상남도,하동군,양보면사무소,경상남도 하동군 양보면 진양로 736 양보면사무소
4,경상남도,하동군,옥종면사무소,경상남도 하동군 옥종면 덕천로 3 옥종면사무소
5,경상남도,하동군,적량면사무소,경상남도 하동군 적량면 대티길 9 적량면사무소
6,경상남도,하동군,청암면사무소,경상남도 하동군 청암면 청학로 672 청암면사무소
7,경상남도,하동군,하동우체국,경상남도 하동군 하동읍 중앙로 40 하동우체국
8,경상남도,하동군,하동읍사무소,경상남도 하동군 하동읍 중앙로 70 하동읍사무소
9,경상남도,하동군,횡천면사무소,경상남도 하동군 횡천면 경서대로 1175-3 횡천면사무소
0,경상남도,하동군,지체장애인협회 하동군지회,경상남도 하동군 하동읍 섬진강대로 2214 하동군종합사회복지회관 1층
1,경상남도,하동군,진교면사무소,경상남도 하동군 진교면 민다리안길 62 진교면사무소
2,경상남도,하동군,하동경찰서,경상남도 하동군 하동읍 경서대로 139
3,경상남도,하동군,하동군 건가·다가 통합센터,경상남도 하동군 하동읍 섬진강대로 2214 종합사회복지관 4층
4,경상남도,하동군,하동군종합사회복지관,경상남도 하동군 하동읍 섬진강대로 2214 하동군종합사회복지관
5,경상남도,하동군,하동군청소년상담복지센터,경상남도 하동군 하동읍 중앙로 72 하동군청소년수련관 3층 하동군청소년상담복지센터
6,경상남도,하동군,하동군청소년지원센터꿈드림,경상남도 하동군 하동읍 중앙로 72 하동군청소년수련관 2층 하동군청소년지원센터
7,경상남도,하동군,하동도서관,경상남도 하동군 하동읍 경서대로 80 하동도서관
8,경상남도,하동군,하동중앙재가장기요양센터,경상남도 하동군 하동읍 중앙2길 12
9,경상남도,하동군,화개면사무소,경상남도 하동군 화개면 원탑1길 6 화개면사무소
0,경상남도,하동군,(사)한국국악협회 하동군지부,경상남도 하동군 하동읍 섬진강대로 2222 1층 한국국악협회 하동군지부
1,경상남도,하동군,섬진강사랑의집,경상남도 하동군 하동읍 화심길 51-11번지
2,경상남도,하동군,악양작은도서관책보따리,경상남도 하동군 악양면 악양서로 384 책보따리
3,경상남도,하동군,지리산문화예술사회적협동조합 구름마,경상남도 하동군 악양면 악양동로 176
4,경상남도,하동군,진교청소년문화의집,경상남도 하동군 진교면 강변길 13-2 진교청소년문화의집
5,경상남도,하동군,하동군장애인부모회·장애인가족지원센터,경상남도 하동군 하동읍 섬진강대로 2214 하동군종합사회복지관`1층 하동군장애인부모회
6,경상남도,하동군,하동군청소년방과후아카데미,경상남도 하동군 진교면 강변길 13-2 하동군청소년방과후아카데미
7,경상남도,하동군,하동드림스타트센터,경상남도 하동군 하동읍 섬진강대로2222
8,경상남도,하동군,하동장애인보호작업장,경상남도 하동군 고전면 공설운동장로 417
9,경상남도,하동군,횡천면 청년회,경상남도 하동군 횡천면 횡보길 10 2층
0,경상남도,하동군,대한노인회하동군지회,경상남도 하동군 섬진강대로 2214 종합사회복지관 2층 대한노인회하동군지회
1,경상남도,하동군,사)경남시각장애인복지연합회 하동군지회,경상남도 하동군 하동읍 섬진강대로 2214 종합사회복지관1층 시각장애인연합회
2,경상남도,하동군,사단법인 숲길,경상남도 하동군  중앙로 52-4 사단법인 숲길
3,경상남도,하동군,예손복지센타,경상남도 하동군 진교면 산복벚꽃길 9-2 예손복지센타
4,경상남도,하동군,청학동서당청소년수련원,경상남도 하동군 청암면 대밭땀길 12-18 청학동서당청소년수련원
5,경상남도,하동군,하동군새마을지회,경상남도 하동군 하동읍 중앙로 53-1 늘푸른마을솜씨방 2층하동군새마을지회
6,경상남도,하동군,하동생태해설사회,경상남도 하동군 악양면 봉대길 134-8 하동생태해설사회
7,경상남도,하동군,하동시장 문화관광형시장육성사업단,경상남도 하동군 하동읍 시장3길 14 보람채 4층 402호
8,경상남도,하동군,하동장애인보호작업장,경상남도 하동군 고전면 공설운동장로 417
9,경상남도,하동군,한국수경협회 하동지회,경상남도 하동군 하동읍 화심안길 22-11
0,경상남도,하동군,꿈샘지역아동센터,경상남도 하동군 진교면 평당길 2 2층 꿈샘지역아동센터
1,경상남도,하동군,대한노인요양원,경상남도 하동군 적량면 경서대로 360 대한노인요양원
2,경상남도,하동군,대한노인요양원,경상남도 하동군 적량면 경서대로 360 대한노인요양원
3,경상남도,하동군,대한노인요양원,경상남도 하동군 적량면 경서대로 360 대한노인요양원
4,경상남도,하동군,하동군재향군인회,경상남도 하동군 하동읍 경서대로 218 조은광고 3층 하동군재향군인회
5,경상남도,하동군,하동사회서비스센터,경상남도 하동군 악양면 신흥길 104
6,경상남도,하동군,하동성가족상담소,경상남도 하동군 하동읍 섬진강대로 2222 하동문화예술회관 1층
7,경상남도,하동군,하동은빛노인복지센터,경상남도 하동군 하동읍 군청로 31 하동은빛노인복지센터
8,경상남도,하동군,횡천요양원,경상남도 하동군 횡천면 경서대로 1063-3 1층 횡천요양원
