,지역,시군구,기관,주소
0,경상북도,경주시,경주시다문화가족지원센터,경상북도 경주시  금성로 236 서라벌문화회관 2층
1,경상북도,경주시,경주시청 토지정보과,경상북도 경주시  양정로 260 경주시청 토지정보과
2,경상북도,경주시,나자레요양원,경상북도 경주시 천사2길 22 1 나자레요양원
3,경상북도,경주시,불국동행정복지센터,경상북도 경주시 산업로 3008 불국동행정복지센터
4,경상북도,경주시,산림환경연구원,경상북도 경주시 통일로 367 산림환경연구원
5,경상북도,경주시,신라문화유산연구원,경상북도 경주시 포석로 1058-26 학술연구팀
6,경상북도,경주시,안강칠평도서관,경상북도 경주시 안강읍 비화중로 51 안강칠평도서관
7,경상북도,경주시,월성동행정복지센터,경상북도 경주시 원화로 177 월성동주민센터
8,경상북도,경주시,은화의집,경상북도 경주시 천사2길 22 2 은화의집
9,경상북도,경주시,황남동행정복지센터,경상북도 경주시 첨성로 47 황남동주민센터
0,경상북도,경주시,강동면행정복지센터,경상북도 경주시 강동면 강동로 19 강동면사무소
1,경상북도,경주시,내남면행정복지센터,경상북도 경주시 내남면 이조중앙길 31 내남면사무소
2,경상북도,경주시,보덕동행정복지센터,경상북도 경주시 경감로 593 보덕동주민센터
3,경상북도,경주시,산내면행정복지센터,경상북도 경주시 산내면 의곡2길 5 산내면사무소
4,경상북도,경주시,양남행정복지센터,경상북도 경주시 양남면 다래길 8 양남면사무소
5,경상북도,경주시,양북행정복지센터,경상북도 경주시 양북면 어일중앙길 24 양북면사무소
6,경상북도,경주시,외동읍행정복지센터,경상북도 경주시 외동읍 읍청사로 25 외동읍사무소
7,경상북도,경주시,현곡면행정복지센터,경상북도 경주시 현곡면 금장2길 12 현곡면사무소
8,경상북도,경주시,황성동행정복지센터,경상북도 경주시 갓뒤동녘길 37 황성동주민센터
9,경상북도,경주시,황오동행정복지센터,경상북도 경주시 북성로 130 황오동주민센터
0,경상북도,경주시,(사)한국경주개동경이보존협회,경상북도 경주시 건천읍 용명공단길 138-14 1층
1,경상북도,경주시,감포읍행정복지센터,경상북도 경주시 감포읍 감포로8길 14-6 감포읍사무소
2,경상북도,경주시,건천읍행정복지센터,경상북도 경주시 건천읍 내서로 1106 건천읍사무소
3,경상북도,경주시,동천동행정복지센터,경상북도 경주시 대안길 45 동천동주민센터
4,경상북도,경주시,서면행정복지센터,경상북도 경주시 서면 내서로 458 서면사무소
5,경상북도,경주시,선도동행정복지센터,경상북도 경주시 태종로 416 선도동주민센터
6,경상북도,경주시,성건동행정복지센터,경상북도 경주시 금성로 370 성건동주민센터
7,경상북도,경주시,안강읍행정복지센터,경상북도 경주시 안강읍 비화원로 47 안강읍사무소
8,경상북도,경주시,용강동행정복지센터,경상북도 경주시 토용길 20 용강동주민센터
9,경상북도,경주시,천북면행정복지센터,경상북도 경주시 천북면 천북로 383 천북면사무소
0,경상북도,경주시,(재)경주문화재단,경상북도 경주시  알천북로 1 경주예술의전당 (재)경주문화재단
1,경상북도,경주시,경상북도 광역치매센터,경상북도 경주시  동대로 87 동국대학병원 본관 5층 경상북도 광역치매센터
2,경상북도,경주시,경주경찰서,경상북도 경주시  중앙로 63 경주경찰서 경무계
3,경상북도,경주시,경주교도소,경상북도 경주시 포석로 550 경주교도소
4,경상북도,경주시,경주세계문화엑스포,경상북도 경주시  경감로 614 경주세계문화엑스포
5,경상북도,경주시,경주시 청소년상담복지센터,경상북도 경주시  알천북로 131 경주시청소년수련관 1층 청소년상담복지센터
6,경상북도,경주시,경주시아이누리장난감도서관,경상북도 경주시  알천북로 1 경주예술의전당 1층
7,경상북도,경주시,경주시종합사회복지관,경상북도 경주시 승삼1길 34 28 경주시종합사회복지관
8,경상북도,경주시,국립공원관리공단경주국립공원사무소,경상북도 경주시 포석로 384 국립공원관리공단경주국립공원
9,경상북도,경주시,용강동행정복지센터,경상북도 경주시 원효로 50 중부동주민센터
0,경상북도,경주시,경북남부보훈지청,경상북도 경주시 금성로 355 경주보훈지청
1,경상북도,경주시,경북남부아동보호전문기관,경상북도 경주시 금성로395번길 24 경북아동보호전문기관
2,경상북도,경주시,경주시립도서관,경상북도 경주시 원화로 431-12 경주시립도서관
3,경상북도,경주시,경주시보건소,경상북도 경주시 양정로 300 경주시보건소
4,경상북도,경주시,경주시청소년수련관,경상북도 경주시 황성동 1053-231번지
5,경상북도,경주시,경주애가원,경상북도 경주시 새골길 5-1 경주애가원
6,경상북도,경주시,경희학교,경상북도 경주시 초당길15번길 15 경주경희학교
7,경상북도,경주시,국립경주박물관,경상북도 경주시 일정로 186 국립경주박물관
8,경상북도,경주시,서라벌대학교,경상북도 경주시 태종로 516 서라벌대학
9,경상북도,경주시,아이꿈터어린이집,경상북도 경주시 배반중리길 41 아이꿈터어린이집
0,경상북도,경주시,경북장애인자립생활센터,경상북도 경주시 금성로323번길 6 7 천마장애인자립생활센터
1,경상북도,경주시,경주소방서,경상북도 경주시 알천남로 276 경주소방서
2,경상북도,경주시,경주시근로자종합복지관,경상북도 경주시 현곡면 용담로 423-23
3,경상북도,경주시,경주시장애인보호작업장,경상북도 경주시 유림로5번길 99 11 경주시장애인보호작업장
4,경상북도,경주시,경주시청 사적공원관리사무소,경상북도 경주시 북성로 89 사적공원관리사무소
5,경상북도,경주시,다사랑,경상북도 경주시 서면 도리길 35-137 지적장애생활시설 다사랑
6,경상북도,경주시,동방지역아동센터,경상북도 경주시 동문로 50 동방지역아동센터
7,경상북도,경주시,성동지역아동센터,경상북도 경주시 이조중앙길 22 성동지역아동센터
8,경상북도,경주시,안강지역아동센터,경상북도 경주시 비화중로2길 3 안강지역아동센터
9,경상북도,경주시,양남지역아동센터,경상북도 경주시 죽전안길 27 3 양남지역아동센터
0,경상북도,경주시,(사)국제청소년문화교류연맹,경상북도 경주시 양북면 기림로 19 동경주다문화가족지원센터 2층
1,경상북도,경주시,가온주간노인복지센터(장기요양),경상북도 경주시 충효중앙길 54-7 가온주간노인복지센터
2,경상북도,경주시,경주노인주간보호센터(장기요양),경상북도 경주시 금성로 387 1층
3,경상북도,경주시,경주시 노인종합복지관,경상북도 경주시 원효로 38
4,경상북도,경주시,경주시외국인도움센터,경상북도 경주시  금성로 385 20호
5,경상북도,경주시,늘푸른요양원,경상북도 경주시 유림로13번길 155 늘푸른요양원
6,경상북도,경주시,대안노인복지센터(장기요양),경상북도 경주시 금성로 295 중앙시장10동 2층
7,경상북도,경주시,마루지역아동센터,경상북도 경주시  소금강로 49-3 (용강동)
8,경상북도,경주시,양북지역아동센터,경상북도 경주시 양북면 어일중앙길 26-3 양북제일교회 양북지역아동센터
9,경상북도,경주시,예담노인요양센터,경상북도 경주시 안강읍 호계길 3-11 예담노인요양센터
0,경상북도,경주시,(사)한국청소년화랑도연맹,경상북도 경주시  용담로 24-25 (사)한국청소년화랑도연맹
1,경상북도,경주시,경주성애원,경상북도 경주시 시래둑길 65 경주성애원
2,경상북도,경주시,경주시립노인병원,경상북도 경주시 충현로 610 120
3,경상북도,경주시,경주용강지역아동센터,경상북도 경주시 승삼1길 34 용강지역아동센터
4,경상북도,경주시,사)경주시환경보호협의회,경상북도 경주시 백률로 65 4 경주시환경보호협의회
5,경상북도,경주시,사단법인 환경운동실천협의회,경상북도 경주시 노서동 243-5
6,경상북도,경주시,성산의료재단 새빛병원,경상북도 경주시 원효로 93 1 성산의료재단새빛병원
7,경상북도,경주시,신라문화진흥원,경상북도 경주시 알천북로 337 1 건도사3층
8,경상북도,경주시,유비지역아동센터,경상북도 경주시충효5길 59-3
9,경상북도,경주시,한국교통장애인협회경주시지회,경상북도 경주시 초당길51번길 9-3 1층
0,경상북도,경주시,(사)경북시각장애인연합회경주지회,경상북도 경주시 원효로26번길 21 (사) 경북시각장애인연합회 경주시지회
1,경상북도,경주시,(사)한국동물복지진흥원,경상북도 경주시 화랑로 92-1 3층
2,경상북도,경주시,굿네이버스 경주여성새로일하기센터,경상북도 경주시 알천북로 275 굿네이버스 경주여성새로일하기센터
3,경상북도,경주시,기쁨노인복지센터(장기요양),경상북도 경주시 충효8길 31-1
