,지역,시군구,기관,주소
0,경상북도,구미시,구미시선산읍행정복지센터,경상북도 구미시 선산중앙로 71-1 선산읍사무소
1,경상북도,구미시,구미시옥성면행정복지센터,경상북도 구미시 옥성면 주아령로 415 옥성면사무소
2,경상북도,구미시,구미시장천면행정복지센터,경상북도 구미시 장천면 강동로 184 1층
3,경상북도,구미시,경북구미경찰서,경상북도 구미시 송정동  구미경찰서 2층 경무과 경무계
4,경상북도,구미시,구미시 과학경제과,경상북도 구미시 송정대로 55 과학경제과
5,경상북도,구미시,구미시 시민만족과,경상북도 구미시 송정대로 55 시민만족과
6,경상북도,구미시,구미시 탄소제로교육관,경상북도 구미시  금오산로 336-97 경상북도자연환경연수원 구미시 탄소제로교육관
7,경상북도,구미시,구미시청 복지정책과,경상북도 구미시 송정대로 55 구미시청 복지정책과
8,경상북도,구미시,국세청 구미세무서,경상북도 구미시 수출대로 179 4층 운영지원과
9,경상북도,구미시,산동보건지소,경상북도 구미시 산동면 강동로 999-6 산동면보건지소
0,경상북도,구미시,구미시고아읍행정복지센터,경상북도 구미시 고아읍 관심리 621-1
1,경상북도,구미시,구미시선주원남동행정복지센터,경상북도 구미시 봉곡로 42 선주원남동 행정복지센터
2,경상북도,구미시,구미시신평1동행정복지센터,"경상북도 구미시 칠성로 32 (신평1동, 신평1동주민센터)"
3,경상북도,구미시,구미시신평2동행정복지센터,경상북도 구미시 신평2동 신비로7길9
4,경상북도,구미시,구미시임오동행정복지센터,경상북도 구미시 임은길 61 임오동주민센터
5,경상북도,구미시,구미시진미동행정복지센터,경상북도 구미시 이계북로 149 진미동행정복지센터
6,경상북도,구미시,구미시형곡1동행정복지센터,경상북도 구미시 경은로 52 형곡1동주민센터
7,경상북도,구미시,구미시형곡2동행정복지센터,경상북도 구미시 형곡로 180 형곡2동주민센터
8,경상북도,구미시,구미시송정동행정복지센터,경상북도 구미시 송정동 72
9,경상북도,구미시,구미시해평면행정복지센터,경상북도 구미시 해평면 강동로 1672 해평면사무소
0,경상북도,구미시,구미시도개면행정복지센터,경상북도 구미시 도개면 궁기리 745-2
1,경상북도,구미시,구미시도량동행정복지센터,경상북도 구미시 문장로12길 1 도량동행정복지센터
2,경상북도,구미시,구미시비산동행정복지센터,경상북도 구미시 신비로 177-3
3,경상북도,구미시,구미시산동면행정복지센터,경상북도 구미시 산동면 적림리 91
4,경상북도,구미시,구미시상모사곡동행정복지센터,경상북도 구미시 상사서로 199 상모사곡동주민센터
5,경상북도,구미시,구미노인전문상담소,경상북도 구미시 구미중앙로23길 4 새사랑교회 1층 (원평동)
6,경상북도,구미시,구미시 사회복지과,경상북도 구미시 송정대로 55
7,경상북도,구미시,구미시무을면행정복지센터,경상북도 구미시 구미중앙로25길 20 원평1동행정복지센터
8,경상북도,구미시,구미시문화예술회관(구미시강동복지회관),경상북도 구미시 인동가산로 392 구미시강동문화복지회관
9,경상북도,구미시,구미시청,경북 구미시 송정동 구미시청 50번지
0,경상북도,구미시,경상북도구미교육지원청특수교육지원센터,경상북도 구미시 원평동 210-5번지 구미초등학교내 특수교육지원센터
1,경상북도,구미시,구미과학관,경상북도 구미시  3공단1로 219-1 구미과학관
2,경상북도,구미시,구미보건소,경상북도 구미시 선산대로 111
3,경상북도,구미시,구미시선산보건소,경상북도 구미시 선산읍 선주로 121
4,경상북도,구미시,구미시청소년상담복지센터,경상북도 구미시  구미중앙로11길 13 구미시청소년상담복지센터
5,경상북도,구미시,구미푸른요양병원,경상북도 구미시 장천면 산호대로 1391 장천면
6,경상북도,구미시,꿈을이루는사람들,경북 구미시 지산동 588-5번지
