,지역,시군구,기관,주소
0,경상북도,김천시,국립농산물품질관리원경북지원김천사무소,경상북도 김천시 혁신로 316-11 국립농산물품질관리원 김천사무소
1,경상북도,김천시,김천동신초등학교,경상북도 김천시 신음새동네길 116 김천동신초등학교
2,경상북도,김천시,김천소년교도소,경상북도 김천시 지좌동  김천소년교도소 영남대로 1968
3,경상북도,김천시,김천시농업기술센터,경상북도 김천시 구성면 남김천대로 3296-22
4,경상북도,김천시,김천시보건소건강증진과,경상북도 김천시 시청1길 221 김천시보건소
5,경상북도,김천시,김천시육아종합지원센터,경상북도 김천시 용전1로1길 25 김천시육아종합지원센터
6,경상북도,김천시,대곡동,경상북도 김천시  부곡길 2 대곡동주민센터
7,경상북도,김천시,대신동,경상북도 김천시 신양1길 22 대신동주민센터
8,경상북도,김천시,성의여고,경상북도 김천시 평화순환길 250-11 성의여자고등학교
9,경상북도,김천시,율곡동,경상북도 김천시 혁신4로 21 율곡동 주민센터
0,경상북도,김천시,김천노인복지센터,경북 김천시 평화동 251~464 317-1
1,경상북도,김천시,김천부곡사회복지관,경북 김천시 부곡동 1328
2,경상북도,김천시,김천시 생활환경과,경상북도 김천시  시청1길 1 김천시청 생활환경과
3,경상북도,김천시,김천시종합자원봉사센터,경상북도 김천시 공단2길 30-22 (대광동)자원봉사센터
4,경상북도,김천시,김천시청 안전재난과,경상북도 김천시  시청1길 1 김천시청 안전재난과
5,경상북도,김천시,김천시청소년문화의집,경북 김천시 다수동 204-1번지
6,경상북도,김천시,김천아포초등학교,경상북도 김천시 아포읍 아포대로 1067 김천아포초등학교
7,경상북도,김천시,사랑의요양원,경북 김천시 봉산면 상금리 275번지 사랑의 요양원
8,경상북도,김천시,성민원,경북 김천시 어모면 능치리 934번지
9,경상북도,김천시,직지사노인요양원,경북 김천시 대항면 운수리 137번지
0,경상북도,김천시,감문면,경상북도 김천시 감문면 보광리 400-1번지
1,경상북도,김천시,감천면,경상북도 김천시 금감로 1552 감천면사무소
2,경상북도,김천시,개령면,경상북도 김천시 개령면 동부리 326-7번지
3,경상북도,김천시,경북서북부노인보호전문기관,경상북도 김천시 평화동   1 - 250 245-103번지 2층
4,경상북도,김천시,구성면,경상북도 김천시 구성면 상좌원리 11-1
5,경상북도,김천시,농소면,경상북도 김천시 농소면 월곡리 700-2번지
6,경상북도,김천시,대덕면,경상북도 김천시 대덕면 관기리 387-2번지
7,경상북도,김천시,대항면사무소,경상북도 김천시 대항면 향천리 597-1번지
