,지역,시군구,기관,주소
0,경상북도,문경시,농암면행정복지센터,경상북도 문경시 농암면 농암길 50 농암면행정복지센터
1,경상북도,문경시,동로면행정복지센터,경상북도 문경시 동로면 벌재장터길 8-7 동로면행정복지센터
2,경상북도,문경시,마성면행정복지센터,경상북도 문경시 마성면 은성로 1661 마성면행정복지센터
3,경상북도,문경시,문경읍행정복지센터,경상북도 문경시 문경읍 청운로 55 문경읍행정복지센터
4,경상북도,문경시,산북면행정복지센터,경상북도 문경시 산북면 금천로 586 산북면행정복지센터
5,경상북도,문경시,영순면행정복지센터,경상북도 문경시 영순면 산남로 23 영순면사무소
6,경상북도,문경시,점촌1동행정복지센터,경상북도 문경시 점촌로 54-3 점촌1동행정복지센터
7,경상북도,문경시,점촌2동행정복지센터,경상북도 문경시 중앙로 50 점촌2동행정복지센터
8,경상북도,문경시,점촌5동행정복지센터,경상북도 문경시 매봉로 65 점촌5동행정복지센터
9,경상북도,문경시,호계면행정복지센터,경상북도 문경시 호계면 막곡장터길 11 호계면사무소
0,경상북도,문경시,가은읍행정복지센터,경북 문경시 가은읍 왕능리 360-5
1,경상북도,문경시,동로면행정복지센터,경상북도 문경시 동로면 벌재장터길 8-7 동로면행정복지센터
2,경상북도,문경시,문경시 안전재난과,경상북도 문경시  당교로 225 문경시청 2층 안전재난과
3,경상북도,문경시,문경시보건소 건강도우미,경상북도 문경시  점촌1길 9 문경시보건소
4,경상북도,문경시,문경시보건소(건강관리과),경상북도 문경시 점촌1길 9 문경시보건소 건강관리과
5,경상북도,문경시,문경시청소년상담복지센터,경상북도 문경시  중앙로 50
6,경상북도,문경시,문경혜은의집,경북 문경시 마성면 외어리 100-3
7,경상북도,문경시,사랑둥지,경북 문경시 마성면 신현리 334-1
8,경상북도,문경시,산양면행정복지센터,경상북도 문경시 산양면 불암2길 8-5 산양면사무소
9,경상북도,문경시,소촌애경원인효마을,경상북도 문경시 마성면 하내리 578-6
0,경상북도,문경시,67경로당,경상북도 문경시 흥덕동 000
1,경상북도,문경시,늘푸른노인대학,경상북도 문경시 가은읍 왕능리 532
2,경상북도,문경시,마성노인대학,경상북도 문경시 마성면 신현리 331
3,경상북도,문경시,문경노인요양공동생활가정,경상북도 문경시 산북면 종곡리 382-12
4,경상북도,문경시,문경문희노인대학,경상북도 문경시 문경읍 마원리 472
5,경상북도,문경시,문경보건소(문경시립노인전문간호센터),경상북도 문경시 문경읍 여우목로 51
6,경상북도,문경시,문경시보건소(치매안심센터),경상북도 문경시 점촌1길 9 문경시 보건소
7,경상북도,문경시,문경시청소년방과후아카데미 주흘꿈터,경상북도 문경시 신흥로 11 청소년문화의집 3층
8,경상북도,문경시,점촌3동주민센터,경상북도 문경시 신흥로 254 점촌3동 주민센터
9,경상북도,문경시,중앙동경로회관,경상북도 문경시 점촌동 0
0,경상북도,문경시,구세군문경행복나무청소년복지센터,경상북도 문경시 신흥1길 11 구세군교회
1,경상북도,문경시,도로교통공단문경운전면허시험장,경상북도 문경시 신기공단1길 12
2,경상북도,문경시,문경YMCA,경상북도 문경시 중앙6길 16 서한빌딩 3층
3,경상북도,문경시,문경시육아종합지원센터,경상북도 문경시 점촌역옆길 25 문경시육아종합지원센터
4,경상북도,문경시,문경시청소년상담복지센터,경상북도 문경시  중앙로 50
5,경상북도,문경시,문경실버홈,경상북도 문경시 매봉5길 18 문경실버홈 실버홈
6,경상북도,문경시,문경혜은의집,경상북도 문경시 안늘목2길 100-24
7,경상북도,문경시,여성회관,경상북도 문경시 시청2길 30 여성회관
8,경상북도,문경시,점촌초등학교,경상북도 문경시  중앙로 63-16 점촌초등학교
9,경상북도,문경시,행복재가노인복지센터,경상북도 문경시 상신로 46
0,경상북도,문경시,나섬의집,경상북도 문경시 점촌동 0
1,경상북도,문경시,문경고용복지+센터,경상북도 문경시 매봉1길 67 문경고용복지플러스센터
2,경상북도,문경시,문경도자기전시관,경상북도 문경시 문경읍 문경대로 2416
3,경상북도,문경시,문경시정신건강복지센터,경상북도 문경시 신흥로 165  (2층)
4,경상북도,문경시,문경시중증장애인자립지원센터,경상북도 문경시 모전동 921-3
5,경상북도,문경시,문경제일병원,경북 문경시 점촌동 5-188
6,경상북도,문경시,민주평화통일자문회의문경시협의회,경상북도 문경시 중앙로 50 문경시의회 1층
7,경상북도,문경시,산북햇살나무지역아동센터,경상북도 문경시 산북면 대상리 0
8,경상북도,문경시,시립문경요양병원,경상북도 문경시 문경읍 여우목로  31 시립문경요양병원 사업홍보과
9,경상북도,문경시,신바람노인대학,경상북도 문경시 점촌동 393
0,경상북도,문경시,(사)대한노인회문경시지회,경상북도 문경시 점촌5길 20 영강문화센터 1층
1,경상북도,문경시,경북지체장애인협회문경시지회,경상북도 문경시 모전동 245-9
2,경상북도,문경시,꿈나무지역아동센터,경상북도 문경시 문경읍 하리 86-3
3,경상북도,문경시,문경시립노인전문간호센터,경상북도 문경시 문경읍 00
4,경상북도,문경시,문경시장애인단기거주시설,경상북도 문경시 시청2길 34
5,경상북도,문경시,문경시장애인종합복지관,경상북도 문경시 시청2길 34
6,경상북도,문경시,문경제일병원참사랑간호봉사회,경상북도 문경시 모전동 188번지 문경제일병원
7,경상북도,문경시,작은요한의집,경상북도 문경시 산북면 종곡리 283-4
8,경상북도,문경시,점촌시민교회,경상북도 문경시 점촌6길 2 점촌시민교회
9,경상북도,문경시,초록요양원,경상북도 문경시 농암면 무운로 212
0,경상북도,문경시,(사)경북장애인부모회,경상북도 문경시 남부3길 19
1,경상북도,문경시,(사)경북장애인부모회문경시지부,경상북도 문경시 남부3길 19
2,경상북도,문경시,(사)경상북도장애인부모회문경시지부,경상북도 문경시 남부4길 19
3,경상북도,문경시,가은아자개문화관광형시장육성사업단,경상북도 문경시 가은5길 7 (가은)
4,경상북도,문경시,경북시각장애인연합회문경지회,경상북도 문경시 안마2길 10
5,경상북도,문경시,꽃씨노인복지센터,경상북도 문경시  점촌로 10 꽃씨재가복지센터1층
6,경상북도,문경시,문경라이온스클럽,경상북도 문경시 주흘로 17-7
7,경상북도,문경시,문경시생활체육회,경상북도 문경시 흥덕3길 7
8,경상북도,문경시,문경시지역사회보장협의체,경상북도 문경시 당교로 195 3층
9,경상북도,문경시,필통아트센터,경상북도 문경시 중앙로 87 중앙종합상가 302호
0,경상북도,문경시,문경경찰서,경상북도 문경시 모전동 916
1,경상북도,문경시,문경데이케어센터,경상북도 문경시 가은읍 대야로 2426-3
2,경상북도,문경시,문경새재도립공원,경상북도 문경시 문경읍 상초리 288-1번지
3,경상북도,문경시,문경시,경북 문경시 모전동 문경시청 경북 문경시 모전동 220번지
4,경상북도,문경시,에덴요양원,경상북도 문경시 신흥로 78-26 (점촌동)
5,경상북도,문경시,점촌데이케어센터,경상북도 문경시 당교7길 17 점촌데이케어센터
6,경상북도,문경시,참사랑노인복지센터,경상북도 문경시 점촌7길 4
7,경상북도,문경시,해오름,경상북도 문경시 당교로 245 센텀타워5층
8,경상북도,문경시,효도마을양로원,경상북도 문경시 농암면 승리동길 25
9,경상북도,문경시,흥덕종합사회복지관,경상북도 문경시 호서로 154 흥덕종합사회복지관
0,경상북도,문경시,문경새재관리사무소,경상북도 문경시 문경읍 상초리 288-1
1,경상북도,문경시,봄마을,경상북도 문경시 마성면 마성길 106-18
2,경상북도,문경시,산북면보건지소,경상북도 문경시 산북면 대상리 9-9
3,경상북도,문경시,시민장수대학,경상북도 문경시 점촌동 354
4,경상북도,문경시,운정골드에이지노인전문요양원,경상북도 상주시 공검면 화동리 13-1
5,경상북도,문경시,점촌1동주민센터,경상북도 문경시 점촌동 409-7
6,경상북도,문경시,점촌4동주민센터,경상북도 문경시 공평동 356-2
7,경상북도,문경시,점촌공공도서관,경상북도 문경시 흥덕동 348-1
8,경상북도,문경시,점촌재활 주.야간보호 재가노인복지센터,경상북도 문경시 매봉1길 49-25 점촌재활 주.야간보호 재가노인복지센터
9,경상북도,문경시,친구마을보호작업장,경상북도 문경시 신기동 7-9
0,경상북도,문경시,기타자원봉사,경상북도 문경시 모전동 869
1,경상북도,문경시,꽃씨보금자리,경상북도 문경시 점촌1길 41 41-2
2,경상북도,문경시,동성지역아동센터,경상북도 문경시 마성면 외어1리 429
3,경상북도,문경시,문경시자원봉사센터,경북 문경시 모전동 문경시청
4,경상북도,문경시,문경어르신마을,경상북도 문경시 마성면 외어리 100-2
5,경상북도,문경시,문경효사랑요양마을,경상북도 문경시 모전동 0
6,경상북도,문경시,밑반찬지원사업,경상북도 문경시 모전동 859-3
7,경상북도,문경시,인효마을,경상북도 문경시 마성면 하내리 578-6
8,경상북도,문경시,충현지역아동센터,경상북도 문경시 점촌동 406-7
9,경상북도,문경시,할머니두레집,경상북도 상주시 함창읍 신흥리 619
0,경상북도,문경시,가은중앙교회,경북 문경시 가은읍 왕능리 532
1,경상북도,문경시,문경시드림스타트센터,경상북도 문경시 모전동 0
2,경상북도,문경시,문경시사암연합회,경북 문경시 모전동 601~990 870
3,경상북도,문경시,문경시청소년문화의집,경북 문경시 모전동 1~81 59-2
4,경상북도,문경시,문경시체육회,경북 문경시 모전동 299~562 415-7
5,경상북도,문경시,문경요양병원,경상북도 문경시 문경읍 하리 360번지
