,지역,시군구,기관,주소
0,경상북도,봉화군,국립백두대간수목원,경상북도 봉화군 춘양면 문수로 2160-53 산림환경연구동
1,경상북도,봉화군,대한노인회봉화군지회,경상북도 봉화군 봉화읍 내성리 292-2번지
2,경상북도,봉화군,명호면사무소,경상북도 봉화군 명호면 도천길 18 명호면사무소
3,경상북도,봉화군,물야면사무소,경상북도 봉화군 물야면 문수로 991 주민복지담당
4,경상북도,봉화군,법전면사무소,경상북도 봉화군 법전면 법전로 100 법전면사무소
5,경상북도,봉화군,봉화군청문화관광과,경상북도 봉화군 봉화로 1111
6,경상북도,봉화군,봉화군청소년센터,경상북도 봉화군 봉화읍 내성리 197-1
7,경상북도,봉화군,봉화소방파출소,경상북도 봉화군 봉화읍 삼계리 165-1
8,경상북도,봉화군,봉화요양원,경북 봉화군 법전면 풍정리 751
9,경상북도,봉화군,청량산도립공원관리사무소,경상북도 봉화군 명호면 광석길 39 청량산도립공원관리사무소
0,경상북도,봉화군,경상북도장애인복지관,경상북도 봉화군 봉화읍 거촌로 14
1,경상북도,봉화군,국립백두대간수목원,경상북도 봉화군 춘양면 문수로 2160-53 산림환경연구동
2,경상북도,봉화군,국립백두대간수목원,경상북도 봉화군 춘양면 문수로 2160-53 산림환경연구동
3,경상북도,봉화군,봉화군 문화관광과,경상북도 봉화군 봉화읍 봉화로 1111 봉화군청 문화관광과
4,경상북도,봉화군,봉화군 안전건설과,경상북도 봉화군 봉화읍 봉화로 1111
5,경상북도,봉화군,봉화어린이집,경상북도 봉화군 봉화읍 교촌길 20 봉화어린이집
6,경상북도,봉화군,봉화읍사무소,경상북도 봉화군 봉화읍 내성로3길 9 봉화읍사무소
7,경상북도,봉화군,상운면사무소,경상북도 봉화군 상운면 예봉로 1281 주민복지담당
8,경상북도,봉화군,재산면 행복목욕탕,경상북도 봉화군 재산면 대내골길 4
9,경상북도,봉화군,재산면사무소,경상북도 봉화군 재산면 대내골길 4
0,경상북도,봉화군,(사)봉화군종합자원봉사센터,경상북도 봉화군봉화로 1203
1,경상북도,봉화군,드림스타트,경상북도 봉화군 봉화읍 봉화로 1111
2,경상북도,봉화군,봉화경찰서,경상북도 봉화군 봉화읍 내성리 194-1번지
3,경상북도,봉화군,봉화군새마을지회,경상북도 봉화군 봉화읍 내성천1길 76-1 봉화군새마을지회
4,경상북도,봉화군,봉화군청 기획감사실,경상북도 봉화군 봉화읍 봉화로 1111 봉화군청 기획감사실
5,경상북도,봉화군,봉화군청 종합민원과,경상북도 봉화군 봉화읍 봉화로 1111 봉화군청 종합민원과
6,경상북도,봉화군,봉화군청소년상담복지센터,경상북도 봉화군 봉화읍 내성로1길 17-20 청소년센터 3층
7,경상북도,봉화군,봉화청소년센터,경상북도 봉화군 봉화읍 내성리 537번지
8,경상북도,봉화군,재산면사무소,경상북도 봉화군 재산면 대내골길 4
9,경상북도,봉화군,제일어린이집,경상북도 봉화군 봉화읍 내성로6길 12 제일어린이집
0,경상북도,봉화군,내일학교,경상북도 봉화군 재산면 동면로 521 내일학교
1,경상북도,봉화군,드림스타트,경상북도 봉화군 봉화읍 봉화로 1111 청소년센터 내 드림스타트
2,경상북도,봉화군,봉화군다문화가족지원센터,경상북도 봉화군 봉화읍 거촌로 12-3
3,경상북도,봉화군,봉화군새마을회,경상북도 봉화군 봉화읍 내성천1길 76-1 .
4,경상북도,봉화군,봉화다문화센터,경상북도 봉화군 봉화읍 내성리 537번지
5,경상북도,봉화군,봉화춘양목송이마을,경상북도 봉화군 춘양면 골마길 3
6,경상북도,봉화군,억지춘양,경상북도 봉화군 춘양면 춘양로 216 억지춘양
7,경상북도,봉화군,춘양주민문화교육센터,경상북도 봉화군 춘양면 춘양로 216
8,경상북도,봉화군,한국자유총연맹봉화군지회,경상북도 봉화군 봉화읍 내성로 27
9,경상북도,봉화군,행복정미소,경북 봉화군 봉화읍 내성2리 행복정미소
0,경상북도,봉화군,봉화군노인복지관,경상북도 봉화군  내성천2길 75-2 봉화군노인복지관
1,경상북도,봉화군,봉화군생활체육회,경상북도 봉화군 봉화읍 내성리 285
2,경상북도,봉화군,봉화효심요양원,경상북도 봉화군 봉화로 1133 봉화효심요양원
3,경상북도,봉화군,숲해설가협회 봉화지회,경상북도 봉화군 봉화읍 내성로 27 숲해설가협회 봉화지회
4,경상북도,봉화군,연꽃어린이집,경상북도 봉화군 내성로9길 3-10 중대사 연꽃어린이집
5,경상북도,봉화군,축서사,경상북도 봉화군 물야면 월계길 739 축서사템플스테이
6,경상북도,봉화군,충재선생박물관,경상북도 봉화군 봉화읍 유곡리 963번지
7,경상북도,봉화군,한국자유총연맹봉화군지회,경상북도 봉화군 봉화읍 내성로 27
8,경상북도,봉화군,한국자유총연맹봉화군지회,경상북도 봉화군 봉화읍 내성로 27
9,경상북도,봉화군,한국자유총연맹봉화군지회,경상북도 봉화군 봉화읍 내성로 27
0,경상북도,봉화군,(사)한국교통장애인협회봉화군지회,경상북도 봉화군 봉화읍 내성천2길 93 2층 (사)한국교통장애인협회봉화군지회
1,경상북도,봉화군,경북도립봉화공공도서관,경상북도 봉화군 봉화읍 내성리 194-4번지
2,경상북도,봉화군,경상북도장애인종합복지관봉화분관관,경상북도 봉화군 봉화읍 내성리 285
3,경상북도,봉화군,봉화군청,경상북도 봉화군 봉화읍 내성리 537번지
4,경상북도,봉화군,봉화여성자원봉사회,경상북도 봉화군 봉화읍 내성로1길 45-2
5,경상북도,봉화군,분천방범대,경상북도 봉화군 법전면 소천로 159
6,경상북도,봉화군,아사모,경상북도 봉화군 봉화읍 내성로 36
7,경상북도,봉화군,축서사,경상북도 봉화군 물야면 월계길 739 축서사템플스테이
8,경상북도,봉화군,춘양노인요양원,경상북도 봉화군 춘양면 한티로 226 춘양노인요양원
9,경상북도,봉화군,풍선아트봉사단,경상북도 봉화군 봉화읍 내성로 36
0,경상북도,봉화군,봉화교육청,경상북도 봉화군 봉화읍 내성리 280-1번지
1,경상북도,봉화군,봉화군보건소,경상북도 봉화군 봉화읍 내성리 285번지
2,경상북도,봉화군,봉화군보훈회관,경상북도 봉화군 봉화읍 내성리 356-1
3,경상북도,봉화군,봉화군수화통역센터,경상북도 봉화군 봉화읍 내성리 285
4,경상북도,봉화군,봉화기차역,경상북도 봉화군 봉화읍 해저리 90-1
5,경상북도,봉화군,봉화물놀이장,경상북도 봉화군 봉화읍 내성리 .
