,지역,시군구,기관,주소
0,경상북도,성주군,가천면사무소,경상북도 성주군 가천면 가천로 63 .
1,경상북도,성주군,군민회관,경상북도 성주군 성주읍4길 25 성주군민종합회관
2,경상북도,성주군,금수면사무소,경상북도 성주군 금수면 성주로 1883 .
3,경상북도,성주군,대가면사무소,경상북도 성주군 대가면 동강한강로 891 .
4,경상북도,성주군,벽진면사무소,경상북도 성주군 벽진면 수촌길 12 .
5,경상북도,성주군,선남면사무소,경상북도 성주군 선남면 관화길 96 .
6,경상북도,성주군,성주읍사무소,경상북도 성주군 성주읍 성주읍1길 13 .
7,경상북도,성주군,수륜면사무소,경상북도 성주군 수륜면 참별로 915 .
8,경상북도,성주군,월항면사무소,경상북도 성주군 월항면 주산로 366
9,경상북도,성주군,초전면사무소,경상북도 성주군 초전면 대장길 107 .
0,경상북도,성주군,경상북도노인전문간호센터,경상북도 성주군 가천면 가천로 35 경상북도노인전문간호센터
1,경상북도,성주군,경상북도립성주공공도서관,경상북도 성주군 성주읍 주천로 15-11 경상북도림성주공공도서관 경상북도립성주공공도서관
2,경상북도,성주군,대가면사무소,경상북도 성주군 대가면 동강한강로 891
3,경상북도,성주군,성밖숲,경상북도 성주군 성밖숲길 30
4,경상북도,성주군,성주경찰서,경상북도 성주군 성주읍 24-1 성주경찰서
5,경상북도,성주군,성주군농촌보육정보센터,경상북도 성주군 주산로 70-8
6,경상북도,성주군,성주군생활체육회,경상북도 성주군 성주읍
7,경상북도,성주군,성주소방서,경상북도 성주군 성주읍 주산로 193 .
8,경상북도,성주군,용암면사무소,경상북도 성주군 용암면 운용로 1031
9,경상북도,성주군,환경보호과,경상북도 성주군 성주읍 성주읍4길 16 군민회관
0,경상북도,성주군,가천면복지회관,경상북도 성주군 창금로 318
1,경상북도,성주군,민주평통경북성주군협의회,경상북도 성주군 성주로 3200 (성주군청 5층)
2,경상북도,성주군,벽진면복지회관,경상북도 성주군 수촌길 12
3,경상북도,성주군,성주군다문화가족지원센터,경상북도 성주군 성주읍 성산9길  45 문화예술회관 2층 다문화가족지원센터
4,경상북도,성주군,성주군보건소,경북 성주군 성주읍 경산리 436-1
5,경상북도,성주군,성주중학교,경상북도 성주군 성주읍 주천로  15-18 성주중학교
6,경상북도,성주군,성주초등학교,경상북도 성주군 성주읍 169번지 성주초등학교
7,경상북도,성주군,월항면복지회관,경상북도 성주군 주산로 398-9
8,경상북도,성주군,체플린지역아동센터,경상북도 성주군 초전면 대장1길 59 2층
9,경상북도,성주군,초전면복지회관,경상북도 성주군 대장1길 27-4
0,경상북도,성주군,가야산군민화합공원,경상북도 성주군 성주가야산로 106
1,경상북도,성주군,금수면일대,경상북도 성주군 성주로 1883
2,경상북도,성주군,낙동강대교,경상북도 성주군 성주로 1 낙동강하천변
3,경상북도,성주군,대가면복지회관,경상북도 성주군 참별로 2260
4,경상북도,성주군,대가천일대,경상북도 상주시 성주로 486
5,경상북도,성주군,선남면복지회관,경상북도 성주군 관화길 66
6,경상북도,성주군,성주읍복지회관,경상북도 고령군 시장길 14
7,경상북도,성주군,수륜면복지회관,경상북도 성주군 신파1길 9-2
8,경상북도,성주군,용암면복지회관,경상북도 성주군 운용로 1031
9,경상북도,성주군,월항면일대,경상북도 성주군 주산로 366
0,경상북도,성주군,가야복지센터,경상북도 성주군 성주읍 경산길 33-1
1,경상북도,성주군,가천면일대,경상북도 성주군 가천로 63
2,경상북도,성주군,벽진면일대,경상북도 성주군 수촌길 12
3,경상북도,성주군,선남면일대,경상북도 성주군 관화길 96
4,경상북도,성주군,성주읍(교통및순찰),경상북도 성주군 성주로 1970
