,지역,시군구,기관,주소
0,경상북도,청송군,부남면사무소,경상북도 청송군 부남면 대전로 119
1,경상북도,청송군,부동면사무소,경상북도 청송군 부동면 이전앞길 1
2,경상북도,청송군,안덕면사무소,경상북도 청송군 안덕면 안덕로 82
3,경상북도,청송군,진보면사무소,경상북도 청송군 진보면 진안동2길 4-10
4,경상북도,청송군,청송군청,경상북도 청송군 군청로 51
5,경상북도,청송군,청송군청소년수련관,경상북도 청송군 청송읍 금월로 244-30 청소년수련관
6,경상북도,청송군,청송읍사무소,경상북도 청송군 청송읍 중앙로 253
7,경상북도,청송군,파천면사무소,경상북도 청송군 파천면 청송로 5544
8,경상북도,청송군,현동면사무소,경상북도 청송군 현동면 청송로 2647
9,경상북도,청송군,현서면사무소,경상북도 청송군 현서면 구산동로 27
0,경상북도,청송군,(재)청송문화관광재단,경상북도 청송군 부동면 주왕산로 494 (재)청송문화관광재단
1,경상북도,청송군,경북북부제1교도소,경상북도 청송군 양정길 231
2,경상북도,청송군,경북북부제2교도소,경상북도 청송군 양정길 110
3,경상북도,청송군,경북북부제3교도소,경상북도 청송군 양정길 231
4,경상북도,청송군,경북직업훈련교도소,경상북도 청송군 양정길 231
5,경상북도,청송군,청송경찰서,경상북도 청송군 월막1길 5-15
6,경상북도,청송군,청송군보건의료원,경상북도 청송군 청송읍 의료원길 19
7,경상북도,청송군,청송군종합자원봉사센터,경상북도 청송군 금월로 244-30 청소년수련관 1층
8,경상북도,청송군,청송민속박물관,경상북도 청송군 주왕산로 222
9,경상북도,청송군,청송중고등학교,경상북도 의성군 금곡1길 13
0,경상북도,청송군,(사)한국교통장애인협회,경상북도 청송군 중앙로 299 구 군민회관
1,경상북도,청송군,경북작은자의집,경상북도 청송군 개일월매길 351 경북작은자의집
2,경상북도,청송군,열린하늘상담학습센타,경상북도 청송군 진보면 이촌2길 3 비봉아파트 D동 616
3,경상북도,청송군,진보병원,경상북도 청송군 경동로 4003 진보병원
4,경상북도,청송군,청송국민노인요양원,경상북도 청송군 논시골로 179
5,경상북도,청송군,청송군청소년상담복지센터,경상북도 청송군 금월로 244-30 청소년수련관 2층
6,경상북도,청송군,청송보현요양원,경상북도 청송군 안현로 654
7,경상북도,청송군,청송시니어클럽,경상북도 청송군 진보부곡길 17
8,경상북도,청송군,한국지체장애인협회(청송군지회),경상북도 청송군 의료원길 30 청송군지체장애인협회
