,지역,시군구,기관,주소
0,경상북도,포항시,구룡포읍사무소,경상북도 포항시 남구 구룡포읍 호미로 133 구룡포읍사무소
1,경상북도,포항시,기북면사무소,경상북도 포항시 북구 기북면 기북로 443 (기북면행정복지센터)
2,경상북도,포항시,남구보건소 해도동 건강새마을 및 큰동해시장,경상북도 포항시 남구 동해안로 6119 남구보건소
3,경상북도,포항시,남구보건소(암예방알리미),경상북도 포항시 남구 동해안로 6119 (남구보건소)
4,경상북도,포항시,우창동주민센터,경상북도 포항시 북구  우창동로 24 우창동행정복지센터
5,경상북도,포항시,죽도동행정복지센터,경상북도 포항시 북구 죽도로 40 28
6,경상북도,포항시,죽장면사무소,경상북도 포항시 북구 죽장면 새마을로 3610
7,경상북도,포항시,청하면사무소,경상북도 포항시 북구 청하면 청하로217번길 22 청하면사무소
8,경상북도,포항시,포항구룡포과메기문화관(포항시청 수산진흥과),경상북도 포항시 남구 구룡포읍 구룡포길117번길 28-8 포항구룡포과메기문화관
9,경상북도,포항시,포항시청 국제협력관광과,경상북도 포항시 남구 시청로 1 12층
0,경상북도,포항시,남구보건소 건강증진팀,경상북도 포항시 남구  동해안로 6119 포항시 남구보건소 건강관리과  건강생활팀
1,경상북도,포항시,대송면사무소,경상북도 포항시 남구 대송면 홍계길 19 대송면사무소
2,경상북도,포항시,송라면사무소,경상북도 포항시 북구 송라면 보경로 56 송라면사무소
3,경상북도,포항시,오천읍사무소,경상북도 포항시 남구 오천읍 세계길 5 오천읍사무소
4,경상북도,포항시,중앙동행정복지센터,경상북도 포항시 북구  학산로 54 중앙동행정복지센터
5,경상북도,포항시,포항시 여성가족과,"경상북도 포항시 남구  시청로 1 (대잠동, 포항시청)"
6,경상북도,포항시,포항시교육지원청 Wee센터,경상북도 포항시 북구  삼흥로 416 포항교육지원청 1층 Wee센터
7,경상북도,포항시,포항해양경비안전서,경상북도 포항시 북구  소티재로151번길 21 포항해양경비안전서 해양오염방제과
8,경상북도,포항시,효곡동주민센터,경상북도 포항시 남구  효자동길2번길 7 효곡동주민센터
9,경상북도,포항시,흥해읍사무소,경상북도 포항시 북구 흥해읍 동해대로 1511 흥해읍사무소
0,경상북도,포항시,경동푸드뱅크,경상북도 포항시 남구 오천읍 해병로347번길 36 해병로 347번길 34
1,경상북도,포항시,송도동주민센터,경상북도 포항시 남구 송도동 25번지
2,경상북도,포항시,포항교도소,경상북도 포항시 북구 흥해읍 169번지 포항교도소
3,경상북도,포항시,포항남구보건소 정신건강증진센터,경상북도 포항시 남구  동해안로 6119 포항남구보건소 정신건강증진센터
4,경상북도,포항시,포항남부경찰서,경상북도 포항시 남구  연일로 55 포항남부경찰서 포항남부경찰서
5,경상북도,포항시,포항시 평생교육관,경상북도 포항시 남구 상도동 111번지
6,경상북도,포항시,포항시남구복지환경위생과,경상북도 포항시 남구  희망대로 790 남구청 복지환경위생과
7,경상북도,포항시,포항시여성문화관,경상북도 포항시 북구 새천년대로933번길 20 포항시여성문화관
8,경상북도,포항시,포항시외국인센터,경상북도 포항시 남구 오천읍 해병로347번길 34-4 해병로 347번길 34
9,경상북도,포항시,흥해종합복지문화센터,경상북도 포항시 북구 흥해읍 한동로52번길 흥해종합복지문화센터
0,경상북도,포항시,경상북도노인보호전문기관,경상북도 포항시 북구 삼흥로 411 기쁨의복지관B102호
1,경상북도,포항시,기계면 행정복지센터,경상북도 포항시 북구 기계면 근면길 14 기계면행정복지센터
2,경상북도,포항시,대송면다목적복지회관,경상북도 포항시 남구 대송면 제내리 630-3
3,경상북도,포항시,장기면사무소,경상북도 포항시 남구 장기면 장기면사무소
4,경상북도,포항시,청림푸른숲작은도서관,경상북도 포항시 남구 동해안로 6001
5,경상북도,포항시,포항노인일자리창출지원센터,경상북도 포항시 북구 용흥동 현대1차 아파트 보정신당 건너편
6,경상북도,포항시,포항시 건강안심 시민모니터단,경상북도 포항시 남구  시청로 포항시청 1 포항시청 건강위생과(12층)
7,경상북도,포항시,포항시 평생교육과,경상북도 포항시 남구  뱃머리길 39
8,경상북도,포항시,포항시청 도시계획과,경상북도 포항시 남구  시청로 1 포항시청 도시계획과
9,경상북도,포항시,환여동주민센터,경상북도 포항시 북구 환호동 510-2
0,경상북도,포항시,대이동주민센터,경상북도 포항시 남구 대잠동 대이동주민센터
1,경상북도,포항시,동해면사무소,경상북도 포항시 남구 동해면 648-2번지
2,경상북도,포항시,두호동주민센터,경상북도 포항시 북구 삼호로 260 두호동 1007번지
3,경상북도,포항시,신광면사무소,경북 포항시 북구 신광면 토성리 340-3
4,경상북도,포항시,양학동사무소,경상북도 포항시 북구 득량동 4-6
5,경상북도,포항시,연일읍사무소,경상북도 포항시 남구 연일읍 철강로  10
6,경상북도,포항시,장량동주민센터,경상북도 포항시 북구 삼흥로 91 장성동 1365
7,경상북도,포항시,포항시립오천도서관,경상북도 포항시 남구 오천읍 정몽주로 566
8,경상북도,포항시,포항시청 기획예산과,경상북도 포항시 남구  시청로 포항시청 1 기획예산과
9,경상북도,포항시,해도동주민센터,경상북도 포항시 남구  상공로  235
0,경상북도,포항시,(사)한국농어촌장애인진흥회 경북지부,경상북도 포항시 남구 상대로 155 (사)한국농어촌장애인진흥회 경북지부
1,경상북도,포항시,(재)포항문화재단 문화기획팀,경상북도 포항시 남구 희망대로 850 문화기획팀
2,경상북도,포항시,경상북도교육청과학원,경상북도 포항시 북구 우미길 93 경상북도교육청과학원
3,경상북도,포항시,대해초등학교 교육복지실,경상북도 포항시 남구 양학천로150번길 58 교육복지실
4,경상북도,포항시,더불어 숲 노인복지센터,경상북도 포항시 북구 중앙상가7길 7 3층
5,경상북도,포항시,재단법인 독도재단,경상북도 포항시 북구 중흥로 231 동양빌딩 9층 902호
6,경상북도,포항시,포항시건강가정다문화가족지원센터,경상북도 포항시 북구 선착로 18-10 포항시건강가정다문화가족지원센터
7,경상북도,포항시,포항시남구보건소 건강관리과(해바라기),경상북도 포항시 남구 동해안로 6119 남구보건소 신축 별관 2층 방문보건팀
8,경상북도,포항시,포항시남구보건소 치매안심센터,경상북도 포항시 남구 동해안로 6119 치매안심센터
9,경상북도,포항시,해양환경관리공단 포항지사,경상북도 포항시 북구 해안로 44-10 (항구동)
0,경상북도,포항시,(재)포항문화재단 생활문화팀,경상북도 포항시 남구 희망대로 850 1층 (재)포항문화재단
1,경상북도,포항시,(재)포항문화재단축제운영팀,경상북도 포항시 남구 희망대로 850 포항문화재단
2,경상북도,포항시,경북스마트쉼센터,경상북도 포항시 북구  선착로 18-10 2층 경북스마트쉼센터
3,경상북도,포항시,대구교육해양수련원,경상북도 포항시 북구 흥해읍 해안로 1252 대구교육해양수련원
4,경상북도,포항시,동해면민복지회관,경상북도 포항시 남구 동해면 일월로123번길 17-45 동해면민복지회관
5,경상북도,포항시,봄요양병원,경상북도 포항시 북구 장량로31번길 56 봄요양병원
6,경상북도,포항시,제철동주민센터,경상북도 포항시 남구  인덕로 79 제철동 주민센터
7,경상북도,포항시,포항명도학교,경상북도 포항시 북구  소티재로 133 포항명도학교
8,경상북도,포항시,포항시립 어린이영어도서관,경상북도 포항시 남구  뱃머리길 39 뱃머리마을 평생학습원 5층 어린이영어도서관
9,경상북도,포항시,포항시북구정신건강복지센터,경상북도 포항시 북구  삼흥로 98 포항시북구보건소 정신건강복지센터
0,경상북도,포항시,경상북도립영일공공도서관,경상북도 포항시 북구 흥해읍 흥해로  101 경상북도립영일공공도서관
1,경상북도,포항시,정담은복지센터,경상북도 포항시 북구 청하면 청계길 24-8 12
2,경상북도,포항시,청림동주민센터,경상북도 포항시 남구  신항로 10 청림동주민센터
3,경상북도,포항시,포항북부경찰서,경상북도 포항시 북구  중앙로 331 포항북부경찰서 생활안전계
4,경상북도,포항시,포항시남구정신건강복지센터,경상북도 포항시 남구 동해안로 6119 별관 1층 정신건강증진센터
5,경상북도,포항시,포항시립포은중앙도서관,경상북도 포항시 북구  삼호로 31 포은중앙도서관
6,경상북도,포항시,포항시청소년상담복지센터,경상북도 포항시 북구 삼호로 533 185 청소년수련관
7,경상북도,포항시,포항알코올상담센터,경상북도 포항시 북구  삼흥로 98 포항시북구보건소 별관 중독관리통합지원센터
8,경상북도,포항시,포항어린이도서관,경상북도 포항시 북구 삼호로 31 덕수동 35-19
9,경상북도,포항시,포항청소년수련관 방과후아카데미,경상북도 포항시 북구  삼호로 533 포항시청소년수련관 3층
0,경상북도,포항시,사랑어린이집,경상북도 포항시 남구 형산강북로 389 남구 해도동 183-5
1,경상북도,포항시,서림지역아동센터,경상북도 포항시 북구 장량주택로18번길 5 KB하우스 101호
2,경상북도,포항시,영일만스포츠클럽,경상북도 포항시 북구 새천년대로 1460 양덕한마음체육관
3,경상북도,포항시,우리들병원,경상북도 포항시 북구 포스코대로 256 죽도동 646 - 15
4,경상북도,포항시,포항고용센터,경상북도 포항시 북구 중흥로 221 포항고용센터
5,경상북도,포항시,포항모자원,경상북도 포항시 남구 송도동 436-44
6,경상북도,포항시,포항시노인복지회관,경상북도 포항시 북구  삼호로  355 포항시노인복지회관
7,경상북도,포항시,포항시동물보호센터 영일동물플러스,경상북도 포항시 북구 흥해읍 덕장길 224
8,경상북도,포항시,포항시드림스타트센터,경상북도 포항시 남구 시청로 1 (대잠동) 의회동 지하1층 포항시드릠스타트
9,경상북도,포항시,포항시청소년재단,경상북도 포항시 북구 삼호로 533 청소년수련관
0,경상북도,포항시,경북동부해바라기센터,경상북도 포항시 남구  대잠동길 17 루가관 지하3층
1,경상북도,포항시,다사랑지역아동센터,경상북도 포항시 남구 연일읍 연일로 157 4층
2,경상북도,포항시,닥터스 요양센터,경상북도 포항시 북구 중흥로 220 비전빌딩 2층
3,경상북도,포항시,베들레헴공동체,경상북도 포항시 북구 송라면 대전길 56-83
4,경상북도,포항시,사단법인경북시각장애인연합회포항지회,경상북도 포항시 남구 중앙로 116 남구 해도동 431-9
5,경상북도,포항시,양서지역아동센터,경상북도 포항시 북구 천마로 103 30
6,경상북도,포항시,포항실내사격장,경상북도 포항시 북구 새천년대로 816
7,경상북도,포항시,포항중독관리통합지원센터,경상북도 포항시 북구  삼흥로 98 북구보건소 별관 2층
8,경상북도,포항시,한여울요양원,경상북도 포항시 북구 흥해읍 동해대로1393번길 111-96
9,경상북도,포항시,해도어르신행복센터,경상북도 포항시 남구 문예로170번길 11 (해도동)
0,경상북도,포항시,(사)경북장애인정보화협회포항시지부,경상북도 포항시 남구 청림남길 50-13 청림동 305
1,경상북도,포항시,갈릴리마을(사회복지법인 한기장복지재단),경상북도 포항시 북구 청하면 사방공원길 496 갈리리마을
2,경상북도,포항시,경상북도시각장애인복지관,경상북도 포항시 남구 섬안로 175 (대도동 394-1)
3,경상북도,포항시,기계문화의집,경상북도 포항시 북구 기계로 94 기계문화의집
4,경상북도,포항시,도움터기쁨의집,경상북도 포항시 북구 고지길 62-63
5,경상북도,포항시,송도경희요양병원,경상북도 포항시 남구 송도로 62 송도동 438-1
6,경상북도,포항시,양학지역아동센터,경상북도 포항시 북구 양학로 104-3
7,경상북도,포항시,포항시중장기청소년쉼터(여자),경상북도 포항시 북구 삼흥로100번길 64
8,경상북도,포항시,한국자유총연맹포항시지회,경상북도 포항시 남구 해동로72번길 13-3
9,경상북도,포항시,흥해경희요양병원,경북 포항시 북구 흥해읍 옥성리 177-3
0,경상북도,포항시,(재)포항문화재단 문화공간운영팀 공연연습센터,경상북도 포항시 북구 중앙로 373 아르코공연연습센터
