,지역,시군구,기관,주소
0,광주광역시,남구,(사)바르게살기운동광주남구협의회,광주광역시 남구 천변좌로418번길 22 (사)바르게살기운동광주남구협의회
1,광주광역시,남구,광주공원노인복지관,광주광역시 남구 서오층석탑2길 17 광주공원노인복지관
2,광주광역시,남구,광주도시공사 빛고을cc,광주광역시 남구 효우로 153 빛고을cc
3,광주광역시,남구,광주장애인태권도협회,광주광역시 남구  회재로1186번길 31 현대아파트상가 301호
4,광주광역시,남구,광주재능기부센터,광주광역시 남구 화산로 30 진월국제테니스장
5,광주광역시,남구,광주푸른꿈창작학교,광주광역시 남구 서문대로749번마길 12 광주푸른꿈창작학교
6,광주광역시,남구,남구 청소년도서관,광주광역시 남구 제석로 100 남구 청소년도서관
7,광주광역시,남구,남구이강하미술관,광주광역시 남구 3·1만세운동길 6 이강하미술관
8,광주광역시,남구,다누리콜센터1577-1366광주센터,광주광역시 남구 대남대로 289 새마을 회관 4층
9,광주광역시,남구,대한노인회광주남구지회,광주광역시 남구 수박등로18번길 11 대한노인회광주남구지회
0,광주광역시,남구,(재)광주광역시 광주문화재단,광주광역시 남구  천변좌로338번길 7 빛고을시민문화관 3층 지원협력실
1,광주광역시,남구,(재)광주정보문화산업진흥원,광주광역시 남구 송암로 60 cgi센터 3층
2,광주광역시,남구,광주광역시남구체육회,"광주광역시 남구 화산로 110 (진월동,남구다목적체육관 내 1층)"
3,광주광역시,남구,광주김치타운관리사무소,광주광역시 남구  김치로 60 광주김치타운관리사무소
4,광주광역시,남구,광주선명학교,광주광역시 남구  서문대로749번마길 2 광주선명학교
5,광주광역시,남구,남구구립방젯골장난감도서관,광주광역시 남구  용대로183번길 13 남구구립방젯골장난감도서관 어린이작은도서관
6,광주광역시,남구,남구보건소 건강생활지원과,광주광역시 남구  군분로13번길 10 주월보건지소 3층 방문보건팀
7,광주광역시,남구,양림역사문화작은도서관,"광주광역시 남구  백서로 94 4층, (양림동, 양림커뮤니티센터)"
8,광주광역시,남구,영산강문화관(워터웨이플러스),광주광역시 남구  승촌보길 90 영산강문화관 2층 학예실
9,광주광역시,남구,효천다솜유치원,광주광역시 남구  효우2로 5
0,광주광역시,남구,광주과학기술원 고령친화산업지원센터,광주광역시 남구 덕남길 37 고령친화체험관
1,광주광역시,남구,광주광역시 남구문화원,광주광역시 남구 봉선로 208 광주광역시 남구문화원
2,광주광역시,남구,광주광역시남구청,광주광역시 남구 봉선로 1 광주광역시남구청
3,광주광역시,남구,광주봉주초등학교병설유치원,광주광역시 남구 봉주길 32
4,광주광역시,남구,무등지역아동센터,광주광역시 남구 군분로 32 2층
5,광주광역시,남구,빛고을골프장,광주광역시 남구 효우로 153 빛고을cc
6,광주광역시,남구,씨티재활병원,광주광역시 남구 입하길 12-1 씨티재활의학과요양병원
7,광주광역시,남구,인애종합사회복지관,광주광역시 남구 용대로 91 인애종합사회복지관
8,광주광역시,남구,재단법인광주복지재단,광주광역시 남구  덕남길 7 광주복지재단
9,광주광역시,남구,푸른길도서관,광주광역시 남구 금당로 140 푸른길도서관
0,광주광역시,남구,광주남구건강가정지원센터,광주광역시 남구  군분로 155 2층
1,광주광역시,남구,광주남구청어린이집,광주광역시 남구 봉선로 1 남구청별관3층 남구청어린이집
2,광주광역시,남구,금호평생교육관,광주광역시 남구 중앙로 15 금호평생교육관
3,광주광역시,남구,남구구립천년나무어린이집,광주광역시 남구 행암길 9 효천LH천년나무7단지
4,광주광역시,남구,남구다목적체육관,광주광역시 남구 화산로 110 남구다목적체육관
5,광주광역시,남구,문화정보도서관,광주광역시 남구  봉선로 208 남구종합문화예술회관(남구청소년수련관) 문화정보도서관
6,광주광역시,남구,방림2동작은도서관,광주광역시 남구 큰방림길 36 성요셉 2층방림2동작은도서관
7,광주광역시,남구,청원재가장기요양기관,광주광역시 남구 월산로 58 201호
