,지역,시군구,기관,주소
0,광주광역시,서구,5.18기념문화센터,광주광역시 서구  내방로 152 5.18 기념문화관 5.18기념문화센터
1,광주광역시,서구,광주광역시 두드림 서구 평생학습관,광주광역시 서구 화운로 94 지하 1층 평생학습관
2,광주광역시,서구,광주광역시서구청,광주광역시 서구 경열로 33
3,광주광역시,서구,광천동주민센터,광주광역시 서구 광천2길 9
4,광주광역시,서구,금호1동주민센터,광주광역시 서구 운천로31번길 17
5,광주광역시,서구,농성2동주민센터,광주광역시 서구 화정로 314
6,광주광역시,서구,서부소방서,광주광역시 서구 화운로 197 서부소방서
7,광주광역시,서구,양동주민센터,광주광역시 서구 천변좌로222번길 3-2
8,광주광역시,서구,유덕동주민센터,광주광역시 서구 유덕로 24
9,광주광역시,서구,화정1동주민센터,광주광역시 서구 내방로338번길 11 화정1동주민센터
0,광주광역시,서구,금호2동주민센터,광주광역시 서구 풍금로 135 금호2동주민센터
1,광주광역시,서구,농성1동주민센터,광주광역시 서구 상무대로1189번길 23 농성1동주민센터
2,광주광역시,서구,상무1동주민센터,광주광역시 서구 월드컵4강로197번길 20 상무1동주민센터
3,광주광역시,서구,상무2동주민센터,광주광역시 서구 화정로85번길 17 상무2동주민센터
4,광주광역시,서구,서창동주민센터,광주광역시 서구 눌재로 412 서창동주민센터
5,광주광역시,서구,양3동주민센터,광주광역시 서구 상무대로1223번길 16 양3동주민센터
6,광주광역시,서구,치평동주민센터,광주광역시 서구 상무공원로 62 치평동주민센터
7,광주광역시,서구,풍암동주민센터,광주광역시 서구 풍암1로 27 풍암동주민센터
8,광주광역시,서구,화정3동주민센터,광주광역시 서구 월드컵4강로68번길 21 화정3동주민센터
9,광주광역시,서구,화정4동주민센터,광주광역시 서구 염화로83번길 3 화정4동주민센터
0,광주광역시,서구,(재)국제기후환경센터,광주광역시 서구 천변우하로 181
1,광주광역시,서구,광주광역시 서구체육회,광주광역시 서구 상무누리로 123 전천후 게이트볼장 2층
2,광주광역시,서구,광주광역시교육청,광주광역시 서구 화운로 93 4층 교육복지지원센터
3,광주광역시,서구,광주광역시서부교육지원청 학부모지원센터,광주광역시 서구 상무번영로 98 (치평동 1206)
4,광주광역시,서구,광주광역시화정청소년문화의집,광주광역시 서구 화정로179번길 63
5,광주광역시,서구,광주육아종합지원센터,광주광역시 서구 상무자유로 73 일가정양립지원본부 1층
6,광주광역시,서구,금호2동캠프,광주광역시 서구 풍금로 135 서구풍금로135
7,광주광역시,서구,동천동주민센터,광주광역시 서구 유림로98번길 8
8,광주광역시,서구,서구 청소년문화의집,광주광역시 서구 상무공원로 136 서구청소년문화의집
9,광주광역시,서구,화정2동주민센터,광주광역시 서구 화운로 94 화정2동 주민센터
0,광주광역시,서구,광주광역시여성발전센터여성새로일하기센터,광주광역시 서구 상무자유로 73 광주광역시여성발전센터 여성새로일하기센터
1,광주광역시,서구,광주서구중독관리 통합지원센터,광주광역시 서구 회재로 897-1 금호동852-1(용현빌딩 2층) 광주서구중독관리통합지원센터
2,광주광역시,서구,광주학생독립운동기념회관,광주광역시 서구  백일로 30 광주학생독립운동기념관 선양과
3,광주광역시,서구,광주환경공단 경영지원부,광주광역시 서구  천변우하로 79 광주환경공단
4,광주광역시,서구,상록도서관,광주광역시 서구  상무대로 1171 11 상록도서관
5,광주광역시,서구,상일중학교,광주광역시 서구  내방로 229 상일중학교
6,광주광역시,서구,염주초등학교,광주광역시 서구  염화로134번길 28 염주초등학교 교육복지실
7,광주광역시,서구,유덕중학교,광주광역시 서구 상무버들로 29
8,광주광역시,서구,진로직업체험지원센터,광주광역시 서구 경열로17번길 9 거송빌딩 2층
