,지역,시군구,기관,주소
0,대구광역시,달성군,(주)워터웨이플러스 강문화관 디아크,대구광역시 달성군 다사읍 강정본길 57 강문화관 디아크
1,대구광역시,달성군,K-water 낙동강보관리단,대구광역시 달성군 다사읍 강정본길 57
2,대구광역시,달성군,달성군립도서관,대구광역시 달성군 다사읍 달구벌대로174길 10-13
3,대구광역시,달성군,달성군북부노인복지관,대구광역시 달성군 다사읍 달구벌대로 754 달성군북부노인복지관
4,대구광역시,달성군,달성군자원봉사센터,대구광역시 달성군 논공읍 금강로16길 11
5,대구광역시,달성군,대구광역시 달성교육지원청 특수교육지원센터,대구광역시 달성군 화원읍 비슬로 2580 대구화원초등학교 내 달성특수교육지원센터
6,대구광역시,달성군,대구광역시 달성군치매안심센터,대구광역시 달성군 옥포읍 비슬로458길 6-2 달성주민건강증진센터 3층
7,대구광역시,달성군,대구보훈요양원,대구광역시 달성군 하빈면 하산길 123-23
8,대구광역시,달성군,대구사회서비스원보석마을,대구광역시 달성군 화원읍 명천로 58 (재)대구시사회서비스원 보석마을
9,대구광역시,달성군,대구사회서비스원아름마을,대구광역시 달성군 화원읍 명천로 58 대구광역시립희망원 아름마을
0,대구광역시,달성군,국립대구과학관,대구광역시 달성군 유가면 테크노대로6길 20 국립대구과학관
1,대구광역시,달성군,달성군건강가정·다문화가족지원센터,대구광역시 달성군 화원읍 성천로 5 5층
2,대구광역시,달성군,달성군노인복지관,대구광역시 달성군 옥포면 옥포로 13
3,대구광역시,달성군,달성군드림스타트센터,대구광역시 달성군 논공읍 달성군청로 33 9층
4,대구광역시,달성군,달성군정신건강복지센터,대구광역시 달성군 옥포면 비슬로458길 6-2 3층 달성군정신건강복지센터
5,대구광역시,달성군,달성군청소년문화의집,대구광역시 달성군 가창면 가창로220길 8
6,대구광역시,달성군,달성군청소년상담복지센터,대구광역시 달성군 논공읍 논공로 252
7,대구광역시,달성군,대구광역시립달성도서관,대구광역시 달성군 현풍읍 현풍동로19길 26
8,대구광역시,달성군,대구광역시립희망원,대구광역시 달성군 화원읍 명천로 58 대구시립희망원
9,대구광역시,달성군,비전도서관,대구광역시 달성군 화원읍 인흥길 11 화원비전센터2층 비전도서관
0,대구광역시,달성군,달성군장애인복지관,대구광역시 달성군 논공읍 논공로 242
1,대구광역시,달성군,달성군종합사회복지관,대구광역시 달성군 논공읍 논공로 697-9
2,대구광역시,달성군,대구외국인노동자지원센터,대구광역시 달성군 다사읍 달구벌대로 863 진광타워 8층
3,대구광역시,달성군,대실지역아동센터,대구광역시 달성군 다사읍 대실역남로1길 26 4층 대실지역아동센터
4,대구광역시,달성군,덕수복지재단 우리기억학교,대구광역시 달성군 다사읍 달구벌대로126길 14-14 2층 우리기억학교
5,대구광역시,달성군,드림작은도서관,대구광역시 달성군 구지면 창리서로 57
6,대구광역시,달성군,수경기억학교,대구광역시 달성군 화원읍 성화로 13 수경기억학교
7,대구광역시,달성군,아름다운사랑나눔밥차,대구광역시 달성군 화원읍 명천로 331
8,대구광역시,달성군,예그린지역아동센터,대구광역시 달성군 논공읍 논공로9길 27 2층
9,대구광역시,달성군,효자실버타운A,대구광역시 달성군 화원읍 사문진로 447 4층 효자실버타운A
0,대구광역시,달성군,구지나래지역아동센터,대구광역시 달성군 구지면 국가산단대로66길 39 노블랜드 301호
1,대구광역시,달성군,다사지역아동센터,대구광역시 달성군 다사읍 매곡로4길 6-3
2,대구광역시,달성군,대구지체장애인협회달성군지회,대구광역시 달성군 논공읍 논공로 242
3,대구광역시,달성군,비슬지역아동센터,대구광역시 달성군 유가면 테크노중앙대로6길 2-12 어울림3층
4,대구광역시,달성군,사)대구장애인미술협회,대구광역시 달성군 다사읍 매곡로12길 28
5,대구광역시,달성군,세천지역아동센터,"대구광역시 달성군 다사읍 세천북로7길 14-5 205호 (세천리, 해피리버아파트)"
6,대구광역시,달성군,연우지역아동센터,대구광역시 달성군 구지면 창리로11길 58 2층 연우지역아동센터
7,대구광역시,달성군,왕선지역아동센터,대구광역시 달성군 다사읍 왕선로 49 강창동서타운 102동 112호
8,대구광역시,달성군,행복한아이들지역아동센터,대구광역시 달성군 화원읍 비슬로523길 3-30
9,대구광역시,달성군,화원지역아동센터,대구광역시 달성군 화원읍 비슬로516길 22
0,대구광역시,달성군,녹원어린이집,대구광역시 달성군 다사읍 다사로 82-4
1,대구광역시,달성군,달성장애인자립생활센터,대구광역시 달성군 다사읍 죽곡1길 15 동성타워3층
2,대구광역시,달성군,달성행복지역아동센터,대구광역시 달성군 현풍면 현풍로 108
3,대구광역시,달성군,목표가있는아이들지역아동센터,대구광역시 달성군 다사읍 달구벌대로 790 삼산아파트 상가201호
4,대구광역시,달성군,미소마을,대구광역시 달성군 다사읍 달구벌대로126길 14-17 미소마을
5,대구광역시,달성군,비젼지역아동센터,대구광역시 달성군 논공읍 논공중앙로22길 16
6,대구광역시,달성군,서재지역아동센터,대구광역시 달성군 다사읍 서재로23길 1
7,대구광역시,달성군,엔젤지역아동센터,대구광역시 달성군 화원읍 명천로 188
8,대구광역시,달성군,포산홈스쿨지역아동센터,대구광역시 달성군 현풍읍 현풍동로 47-1 제일탑스빌 101호
9,대구광역시,달성군,한빛지역아동센터,대구광역시 달성군 화원읍 성화로4길 8 2층
0,대구광역시,달성군,해바라기지역아동센터,대구광역시 달성군 다사읍 서재로30길 17 상가302호
