,지역,시군구,기관,주소
0,대구광역시,동구,국립신암선열공원,대구광역시 동구 동북로71길 33 (신암동)
1,대구광역시,동구,대구기상지청(국립대구기상과학관),대구광역시 동구 효동로2길 10 (효목동)
2,대구광역시,동구,대구동구청소년문화의집,대구광역시 동구 동부로3길 20 (신천동)
3,대구광역시,동구,대구동부경찰서,대구광역시 동구 반야월북로 209 (각산동) 2층 경무계
4,대구광역시,동구,대구동부경찰서(동대구지구대),대구광역시 동구 동대구로85길 53
5,대구광역시,동구,대구선명학교,대구광역시 동구 팔공산로 225 대구선명학교
6,대구광역시,동구,새론중학교,대구광역시 동구 이노밸리로 255 (신서동)
7,대구광역시,동구,한국교육학술정보원(교육정보본부/정보교육부),대구광역시 동구 동내로 64 (동내동)
8,대구광역시,동구,한국소비자원대구지원,대구광역시 동구 동대구로 489 10층 1003호
9,대구광역시,동구,한국정보화진흥원,대구광역시 동구 첨단로 53 (신서동)
0,대구광역시,동구,대구광역시장애인권익옹호기관,"대구광역시 동구 동부로22길 2 , 403호(신천동)"
1,대구광역시,동구,대구시민안전테마파크,대구광역시 동구 팔공산로 1155
2,대구광역시,동구,동구재가노인복지센터,대구광역시 동구 경안로107길 42 (서호동)
3,대구광역시,동구,동구청가족복지과(동구육아종합지원센터),대구광역시 동구 팔공로53길 36 (봉무동)
4,대구광역시,동구,동부도서관,대구광역시 동구 신암북로11길 54
5,대구광역시,동구,무지개지역아동센터,대구광역시 동구 동촌로48길 32 (방촌동)
6,대구광역시,동구,신천도서관,대구광역시 동구 동부로6길 65 신천도서관
7,대구광역시,동구,안심도서관,대구광역시 동구 금호강변로 360 (율하동)
8,대구광역시,동구,한국장학재단,대구광역시 동구 신암로 125 한국장학재단
9,대구광역시,동구,한국철도공사대구본부,대구광역시 동구 동대구로 550 (신암동)
0,대구광역시,동구,(사)대구광역시여성단체협의회,대구광역시 동구 국채보상로 809 (신천동)
1,대구광역시,동구,(사)한국녹색환경협회,대구광역시 동구 경안로 728 (동호동) 4층
2,대구광역시,동구,(사)한국장애인문화대구광역시협회,대구광역시 동구 동부로22길 48 (신천동) 704호
3,대구광역시,동구,감천재가노인지원센터,대구광역시 동구 갓바위로 75 (진인동)
4,대구광역시,동구,대구광역시 동구청소년상담복지센터,대구광역시 동구 동촌로16길 20 (검사동) 2층
5,대구광역시,동구,대동Wee센터,대구광역시 동구 화랑로 177-3 (효목동)
6,대구광역시,동구,동화사성보박물관,대구광역시 동구 동화사1길 1 동화사성보박물관
7,대구광역시,동구,사단법인 헥소미아 (대구지부),"대구광역시 동구 동부로5길 32 , 3층(신천동, 송라빌딩)"
8,대구광역시,동구,사단법인굿네이버스대구동부지부,대구광역시 동구 아양로 251 (신암동) 5층
9,대구광역시,동구,일심보호작업장,대구광역시 동구 반야월북로27길 33 (각산동)
0,대구광역시,동구,굿네이버스 대구경북본부,대구광역시 동구 화랑로 500 (용계동) 3층
1,대구광역시,동구,대구경북녹색연합,대구광역시 동구 반야월로 110 (율하동)
2,대구광역시,동구,대구광역시동구청소년지원센터꿈드림,대구광역시 동구 동촌로16길 20 아인빌딩 2층
3,대구광역시,동구,사회복지법인대한불교조계종동화복지재단,대구광역시 동구 동화사1길 1 (도학동)
