,지역,시군구,기관,주소
0,대구광역시,북구,강북경찰서,대구광역시 북구 동암로 130 강북경찰서
1,대구광역시,북구,경북지방경찰청,대구광역시 북구 연암로 40 경북지방경찰청
2,대구광역시,북구,대구광역시립북부도서관,대구광역시 북구 옥산로 75 (북부도서관)
3,대구광역시,북구,대구북구청소년상담복지센터,대구광역시 북구 대천로 21 구수산도서관 1층 대구북구청소년상담복지센터
4,대구광역시,북구,대구소년원,대구광역시 북구 칠곡중앙대로99길 12
5,대구광역시,북구,대구실내빙상장,대구광역시 북구 고성로 191 대구실내빙상장
6,대구광역시,북구,북구통합정신ㆍ치매센터,대구광역시 북구 성북로 43 4층
7,대구광역시,북구,북부경찰서,대구광역시 북구 원대로 100 대구북부경찰서
8,대구광역시,북구,칠곡경북대학교병원,대구광역시 북구 호국로 807 칠곡경북대학교병원
9,대구광역시,북구,행복북구문화재단,대구광역시 북구 구암로 47 (관음동)
0,대구광역시,북구,강북노인복지센터,대구광역시 북구 팔거천동로 206 장원빌딩 401호
1,대구광역시,북구,강북보건지소,대구광역시 북구 대천로 81 동천동 주민센터 강북보건지소
2,대구광역시,북구,대구교육박물관,대구광역시 북구 대동로1길 40 (산격동) 대구교육박물관
3,대구광역시,북구,대구북구드림스타트,대구광역시 북구 옥산로 65 북구청 동편별관 1층 드림스타트
4,대구광역시,북구,대구시여성회관민들레상담소,대구광역시 중구 태평로 53-13 대구광역시여성회관 해밀센터 2층
5,대구광역시,북구,대구오페라하우스,대구광역시 북구 호암로 15 대구오페라하우스
6,대구광역시,북구,도로교통공단대구운전면허시험장,대구광역시 북구 태암남로 38 대구운전면허시험장
7,대구광역시,북구,북구보건소,대구광역시 북구 성북로 49 북구보건소
8,대구광역시,북구,아름다운가게 대구칠곡점,대구광역시 북구 동천로 135-13 2층 아름다운가게 칠곡점
9,대구광역시,북구,함지노인복지관,대구광역시 북구 동암로 180
0,대구광역시,북구,강북재가노인지원센터,대구광역시 북구 팔거천동로 206 장원빌딩 503호
1,대구광역시,북구,대구광역시의사회,대구광역시 북구 대현로 82
2,대구광역시,북구,대구광역치매센터,대구광역시 북구 호국로 807
3,대구광역시,북구,대한안전연합대구경북중앙본부,대구광역시 북구 산격로14길 27 202호
4,대구광역시,북구,마을과교육공동체,대구광역시 북구 대현로9길 35 1층
