,지역,시군구,기관,주소
0,대구광역시,서구,대구 서구 영어도서관,대구광역시 서구 평리로35길 90-6 영어도서관
1,대구광역시,서구,대구광역시서구청,대구광역시 서구 국채보상로 257
2,대구광역시,서구,대구북부노인보호전문기관,대구광역시 서구  달서로 284 4층 대구북부노인보호전문기관
3,대구광역시,서구,대구서부경찰서,대구광역시 서구 국채보상로 249
4,대구광역시,서구,대구서부고용복지센터,대구광역시 서구 서대구로 9
5,대구광역시,서구,대구일일취업센터,대구광역시 서구 서대구로 363
6,대구광역시,서구,민주평화통일자문회의대구서구협의회,대구광역시 서구 국채보상로 257 서구청
7,대구광역시,서구,비원도서관,대구광역시 서구 달서천로61안길 10 비원도서관
8,대구광역시,서구,서구노인복지관,대구광역시 서구  문화로 288 서구노인복지관
9,대구광역시,서구,시니어요양복지센터,대구광역시 서구 서대구로 86
0,대구광역시,서구,대구광역시립서부도서관,대구광역시 서구국채보상로49길 12 서부도서관
1,대구광역시,서구,대구광역시서부교육지원청,대구광역시 서구 서대구로3길 5
2,대구광역시,서구,대구서구원고개도서관,대구광역시 서구 달서로43길 12 원고개도서관
3,대구광역시,서구,대구시청소년문화의집 꼼지락발전소,대구광역시 서구 국채보상로34길 48-1
4,대구광역시,서구,대구의료원,대구광역시 서구 평리로 157
5,대구광역시,서구,비원노인복지관,대구광역시 서구 서대구로 268
6,대구광역시,서구,서구문화회관,대구광역시 서구 당산로 403
7,대구광역시,서구,서구보건소,대구광역시 서구 국채보상로 257
8,대구광역시,서구,서부노인전문병원,대구광역시 서구  와룡로 298-13 서부노인전문병원
9,대구광역시,서구,양무리복지회,대구광역시 서구 문화로63길 22
0,대구광역시,서구,(사)대한안전연합 대구경북중앙본부,대구광역시 서구 국채보상로81길 41
1,대구광역시,서구,가나교육랜드지역아동센터,대구광역시 서구 국채보상로38길 27 가나교육랜드지역아동센터 3층
2,대구광역시,서구,내고향노인요양원,대구광역시 서구 통학로 175-6 -
3,대구광역시,서구,대구새마을문고서구지부,대구광역시 서구 달서로26길 35-8
4,대구광역시,서구,대구서구체육회,대구광역시 서구 문화로 72 -
5,대구광역시,서구,대평지역아동센터,대구광역시 서구  북비산로52길 17 2층
6,대구광역시,서구,비산도서관,대구광역시 서구 달서로14길 13 비산도서관
7,대구광역시,서구,새살림공동체,대구광역시 서구 서대구로23길 12 새살림공동체
8,대구광역시,서구,좋은사회만들기운동본부,대구광역시 서구 달서로 257 좋은사회만들기 운동본부
9,대구광역시,서구,청솔노인복지센터,대구광역시 서구  옥산로6길 9 서구제일종합사회복지관 3층
0,대구광역시,서구,꿈꾸는다락방지역아동센터,대구광역시 서구 국채보상로 343 꿈꾸는다락방 지역아동센터
1,대구광역시,서구,내당노인복지관,대구광역시 서구 서대구로3길 44 내당노인복지관
2,대구광역시,서구,대구광역시서구지역사회보장협의체,대구광역시 서구 국채보상로 399 3층
3,대구광역시,서구,서구청소년상담복지센터,대구광역시 서구 통학로30길 5-15 2층
4,대구광역시,서구,서대구실버하우스,대구광역시 서구 국채보상로 7 서대구실버하우스
5,대구광역시,서구,오픈더퓨처 대구사상,대구광역시 서구 국채보상로34안길 18 1층
6,대구광역시,서구,자연보호대구광역시서구협의회,대구광역시 서구 서대구로 227 -
7,대구광역시,서구,한국BBS 대구시연맹 서구지회,대구광역시 서구 서대구로 318 3층
8,대구광역시,서구,한국장애인건강관리협회,대구광역시 서구 통학로 169
9,대구광역시,서구,희망지역아동센터,대구광역시 서구 국채보상로36길 26 희망지역아동센터
0,대구광역시,서구,꿈이있는집 지역아동센터,대구광역시 서구  염색공단로5길 15
1,대구광역시,서구,대구연탄은행,대구광역시 서구 북비산로 392
2,대구광역시,서구,대평리요양원,대구광역시 서구 북비산로 246 대평리요양원
3,대구광역시,서구,동심지역아동센터,대구광역시 서구  달서로55길 29
4,대구광역시,서구,둥지지역아동센터,대구광역시 서구  평리로55길 36 2층
5,대구광역시,서구,만평주민도서관,대구광역시 서구 서대구로66길 28
6,대구광역시,서구,샬롬기억학교,대구광역시 서구  가르뱅이로16길 25 샬롬기억학교
7,대구광역시,서구,엄마의집효도급식소,대구광역시 서구 서대구로3길 29-4 엄마의집 효도급식소
8,대구광역시,서구,트리니티지역아동센터,"대구광역시 서구  서대구로3길 69 2층, 지역아동센터사무실"
9,대구광역시,서구,효성2요양원,대구광역시 서구 국채보상로 240-1 이모야 흥인빌딩5층
0,대구광역시,서구,내당성당공부방,대구광역시 서구 달서로9길 33 -
1,대구광역시,서구,대구광역시서구정신건강증진센터,대구광역시 서구북비산로71길 7 구민건강증진센터
2,대구광역시,서구,명보지역아동센터,대구광역시 서구  평리로50길 5 3층 명보지역아동센터
3,대구광역시,서구,민들레노인요양원,대구광역시 서구 당산로 231 -2
4,대구광역시,서구,사랑의연탄나눔운동,대구광역시 서구 달서로26길 41
5,대구광역시,서구,성덕노인복지센터,대구광역시 서구 달구벌대로371길 39 -
6,대구광역시,서구,세토작은도서관,대구광역시 서구  국채보상로38길 59
7,대구광역시,서구,역사진흥원,대구광역시 서구  국채보상로52길 9 대구 서구 국채보상로 52길 9   205호
8,대구광역시,서구,은하수지역아동센터,대구광역시 서구  평리로 379 은하수어린이집 3F 은하수지역아동센타
9,대구광역시,서구,참사랑실버요양원,대구광역시 서구 가르뱅이로21길 3 참사랑실버요양원
0,대구광역시,서구,경심재가노인복지센터,대구광역시 서구  평리로 261 서구 중리동 113-1 2층
1,대구광역시,서구,대구서구다문화가족지원센터,대구광역시 서구 옥산로 28
2,대구광역시,서구,대구장애인인권연대,대구광역시 서구 서대구로 72 6층(세현빌딩)
3,대구광역시,서구,사랑속의아이들지역아동센터,대구광역시 서구 북비산로61길 18-1 3층
