,지역,시군구,기관,주소
0,대전광역시,동구,(사)한국노인사랑운동본부,대전광역시 동구 백룡로 68
1,대전광역시,동구,가오도서관,대전광역시 동구 동구청로 147 7층
2,대전광역시,동구,남부여성가족원,대전광역시 동구 동구청로 36 남부여성가족원
3,대전광역시,동구,대전보건대학교 자원봉사센터,대전광역시 동구 충정로 21 대학본부 9동관 2층 학생처(자원봉사센터)
4,대전광역시,동구,대전소년원,대전광역시 동구 산내로 1398-41 대전소년원
5,대전광역시,동구,동대전중학교,대전광역시 동구  충정로 73-6 동대전중학교
6,대전광역시,동구,산내동주민센터,대전광역시 동구 산내로 1326
7,대전광역시,동구,성남동주민센터,대전광역시 동구 계족로368번길 70
8,대전광역시,동구,용운도서관,대전광역시 동구 새울로68번길 23-23
9,대전광역시,동구,홍도동주민센터,대전광역시 동구 동산초교로55번길 27 홍도동 주민센터
0,대전광역시,동구,가양2동주민센터,대전광역시 동구 흥룡로 33
1,대전광역시,동구,대청동주민센터,대전광역시 동구 옥천로 633
2,대전광역시,동구,동구보건소,대전광역시 동구 동구청로 147 동구보건소
3,대전광역시,동구,동부경찰서,대전광역시 동구 충무로 222 대전동부경찰서
4,대전광역시,동구,삼성동주민센터,대전광역시 동구 태전로 138-12 삼성동주민센터 (삼성동)
5,대전광역시,동구,신인동주민센터,대전광역시 동구 충무로203번길 28-25
6,대전광역시,동구,용운동주민센터,대전광역시 동구 새울로109번길 5 용운동주민센터
7,대전광역시,동구,용전동주민센터,대전광역시 동구 계족로 515
8,대전광역시,동구,자양동주민센터,대전광역시 동구 백룡로 16
9,대전광역시,동구,판암1동주민센터,대전광역시 동구 옥천로 157-7 판암1동주민센터
0,대전광역시,동구,대전광역시립손소리복지관,대전광역시 동구  대전천동로 508 대전광역시립손소리복지관
1,대전광역시,동구,대전광역시수영연맹,대전광역시 동구 동부로 138 용운국제수영장 3층
2,대전광역시,동구,대전근로복지공단어린이집,대전광역시 동구 백룡로5번길 143 대전근로복지공단어린이집
3,대전광역시,동구,대전동구정신건강복지센터,대전광역시 동구 현암로 22 대전동구정신건강복지센터
4,대전광역시,동구,대전운전면허시험장,대전광역시 동구  산서로1660번길 90 대전운전면허시험장
5,대전광역시,동구,동구보건소 치매안심센터,대전광역시 동구 현암로 22 동구치매안심센터 2층
6,대전광역시,동구,만인산푸른학습원,대전광역시 동구 산내로 106
7,대전광역시,동구,법사랑위원동구지구협의회,대전광역시 동구  우암로 286 277번길 72(가양동)
8,대전광역시,동구,옛터민속박물관,대전광역시 동구  산내로 321-35 옛터민속박물관
9,대전광역시,동구,중앙동주민센터,대전광역시 동구 대동천우안5길 24 중앙동주민센터
0,대전광역시,동구,대전가양중학교,대전광역시 동구  비래서로62번길 100 (가양동) 가양중학교
1,대전광역시,동구,대전광역시청소년상담복지센터,대전광역시 동구  대전천동로 508 6층 청소년상담복지센터
2,대전광역시,동구,대전동구문화원,대전광역시 동구 백룡로 20
3,대전광역시,동구,대전동구중독관리통합지원센터,대전광역시 동구 동대전로 333 3층
4,대전광역시,동구,대전자연사랑연합,대전광역시 동구 선화로 212-1 2층
5,대전광역시,동구,대전혜광학교,대전광역시 동구 은어송로 111
6,대전광역시,동구,대전흥사단,대전광역시 동구  우암로277번길 84 대전흥사단
7,대전광역시,동구,용운종합사회복지관,대전광역시 동구 용운로 110
8,대전광역시,동구,파랑새지역아동센터,대전광역시 동구  백룡로48번길 79 2층 파랑새지역아동센터
9,대전광역시,동구,효동주민센터,대전광역시 동구 계족로 24 효동주민센터
0,대전광역시,동구,대동종합사회복지관,대전광역시 동구 백룡로48번길 79
1,대전광역시,동구,대동주민센터,대전광역시 동구 계족로 180 대동행정복지센터
2,대전광역시,동구,대전맹학교,대전 동구 가오동 은어송로 95
3,대전광역시,동구,동구다기능노인종합복지관,대전광역시 동구 동부로 23 판암2동
4,대전광역시,동구,동구정다운어르신복지관,대전광역시 동구 충정로 53-30
5,대전광역시,동구,산내종합사회복지관,대전광역시 동구 산내로 1352-25 산내종합사회복지관
6,대전광역시,동구,생명종합사회복지관,대전광역시 동구 동부로 56-7 판암주공4단지 내 생명종합사회복지관
7,대전광역시,동구,충남중학교,대전광역시 동구 계족로 123 충남중학교
8,대전광역시,동구,판암2동주민센터,대전광역시 동구 동부로 37 판암2동주민센터
9,대전광역시,동구,판암도서관,대전광역시 동구 옥천로180번길 20 판암도서관
0,대전광역시,동구,대전광역시립 제2 노인전문병원,대전광역시 동구 산내로 300
1,대전광역시,동구,대전국제교류센터,대전광역시 동구 대전로 799 주원빌딩 4층
2,대전광역시,동구,대전동구드림스타트센터,대전광역시 동구 동구청로 147 동구청 여성가족과 드림스타트
3,대전광역시,동구,대전보건대학 자원봉사센터,대전광역시 동구  충정로 대전보건대학 21
4,대전광역시,동구,대전장애인정보화협회동구지회,대전광역시 동구 대전로 825 미래빌딩3층
