,지역,시군구,기관,주소
0,대전광역시,서구,관저문예회관,대전광역시 서구 관저동로105번길 20
1,대전광역시,서구,대전광역시 서구 여성가족과,대전광역시 서구 둔산서로 100 여성가족과
2,대전광역시,서구,대전광역시 운송주차과,대전광역시 서구 둔산로 100 대전광역시청 교통건설국 운송주차과(15층)
3,대전광역시,서구,대전광역시 토지정책과,대전광역시 서구 둔산로 100 토지정책과 14층
4,대전광역시,서구,대전시립미술관,대전광역시 서구 둔산대로 155
5,대전광역시,서구,병무청 병무민원상담소,대전광역시 서구  청사로 189 정부대전청사 2동 707호 병무청 병무민원상담소
6,대전광역시,서구,산림청,대전광역시 서구 청사로 189 1동 산림청
7,대전광역시,서구,조달청도서관,대전광역시 서구 청사로 189 정부대전청사 3동 707호 조달청도서관
8,대전광역시,서구,통계청통계교육원,대전광역시 서구 한밭대로 713
9,대전광역시,서구,특허청도서관,대전광역시 서구 청사로 189 정부대전청사 4동 특허청도서관
0,대전광역시,서구,관저1동주민센터,대전광역시 서구  관저북로  24 관저1동주민센터
1,대전광역시,서구,대전119시민체험센터,대전광역시 서구 복수서로 63 119시민체험센터
2,대전광역시,서구,대전고용복지플러스센터,대전 서구 둔산동 둔산북로 90번길 34(둔산동)
3,대전광역시,서구,대전광역시 e-시정도우미,대전광역시 서구 둔산로 100 대전광역시청 공보관실
4,대전광역시,서구,대전광역시서부교육지원청,대전광역시 서구 계백로 1419 대전광역시서부교육지원청
5,대전광역시,서구,대전광역시한밭수목원,대전광역시 서구 둔산대로 169 한밭수목원
6,대전광역시,서구,대한법률구조공단 대전지부,대전광역시 서구 둔산북로 121 아너스빌 3층
7,대전광역시,서구,서구청재난안전담당관,대전광역시 서구 둔산서로 100 서구재난안전담당관
8,대전광역시,서구,용문동주민센터,대전광역시 서구 계룡로662번길 6 용문동주민센터
9,대전광역시,서구,통계청,대전광역시 서구 청사로 189 정부대전청사
0,대전광역시,서구,가수원동주민센터,대전광역시 서구  가수원로  105 가수원동주민센터
1,대전광역시,서구,갈마2동주민센터,대전광역시 서구  대덕대로  147 갈마2동주민센터
2,대전광역시,서구,기성동주민센터,대전광역시 서구  흑석1길  16 기성동주민센터
3,대전광역시,서구,내동주민센터,대전광역시 서구 도솔로 247 내동주민센터
4,대전광역시,서구,대전고등법원,대전광역시 서구 둔산중로78번길 45 총무과
5,대전광역시,서구,대전지방검찰청,대전광역시 서구 둔산중로78번길 15
6,대전광역시,서구,대전지방보훈청,대전광역시 서구 한밭대로 713 대전지방보훈청
7,대전광역시,서구,만년동주민센터,대전광역시 서구 만년로 19 만년동주민센터
8,대전광역시,서구,신한우리재가복지센터,대전광역시 서구 복수남로 41
9,대전광역시,서구,월평2동주민센터,대전광역시 서구  갈마역로  145 월평2동주민센터
0,대전광역시,서구,가장동주민센터,대전광역시 서구  들말4길  6 가장동행정복지센터
1,대전광역시,서구,관저2동주민센터,대전광역시 서구 관저중로 82 관저2동주민센터
2,대전광역시,서구,대전가원학교,대전광역시 서구 계백로 1095
3,대전광역시,서구,도마1동주민센터,대전광역시 서구  도마3길  46 도마1동주민센터
4,대전광역시,서구,도마2동주민센터,대전광역시 서구  도림1길  14
5,대전광역시,서구,둔산3동주민센터,대전광역시 서구  둔산북로  232-52
6,대전광역시,서구,변동행정복지센터,대전광역시 서구 중반5길 133 변동 행정복지센터
7,대전광역시,서구,복수동주민센터,대전광역시 서구 복수서로 26 복수동주민센터
8,대전광역시,서구,월평1동주민센터,대전광역시 서구 월평서로 13 월평1동주민센터
9,대전광역시,서구,탄방동주민센터,대전광역시 서구  탄방로7번길  97
0,대전광역시,서구,갈마1동주민센터,대전광역시 서구 신갈마로 191 갈마1동행정복지센터
1,대전광역시,서구,괴정동주민센터,대전광역시 서구 가장로 57 괴정동주민센터
2,대전광역시,서구,대전광역시립어린이집,대전광역시 서구 신갈마로195번길 51 대전광역시립어린이집
3,대전광역시,서구,대전만년초등학교,대전광역시 서구 만년남로 14
4,대전광역시,서구,대전서부경찰서,대전광역시 서구 복수서로 47 대전서부경찰서 경무계
5,대전광역시,서구,대전충남환경보전협회,대전광역시 서구 대덕대로176번길 51 7층(대전상공회의소)
6,대전광역시,서구,둔산1동행정복지센터,대전광역시 서구  둔산로 64 둔산1동주민센터
7,대전광역시,서구,둔산2동주민센터,대전광역시 서구 둔산서로 80 둔산2동주민센터
8,대전광역시,서구,월평3동주민센터,대전광역시 서구 청사로 27 월평3동주민센터
9,대전광역시,서구,정림동주민센터,대전광역시 서구 정림동로 10 정림동주민센터
0,대전광역시,서구,국립자연휴양림관리소,대전광역시 서구 복수북로 21 국립자연휴양림관리소
1,대전광역시,서구,노사발전재단 충청센터,대전광역시 서구 둔산중로 8 15층
2,대전광역시,서구,대전곤충생태관,대전광역시 서구 둔산대로 191 (만년동) 대전곤충생태관
3,대전광역시,서구,대전서구드림스타트센터,대전광역시 서구  정림동로 8-6 대전서구드림스타트센터
4,대전광역시,서구,서구 평생학습원,대전광역시 서구 계룡로553번길 38 서구 평생학습원
5,대전광역시,서구,특허청정보고객정책과,대전광역시 서구 청사로 189 189(둔산동) 4동 특허청 정보고객정책과
6,대전광역시,서구,한국노인인력개발원 중부지역본부,대전광역시 서구  둔산서로 81 KTGO빌딩 5층 한국노인인력개발원 중부지역본부
7,대전광역시,서구,한국농어촌공사 충남지역본부,대전광역시 서구 대덕대로290번길 27 한국농어촌공사 충남지역본부
8,대전광역시,서구,한국산림복지진흥원,"대전광역시 서구 둔산북로 121 , 2층"
9,대전광역시,서구,한국장애인고용공단 대전발달장애인훈련센터,대전광역시 서구 둔산북로 56 8층
0,대전광역시,서구,대전고암미술문화재단,대전광역시 서구 둔산대로 157 이응노미술관
1,대전광역시,서구,대전광역시 서구 청소년 상담복지센터,대전광역시 서구 도솔로 72 서부새마을금고 3층
2,대전광역시,서구,대전광역시서구청,대전광역시 서구 둔산서로 100
3,대전광역시,서구,대전광역시여성가족원,대전광역시 서구 배재로 181 대전광역시 여성가족원
4,대전광역시,서구,대전도시철도공사,대전광역시 서구  월드컵대로 480 (월평동) 대전도시철도공사
5,대전광역시,서구,대전둔산경찰서,대전광역시 서구 한밭대로 733
6,대전광역시,서구,대전시교육청 wee센터,대전광역시 중구 문화로234번길 34 꿈나래교육원 1층 대전시교육청wee센터
7,대전광역시,서구,서부소방서,대전광역시 서구  갈마중로  15 대전서부소방서
8,대전광역시,서구,장애인체련관,대전광역시 서구 둔산서로 100
9,대전광역시,서구,한국교통방송대전본부,대전광역시 서구  신갈마로 도로교통공단TBN대전교통방송 17 내동 152-7
0,대전광역시,서구,공무원연금공단 대전지부,대전광역시 서구 둔산중로 8 6층 공무원연금공단
1,대전광역시,서구,대전광역시교육청,대전광역시 서구 둔산로 89 대전광역시교육청
2,대전광역시,서구,대전광역시체육회,대전광역시 서구 신갈마로230번길 77
3,대전광역시,서구,대전서구보건소,대전광역시 서구 만년로 74 서구보건소
4,대전광역시,서구,대전소방본부,대전광역시 서구  둔산로 대전광역시청 100 소방본부 소방행정과
5,대전광역시,서구,대전지방경찰청,대전광역시 서구 둔산중로 77 대전지방경찰청
6,대전광역시,서구,대전지방식품의약품안전청,대전광역시 서구 청사로 166 대전지방식품의약품안전청
7,대전광역시,서구,서대전세무서,대전광역시 서구 둔산서로 70 서대전세무서
8,대전광역시,서구,용문어린이집,대전광역시 서구 계룡로 626-1 용문어린이집
9,대전광역시,서구,한국도박문제관리센터 대전센터,대전광역시 서구 둔산서로 15 6층
0,대전광역시,서구,꿈터마을어린이도서관,대전광역시 서구 월평서로 10-1 2층
1,대전광역시,서구,대전서구문화원,대전광역시 서구 계룡로553번길 38 5층 사무국
2,대전광역시,서구,대전서구어린이급식관리지원센터,대전광역시 서구  배재로 155-40 배재대학교 소월관 403호
3,대전광역시,서구,도마실국민체육센터,대전광역시 서구 유등로 235 도마실국민체육센터
4,대전광역시,서구,도안 청소년문화의 집,대전광역시 서구 계백로 1111 도안 청소년문화의 집
5,대전광역시,서구,서구국민체육센터,대전광역시 서구 정림서로 181 서구국민체육센터
6,대전광역시,서구,서구치매안심센터,대전광역시 서구 둔산서로 100 건강체련관 3층
7,대전광역시,서구,썬샤인문고,대전광역시 서구 신갈마로 51 104동 107호
8,대전광역시,서구,지치울작은도서관,대전광역시 서구 갈마로219번길 40
9,대전광역시,서구,탄방청소년문화의집,대전광역시 서구  도솔로 412 32호 (탄방동)
0,대전광역시,서구,가수원도서관,대전광역시 서구  가수원로  91-11 가수원도서관
1,대전광역시,서구,관저어린이집,대전광역시 서구 구봉로 13 관저종합사회복지관 관저어린이집
2,대전광역시,서구,관저지역아동센터,대전광역시 서구 관저중로95번길 90 동양타워4층
3,대전광역시,서구,도솔청소년문화의집,대전광역시 서구 도마2동 426
4,대전광역시,서구,둔산도서관,대전광역시 서구  청사로  263 둔산동 둔산도서관
5,대전광역시,서구,서구노인복지관,대전광역시 서구 남선로 66 남선공원
6,대전광역시,서구,장태산자연휴양림관리사무소,대전광역시 서구 장안로 461 장태산자연휴양림관리사무소
7,대전광역시,서구,천연기념물센터,대전광역시 서구 유등로 927
