,지역,시군구,기관,주소
0,대전광역시,중구,대사동 행정복지센터,대전광역시 중구 충무로 65 대사동주민센터
1,대전광역시,중구,대전광역시 도시재생과,대전광역시 중구  중앙로 101
2,대전광역시,중구,대전광역시 중구 공원녹지과,대전광역시 중구  중앙로 100 공원녹지과
3,대전광역시,중구,대전중구청환경과,대전광역시 중구 중앙로 100 환경과
4,대전광역시,중구,바르게살기운동대전광역시중구협의회,대전광역시 중구 중앙로 100 1층 바르게살기운동 중구협의회
5,대전광역시,중구,복지정책과,대전광역시 중구 중앙로 100 중구청 (복지정책과)
6,대전광역시,중구,부사동행정복지센터,대전광역시 중구 보문로68번길 20 부사동 주민센터
7,대전광역시,중구,석교동 행정복지센터,대전 중구 석교동 대종로 228
8,대전광역시,중구,오류동행정복지센터,대전광역시 중구  오류로 56 오류동주민센터
9,대전광역시,중구,중구청 사회복지과,대전광역시 중구  중앙로 100 대전중구청
0,대전광역시,중구,대전 중구청 여성가족과,대전광역시 중구 중앙로 100
1,대전광역시,중구,대전시차량등록사업소,대전광역시 중구 대종로 373 한밭종합운동장 1층
2,대전광역시,중구,대전중부경찰서,대전광역시 중구 중앙로 112 대전중부경찰서
3,대전광역시,중구,문창동 행정복지센터,대전광역시 중구 보문로20번길 38 문창동 행정복지센터
4,대전광역시,중구,유천1동 행정복지센터,대전 중구 유천1동 계백로 1566번길 57
5,대전광역시,중구,은행선화동 행정복지센터,"대전광역시 중구 보문로337번길 33 (선화동, 은행선화동행정복지센터)"
6,대전광역시,중구,중구보건소,대전광역시 중구 산성로 63 중구보건소
7,대전광역시,중구,중구청회계정보과,"대전광역시 중구 중앙로 100 (대흥동, 중구청)"
8,대전광역시,중구,태평1동 행정복지센터,대전광역시 중구 동서대로 1234 태평1동 주민센터
9,대전광역시,중구,태평2동행정복지센터,대전광역시 중구 평촌로 51 태평2동행정복지센터
0,대전광역시,중구,대흥동행정복지센터,대전광역시 중구 대흥로 109 중구문화원 3층
1,대전광역시,중구,드림스타트센터,대전광역시 중구 중앙로 100 중구청 제 2별관 3층
2,대전광역시,중구,목동 행정복지센터,대전광역시 중구 목중로39번길 39 목동주민센터
3,대전광역시,중구,문화1동 행정복지센터,대전광역시 중구 문화로 195 문화동
4,대전광역시,중구,산성동행정복지센터,"대전광역시 중구 대둔산로 403 (산성동, 산성동주민센터)"
5,대전광역시,중구,유천2동 행정복지센터,대전광역시 중구 문화로133번길 55 유천2동주민센터
6,대전광역시,중구,중구청민원봉사과,대전광역시 중구 중앙로 100 중구청
7,대전광역시,중구,중구청효문화마을관리원뿌리공원과,대전광역시 중구  뿌리공원로 79 (침산동)
8,대전광역시,중구,한밭도서관 관리과,대전광역시 중구  서문로 10 한밭도서관 관리과
9,대전광역시,중구,효문화마을관리원,대전광역시 중구  뿌리공원로  47
0,대전광역시,중구,(사)대한수의사회 대전광역시지부,대전광역시 중구 대종로 342 대전수의사회 4층
1,대전광역시,중구,대전광역시 인권센터,대전광역시 중구 중앙로 119 5층
2,대전광역시,중구,대전광역시발달장애인지원센터,대전광역시 중구 중앙로 118 대전도시공사 3층 대전광역시발달장애인지원센터
3,대전광역시,중구,대전교육연수원/꿈나래교육원,대전광역시 중구 문화로234번길 34 꿈나래교육원
4,대전광역시,중구,대전동부특수교육지원센터,대전광역시 중구 대종로315번길 42 1층 특수교육지원센터
5,대전광역시,중구,대전신체장애인복지회중구지부,대전광역시 중구 대종로549번길 30 대전광역시 중구 대종로 549번길 30 선화동선화빌딩403호
6,대전광역시,중구,대전해피홈,대전광역시 중구 동서대로 1388 금호한사랑@ 105동 105호
7,대전광역시,중구,중촌동 행정복지센터,대전광역시 중구 대종로 661 중촌동 주민센터
8,대전광역시,중구,치매안심센터,대전광역시 중구 중앙로 100 3별관 1층
9,대전광역시,중구,한국효문화진흥원,대전광역시 중구 뿌리공원로 45 효문화진흥원
0,대전광역시,중구,(재)대전걷기연맹,대전광역시 중구  유천로17번안길 8
1,대전광역시,중구,대전도시재생지원센터,대전광역시 중구  중앙로 101 옛 충남도청 3층 대전도시재생지원센터
2,대전광역시,중구,대전동부Wee센터,대전광역시 중구  대전천서로 521 동부교육지원청 4층 wee센터
3,대전광역시,중구,대전문화재단,대전광역시 중구  중앙로 32 대전예술가의 집 4층 대전문화재단
4,대전광역시,중구,대전중구자원봉사센터,대전광역시 중구  중앙로 100 중구청 2별관 2층 자원봉사센터
5,대전광역시,중구,대전평생교육진흥원,대전광역시 중구  중앙로 101 보문산관 3층 (재)대전평생교육진흥원
6,대전광역시,중구,대한적십자사대전세종지사,대전광역시 중구  선화서로 19 대한적십자사대전충남지사
7,대전광역시,중구,문화2동행정복지센터,대전광역시 중구  당디로6번길 90 문화2동 행정복지센터
8,대전광역시,중구,한국스카우트대전연맹,대전광역시 중구 대종로549번길 6 2층 한국스카우트대전연맹
9,대전광역시,중구,한국자유총연맹 대전광역시 중구지회,대전광역시 중구 목중로 34 자유회관 1층
0,대전광역시,중구,대전광역시공원관리사업소,대전광역시 중구 사정공원로 160
1,대전광역시,중구,대전광역시광역치매센터,대전광역시 중구  문화로 282 충남대학교병원 2층 대전광역시광역치매센터
2,대전광역시,중구,대전광역시시설관리공단 한밭종합운동장,대전광역시 중구 대종로 373 한밭종합운동장
3,대전광역시,중구,대전장애인배드민턴협회,대전광역시 중구 보문로162번길 47 대전장애인배드민턴협회
4,대전광역시,중구,대전충남재향군인회,대전광역시 중구 대종로 370 대전충남재향군인회
5,대전광역시,중구,새마을중구지회,대전광역시 중구  대종로  387 386번길 69-1(문창동 46-1)
6,대전광역시,중구,서대전초등학교병설유치원,대전광역시 중구 선화로 17 서대전초등학교병설유치원
7,대전광역시,중구,용두동행정복지센터,대전광역시 중구 동서대로1322번길 111 용두동 행정복지센터
8,대전광역시,중구,중구청안전총괄과,대전광역시 중구  중앙로 100 중구청 안전총괄과
9,대전광역시,중구,한국법무보호복지공단 대전충남지부,대전광역시 중구 대둔산로350번길 19 한국법무보호복지공단 대전지부
0,대전광역시,중구,대전광역시 지역장애인보건의료센터,대전광역시 중구 문화로 282 대전광역시 지역장애인보건의료센터
1,대전광역시,중구,대전광역정신건강복지센터,대전광역시 중구 대종로488번길 9 대전광역정신건강복지센터
2,대전광역시,중구,대전유아교육진흥원,대전광역시 중구 산서로50번길 12 대전유아교육진흥원
3,대전광역시,중구,대전중구보건소 건강관리,대전광역시 중구 산성로 63
4,대전광역시,중구,대전지방국세청우리누리어린이집,대전광역시 중구  보문로 331 대전세무서 별관1층 우리누리어린이집
5,대전광역시,중구,대전해바라기센터,대전광역시 중구 문화로 282 충남대학교병원 본관2층 대전해바라기센터
6,대전광역시,중구,민주평화통일자문회의대전중구협의회,대전광역시 중구 중앙로 100 2별관 3층 민주평화통일자문회의대전중구협의회
7,대전광역시,중구,빛나눔장애인자립생활센터,대전광역시 중구 보문산로 44 301호 빛나눔장애인자립생활센터
8,대전광역시,중구,중구국민체육센터,대전광역시 중구 선화서로 70 중구국민체육센터
9,대전광역시,중구,중구청도시활성화과,"대전광역시 중구 중앙로 100 대흥동, 중구청"
0,대전광역시,중구,대전YWCA대흥동청소년문화의집,대전광역시 중구 대흥로 128 대전YWCA청소년문화의집
