,지역,시군구,기관,주소
0,부산광역시,기장군,기장군,부산광역시 기장군 기장읍 기장대로 560 기장군청
1,부산광역시,기장군,기장군기획감사실,부산광역시 기장군 기장읍 기장대로 560 기장군청 기획감사실
2,부산광역시,기장군,기장군농업기술센터,부산광역시 기장군 기장읍 반송로 1370-22
3,부산광역시,기장군,기장군미래전략과,"부산광역시 기장군 기장읍 기장대로 560 , 기장군청 미래전략과"
4,부산광역시,기장군,기장군복지지원실,부산광역시 기장군 기장읍 기장대로 560 기장군청 복지지원실
5,부산광역시,기장군,기장군인재양성과,"부산광역시 기장군 기장읍 기장대로 560 , 기장군청 인재양성과"
6,부산광역시,기장군,기장군청도서관과,"부산광역시 기장군 정관읍 정관중앙로 100 , 정관도서관"
7,부산광역시,기장군,기장군청문화관광과,부산광역시 기장군 기장읍 기장대로 560 기장군청 문화관광과
8,부산광역시,기장군,기장군청열린민원과-광고물관리,"부산광역시 기장군 기장읍 기장대로 560 , 기장군청 열린민원과"
9,부산광역시,기장군,정관읍사무소,부산광역시 기장군 정관읍 용수로 4 정관읍사무소
0,부산광역시,기장군,고리원자력,부산광역시 기장군 장안읍 길천길 96-1 고리원자력본부 지역협력팀
1,부산광역시,기장군,국립부산과학관,"부산광역시 기장군 기장읍 동부산관광6로 59 , 국립부산과학관 3층 전시운영실"
2,부산광역시,기장군,기장군드림스타트센터,"부산광역시 기장군 기장읍 기장대로 560 , 기장군청 지하1층 기장군 드림스타트"
3,부산광역시,기장군,기장군자원봉사센터,부산광역시 기장군 기장읍 차성동로87번길 19 중앙빌딩 3층 기장군자원봉사센터
4,부산광역시,기장군,기장군정신건강증진센터,부산광역시 기장군 정관읍 용수로 11 정관보건지소 4층 정신건강복지센터
5,부산광역시,기장군,기장군청소년상담복지센터,"부산광역시 기장군 기장읍 차성서로 86 , 대라다목적도서관 4층 기장군청소년상담복지센터"
6,부산광역시,기장군,대라다목적도서관,"부산광역시 기장군 기장읍 차성서로 86 , 대라다목적도서관"
7,부산광역시,기장군,부산기장군육아종합지원센터,"부산광역시 기장군 정관읍 정관중앙로 110 , 부산기장군육아종합지원센터"
8,부산광역시,기장군,정관노인복지관,부산광역시 기장군 정관읍 정관중앙로 83-14 정관노인복지관
9,부산광역시,기장군,한국장애인고용공단부산직업능력개발원,"부산광역시 기장군 정관읍 산단5로 54 , 한국장애인고용공단부산직업능력개발원"
0,부산광역시,기장군,기장도서관,"부산광역시 기장군 기장읍 차성동로126번길 13-5 , 기장도서관"
1,부산광역시,기장군,기장읍캠프,부산광역시 기장군 기장읍 차성동로5번길 10 기장읍사무소 2층 자치활동실
2,부산광역시,기장군,기장장애인복지관,"부산광역시 기장군 정관읍 병산로 42-15 , 기장장애인복지관"
3,부산광역시,기장군,기장종합사회복지관,"부산광역시 기장군 기장읍 차성로 206 , 기장종합사회복지관"
4,부산광역시,기장군,기장초등학교,부산광역시 기장군 기장읍 읍내로 69 기장초등학교
5,부산광역시,기장군,달산유치원,부산광역시 기장군 정관읍 정관로 674 달산유치원
