,지역,시군구,기관,주소
0,부산광역시,북구,구포3동주민센터,부산광역시 북구 시랑로118번길 23
1,부산광역시,북구,금곡동주민센터,부산광역시 북구 금곡대로 466
2,부산광역시,북구,덕천2동주민센터,부산광역시 북구 만덕대로 35 2층
3,부산광역시,북구,덕천3동주민센터,부산광역시 북구 덕천로 118
4,부산광역시,북구,만덕2동주민센터,부산광역시 북구 만덕2로44번길 10 만덕2동주민센터
5,부산광역시,북구,만덕3동주민센터,부산광역시 북구 만덕3로 52
6,부산광역시,북구,부산북부경찰서,부산광역시 북구 화명신도시로 63
7,부산광역시,북구,북구청 교육지원과,"부산광역시 북구 사상로 587 3층, 북구 교육지원과"
8,부산광역시,북구,북구청문화체육과,부산광역시 북구 낙동대로1570번길 33
9,부산광역시,북구,화명3동주민센터,부산광역시 북구 화명신도시로 85
0,부산광역시,북구,구포1동주민센터,부산광역시 북구 낙동대로1762번길 75
1,부산광역시,북구,구포2동주민센터,부산광역시 북구 낙동북로663번길 23
2,부산광역시,북구,덕천1동행정복지센터,부산광역시 북구 만덕대로102번가길 11
3,부산광역시,북구,만덕1동주민센터,부산광역시 북구 만덕1로 1 만덕1동주민센터
4,부산광역시,북구,부산광역시북부교육지원청,부산광역시 북구 백양대로1016번다길 44
5,부산광역시,북구,부산광역시인재개발원,부산광역시 북구 효열로 256
6,부산광역시,북구,부산여성가족개발원,부산광역시 북구 효열로 256
7,부산광역시,북구,화명1동주민센터,부산광역시 북구 금곡대로 274 화명1동주민센터
8,부산광역시,북구,화명2동주민센터,부산광역시 북구 양달로 58
9,부산광역시,북구,화명수목원,부산광역시 북구 산성로 299 부산광역시 화명수목원관리사업소
0,부산광역시,북구,부산북구보건소,부산광역시 북구 금곡대로 348
1,부산광역시,북구,부산북부고용센터,부산광역시 북구 화명대로 9 코스모 북부산빌딩
2,부산광역시,북구,부산어촌민속관,부산광역시 북구 학사로 128 화명동 부산어촌민속관
3,부산광역시,북구,북구청소년상담복지센터,부산광역시 북구 덕천로 3 청소년지원센터
4,부산광역시,북구,북부경찰서구포지구대,부산광역시 북구 시랑로79번길 3 구포지구대
5,부산광역시,북구,북부경찰서금곡지구대,부산광역시 북구 금곡동 금곡파출소
6,부산광역시,북구,북부경찰서덕천지구대,부산광역시 북구 금곡대로 66-8 덕천지구대
7,부산광역시,북구,북부경찰서만덕지구대,부산광역시 북구 은행나무로36번가길 24
8,부산광역시,북구,북부경찰서화명지구대,부산광역시 북구 용당로 6 화명지구대
9,부산광역시,북구,화명도서관,부산광역시 북구 화명대로12번길 59 화명도서관
0,부산광역시,북구,금곡도서관,부산광역시 북구 효열로203번길 34 금곡도서관
1,부산광역시,북구,디지털도서관,부산광역시 북구 은행나무로 26 북구디지털 도서관
2,부산광역시,북구,만덕&마을교육공동체,부산광역시 북구 덕천로234번길 7 동원아파트 101동 1105호
3,부산광역시,북구,문화빙상센터,부산광역시 북구 금곡대로46번길 50
4,부산광역시,북구,부산광역시립구포도서관,부산광역시 북구 백양대로1016번다길 43 구포도서관
5,부산광역시,북구,부산기후변화체험교육관,부산광역시 북구 학사로 118
6,부산광역시,북구,북구국민체육센터,부산광역시 북구 화명대로94번길 83 북구국민체육센터
