,지역,시군구,기관,주소
0,부산광역시,서구,남부민2동 주민센터,부산광역시 서구 천마로 87
1,부산광역시,서구,동대신2동주민센터,부산광역시 서구 보동길275번길 9 (동대신동2가)
2,부산광역시,서구,부민동주민센터,부산광역시 서구 임시수도기념로 22-11 (부민동3가)
3,부산광역시,서구,부산광역시 기후환경국,부산광역시 연제구 중앙대로 1001 (연산동)
4,부산광역시,서구,부산광역시서구청,부산광역시 서구 구덕로 120 (토성동4가)
5,부산광역시,서구,부산서부경찰서,부산광역시 서구 대영로 16 (서대신동2가)
6,부산광역시,서구,서대신1동주민센터,부산광역시 서구 구덕로315번길 49 (서대신동2가)
7,부산광역시,서구,서대신4동주민센터,부산광역시 서구 꽃마을로 49 (서대신동3가)
8,부산광역시,서구,암남동주민센터,부산광역시 서구 충무대로 83 (암남동)
9,부산광역시,서구,초장동주민센터,부산광역시 서구 초장로27번길 32 (초장동)
0,부산광역시,서구,남부민1동주민센터,부산광역시 서구 충무대로255번길 5-26 (남부민동)
1,부산광역시,서구,남부민2동주민센터,부산광역시 서구 천마로 87 (남부민동)
2,부산광역시,서구,동대신1동주민센터,부산광역시 서구 구덕로280번길 32 (동대신동1가)
3,부산광역시,서구,동대신3동주민센터,부산광역시 서구 대영로73번길 92 (동대신동3가)
4,부산광역시,서구,서구보건소,부산광역시 서구 부용로 30 (부용동2가)
5,부산광역시,서구,서구장애인복지관,부산광역시 서구 보수대로154번길 36 (동대신동1가)
6,부산광역시,서구,서대신3동주민센터,부산광역시 서구 대신로 27 (서대신동3가)
7,부산광역시,서구,서부수학체험교실,부산광역시 서구 대신로109번길 10 부산대신중학교 1층 서부수학체험교실
8,부산광역시,서구,아미동주민센터,부산광역시 서구 해돋이로269번길 17 (아미동2가)
9,부산광역시,서구,충무동주민센터,부산광역시 서구 구덕로148번길 16 (토성동5가)
0,부산광역시,서구,동아대학교박물관,부산광역시 서구 구덕로 225 동아대박물관
1,부산광역시,서구,부산광역시서부교육지원청Wee센터,부산광역시 서구 꽃마을로 33 (서대신동3가)
2,부산광역시,서구,부산광역시아동보호종합센터,부산광역시 서구 까치고개로 183 아동보호종합센터
3,부산광역시,서구,부산서구드림스타트센터,부산광역시 서구 구덕로 120 서구청 신관동 3층 드림스타트
4,부산광역시,서구,부산서구문화원,부산광역시 서구 까치고개로197번길 46 (아미동2가)
5,부산광역시,서구,부산서구자원봉사센터,부산광역시 서구 남부민로 38 (구남부민2동주민센터)
6,부산광역시,서구,부산시서부교육청,부산광역시 서구 꽃마을로 33 부산서부교육청
7,부산광역시,서구,서구 평생학습센터,부산광역시 서구 구덕로 120 총무과 평생학습계
8,부산광역시,서구,서구청소년상담복지센터,부산광역시 서구 시약로 125 .
9,부산광역시,서구,송도해양레포츠센터,부산광역시 서구 송도해변로 50 (암남동)
0,부산광역시,서구,(사)대한노인회부산서구지회,부산광역시 서구 구덕로250번길 6 .
1,부산광역시,서구,(사)부산서구사랑의띠잇기봉사단후원회,부산광역시 서구 까치고개로197번길 46 (아미동2가)
2,부산광역시,서구,(사)부산시한마음장애인지원센터,부산광역시 사상구 광장로87번길 76 .
3,부산광역시,서구,(사)효문화지원본부,부산광역시 부산진구 거제대로60번길 39-1 (양정동)
4,부산광역시,서구,부민노인복지관,부산광역시 서구 부용로 30 (부용동2가)
5,부산광역시,서구,부산광역시서구노인복지관,부산광역시 서구 장군산로46번길 21 (암남동)
6,부산광역시,서구,부산하나센터,부산광역시 서구 구덕로 225 동아대학교 부민캠퍼스 평생교육원 5층
7,부산광역시,서구,부산혜송학교,부산광역시 서구 천마로50번길 1 부산혜송학교
8,부산광역시,서구,서구한빛장애인자립생활센터,부산광역시 서구 구덕로 299 효성빌딩 B1층
9,부산광역시,서구,원광지역아동센터,부산광역시 서구 구덕로334번길 19-9 (동대신동3가)
0,부산광역시,서구,(사)밀알심장재단,부산광역시 서구 보수대로 214 (동대신동3가)
1,부산광역시,서구,(사)이태석신부참사랑실천사업회,부산광역시 서구 해양로 8 (남부민동)
2,부산광역시,서구,(사)한국환경오염관리협회,부산광역시 동구 중앙대로180번길 13 프레지던트오피스텔 502호
3,부산광역시,서구,(재)문화유산회복재단부산시지부,부산광역시 사상구 사상로 96-13 201호
4,부산광역시,서구,(주)잇다,부산광역시 서구 해돋이로183번길 17-4 잇다(카페)
5,부산광역시,서구,부산광역시 장노년일자리지원센터,부산광역시 연제구 거제대로 215 오대빌딩3~4층
6,부산광역시,서구,사)대한장애인스포츠진흥원,부산광역시 사상구 사상로 96-13 사)대한장애인스포츠진흥원
7,부산광역시,서구,해강지역아동센터,부산광역시 서구 해돋이로 71 해강아동관4층 해강지역아동센터
