,지역,시군구,기관,주소
0,부산광역시,수영구,광안2동행정복지센터,부산광역시 수영구 광안2동 수영로540번길 8
1,부산광역시,수영구,광안3동행정복지센터,부산광역시 수영구 망미번영로38번길 103
2,부산광역시,수영구,광안4동행정복지센터,부산광역시 수영구 호암로9번길 34 광안4동주민센터
3,부산광역시,수영구,망미2동행정복지센터,부산광역시 수영구 구락로81번길 40 망미2동행정복지센터
4,부산광역시,수영구,민락동행정복지센터,부산광역시 수영구 광안해변로295번길 20
5,부산광역시,수영구,부산지방병무청,부산광역시 수영구 연수로 301 부산지방병무청
6,부산광역시,수영구,수영구도시재생지원센터,부산광역시 수영구 연수로310번길 8 가압장
7,부산광역시,수영구,수영구청 일자리경제과,부산광역시 수영구 남천동로 100 수영구청 지역경제과
8,부산광역시,수영구,수영구청 자원순환과,부산광역시 수영구 남천동로 100 남천동
9,부산광역시,수영구,수영구청 환경위생과,부산광역시 수영구  남천동로 100 수영구청 환경위생과
0,부산광역시,수영구,광안1동행정복지센터,부산광역시 수영구 광일로14번길 17 광안1동 행정복지센터
1,부산광역시,수영구,남천1동행정복지센터,부산광역시 수영구 남천1동 14-28 남천1동주민센터
2,부산광역시,수영구,남천2동행정복지센터,부산광역시 수영구 광안해변로 99 남천2동 행정복지센터
3,부산광역시,수영구,부산남부경찰서 광남지구대,부산광역시 수영구 수영로554번길 52
4,부산광역시,수영구,부산지방고용노동청부산동부지청,부산광역시 수영구 광안동 89-18
5,부산광역시,수영구,사)다함께성가정상담센터,부산광역시 수영구 연수로 392
6,부산광역시,수영구,수영구건강가정다문화가족지원센터,부산광역시 수영구 황령산로7번길 45 지하1층(헤리티지 남천)
7,부산광역시,수영구,수영구육아종합지원센터,부산광역시 수영구 장대골로 20-14
8,부산광역시,수영구,수영구정신건강복지센터,부산광역시 수영구 광안1동 661-1 수영구보건소 2층 정신건강증진센터
9,부산광역시,수영구,수영구청복지서비스과,부산광역시 수영구 남천동로 100 수영구청 복지서비스과
0,부산광역시,수영구,국민건강보험공단,부산광역시 수영구 수영로 480 코오롱빌딩 3층
1,부산광역시,수영구,금련산청소년수련원,부산광역시 수영구 광안4동 60-3
2,부산광역시,수영구,남부산우체국,부산광역시 수영구 광남로 70 확정주소부산광역시 수영구 수영로 448 남부산우체국
3,부산광역시,수영구,부산광역시무형문화재연합회,부산광역시 수영구 수영로521번길 63
4,부산광역시,수영구,부산지회 성폭력상담소,부산광역시 수영구 수영로 425
5,부산광역시,수영구,수영구도서관,부산광역시 수영구 남천서로 33 수영구도서관
6,부산광역시,수영구,수영구보건소,부산광역시 수영구 수영로 637-5 수영구보건소
7,부산광역시,수영구,수영구청소년문화의 집,부산광역시 수영구 수영로521번길 77 수영구 청소년 문화의 집
8,부산광역시,수영구,수영동행정복지센터,부산광역시 수영구 수영성로 36 수영동행정복지센터
9,부산광역시,수영구,수영문화원,부산광역시 수영구 광안해변로 219 3층 수영문화원
0,부산광역시,수영구,늘푸른재가복지센터,부산광역시 수영구 광안해변로358번길 7 3층 늘푸른재가복지센터
1,부산광역시,수영구,부산문해교육협회,부산광역시 수영구 수영로679번길 23 201호
2,부산광역시,수영구,부산민주언론시민연합,부산광역시 수영구 광남로 88 태민빌딩 301호
3,부산광역시,수영구,부산배화학교,부산광역시 수영구 연수로310번길 73 부산배화학교
4,부산광역시,수영구,부산장애인평생교육원,부산광역시 수영구 망미로22번길 55 4층
5,부산광역시,수영구,수영구장애인협회,부산광역시 수영구 장대골로 75-4
6,부산광역시,수영구,수영구청 문화관광과,부산광역시 수영구 민락수변로 95 민락수변공원 관리사무소
7,부산광역시,수영구,안심생활큰사랑복지센터,부산광역시 수영구 과정로73번길 2 망미동
8,부산광역시,수영구,"우리 함께 가는 길,동행(부산)",부산광역시 수영구 광안로 12 102동 801호
9,부산광역시,수영구,행복한마을,부산광역시 수영구 광안해변로370번길 9-32 노블스카이 2층
0,부산광역시,수영구,(사)대한노인회수영구지회,부산광역시 수영구 수영로540번길 8 수영구 기로회관 2층
1,부산광역시,수영구,동산원,부산광역시 수영구 광안1동 536-44
2,부산광역시,수영구,만나 놀이터 작은 도서관,부산광역시 수영구 수영로 지하 677 상가46호
3,부산광역시,수영구,미디토리협동조합,부산광역시 수영구 광남로 88 태민빌딩 301호
4,부산광역시,수영구,바른도시포럼,부산광역시 수영구 장대골로7번길 27 2층 201호
5,부산광역시,수영구,새마음야간학교,부산광역시 수영구 광안1동 120-134
6,부산광역시,수영구,솔빛길공동생활가정,부산광역시 수영구 과정로61번길 35 망미동
7,부산광역시,수영구,수영구드림스타트센터,부산광역시 수영구  수미로 53 수영구 드림스타트 센터
8,부산광역시,수영구,온종일재가복지센터,부산광역시 수영구 수영로545번길 21 유원빌딩 3층
9,부산광역시,수영구,협동조합 리워크,부산광역시 수영구 망미번영로38번길 10 2층
0,부산광역시,수영구,고향의집,부산 수영구 망미동 461-5
1,부산광역시,수영구,광안해늘지역아동센터,부산광역시 수영구 수영로642번길 37
2,부산광역시,수영구,망미지역아동센터,부산 수영구 망미동
3,부산광역시,수영구,무지개가족밥상,부산광역시 수영구 광일로20번가길 42-1 무지개가족밥상
4,부산광역시,수영구,사)행복나눔공동체협의회,부산광역시 수영구 과정로85번길 65 3층
5,부산광역시,수영구,사회복지법인세림어린이집,부산광역시 수영구 망미번영로16번가길 29
6,부산광역시,수영구,장한어린이집(장애전담),부산 수영구 광안1동 600~730 712-4번지
7,부산광역시,수영구,참좋은 지역아동센터,부산광역시 수영구 과정로85번길 65
8,부산광역시,수영구,한솔지역아동센터,부산광역시 수영구 호암로30번길 6
9,부산광역시,수영구,함께걸음그룹홈,부산광역시 수영구 수영로610번길 112 A동 101호
0,부산광역시,수영구,도영하우스,부산광역시 수영구 수영로 690-5 수영메디세움 402호 도영하우스
