,지역,시군구,기관,주소
0,서울특별시,강서구,강서구보건소의약과,서울특별시 강서구 공항대로 561 강서보건소 4층 의약과
1,서울특별시,강서구,강서구청 공원녹지과,서울특별시 강서구  양천로59길 38 3층 공원녹지과
2,서울특별시,강서구,강서구청 교육청소년과,서울특별시 강서구 공항대로 615 강서평생학습관
3,서울특별시,강서구,강서구청생활보장과,서울특별시 강서구  화곡로 302 강서구청
4,서울특별시,강서구,등촌1동주민센터,서울특별시 강서구 공항대로53가길 55 등촌1동 주민센터
5,서울특별시,강서구,발산1동주민센터,서울특별시 강서구 강서로47길 54 발산1동주민센터
6,서울특별시,강서구,방화3동주민센터,서울특별시 강서구 금낭화로24길 5 방화3동주민센터
7,서울특별시,강서구,서울강서경찰서,서울특별시 양천구 화곡로 73 서울강서경찰서
8,서울특별시,강서구,서울강서소방서,서울특별시 강서구 양천로 550 강서소방서
9,서울특별시,강서구,화곡6동주민센터,서울특별시 강서구 화곡로 312 화곡6동주민센터
0,서울특별시,강서구,가양1동주민센터,서울특별시 강서구 허준로 30 가양1동주민센터
1,서울특별시,강서구,가양3동주민센터,서울특별시 강서구 허준로 202 가양3동주민센터
2,서울특별시,강서구,강서구자원봉사센터,서울특별시 강서구 공항대로 501 2층
3,서울특별시,강서구,강서구청문화체육과,서울특별시 강서구 화곡로 302 강서구청 문화체육과
4,서울특별시,강서구,등촌2동주민센터,서울특별시 강서구 등촌로 143 등촌2동주민센터
5,서울특별시,강서구,등촌3동주민센터,서울특별시 강서구 화곡로63길 96 등촌3동주민센터
6,서울특별시,강서구,방화1동주민센터,서울특별시 강서구방화동로 124-1 방화1동주민센터
7,서울특별시,강서구,염창동주민센터,서울특별시 강서구 양천로67가길 63 염창동주민센터
8,서울특별시,강서구,우장산동주민센터,서울특별시 강서구 우현로 34 우장산동주민센터
9,서울특별시,강서구,화곡2동주민센터,서울특별시 강서구 곰달래로37길 13 화곡2동 주민센터
0,서울특별시,강서구,가양2동주민센터,서울특별시 강서구 허준로 93 가양2동주민센터
1,서울특별시,강서구,강서구보건소건강관리과,서울특별시 강서구 공항대로 561 강서보건소 3층
2,서울특별시,강서구,강서구보건소보건행정과,서울특별시 강서구 공항대로 561 강서보건소 3층
3,서울특별시,강서구,강서안내센터(한강사업본부산하),서울특별시 강서구 양천로27길 279-23
4,서울특별시,강서구,공항동주민센터,서울특별시 강서구 송정로 45 공항동주민센터
5,서울특별시,강서구,방화2동주민센터,서울특별시 강서구 개화동로23길 20 방화2동주민센터
6,서울특별시,강서구,화곡3동주민센터,서울특별시 강서구 강서로33가길 17 화곡3동 주민센터
7,서울특별시,강서구,화곡4동주민센터,서울특별시 강서구 곰달래로57가길 26 화곡4동주민센터
8,서울특별시,강서구,화곡8동주민센터,서울특별시 강서구 곰달래로25길 45 화곡8동주민센터
9,서울특별시,강서구,화곡본동주민센터,서울특별시 강서구 초록마을로5길 29 화곡본동주민센터
0,서울특별시,강서구,강서구시설관리공단,서울특별시 강서구 우장산로 114
1,서울특별시,강서구,강서구청여성가족과,서울특별시 강서구 화곡로 302 강서구청 별관 4층
2,서울특별시,강서구,구립 한울어린이집,서울특별시 강서구 우현로 34 주민센터 1층 한울어린이집
3,서울특별시,강서구,구립솔뫼작은도서관,서울특별시 강서구 가로공원로77길 30 솔뫼도서관
4,서울특별시,강서구,마곡4꿈의 숲어린이집,서울특별시 강서구 마곡서로 175 마곡엠벨리4단지 404동 1층
5,서울특별시,강서구,마곡8열린숲어린이집,서울특별시 강서구 마곡서1로 81 807동 1층 마곡8열린숲어린이집
6,서울특별시,강서구,서울식물원,서울특별시 강서구 마곡동로 161 서울식물원
7,서울특별시,강서구,한국임업진흥원,서울특별시 강서구 공항대로 475 한국임업진흥원 4층 전략기획실
8,서울특별시,강서구,해솔어린이집,서울특별시 강서구 양천로57길 37 가양아파트4단지 내
