,지역,시군구,기관,주소
0,서울특별시,노원구,노원경찰서 여성청소년과,서울특별시 노원구  노원로 283 서울노원경찰서 여성청소년과 아동청소년계
1,서울특별시,노원구,노원구청 문화과,서울특별시 노원구  노해로 437 노원구청 문화과
2,서울특별시,노원구,노원구청 아동청소년과,서울특별시 노원구  노해로 437 6층 체육청소년과
3,서울특별시,노원구,노원구청 어르신복지과,서울특별시 노원구  노해로 437 노원구청 어르신복지과
4,서울특별시,노원구,노원구청 여성가족과,서울특별시 노원구  노해로 437 노원구청 여성가족과
5,서울특별시,노원구,노원구청교육지원과,서울특별시 노원구  노해로 437 노원구청 교육지원과
6,서울특별시,노원구,노원구청복지정책과,서울특별시 노원구 노해로 437 노원구청 복지정책과
7,서울특별시,노원구,노원구청일자리경제과,서울특별시 노원구 노해로 437 노원구청 3층 일자리경제과
8,서울특별시,노원구,상계6.7동자원봉사캠프,서울특별시 노원구  노원로 429 상계6.7동주민센터 상계6.7동주민센터
9,서울특별시,노원구,서울특별시 노원구 자원순환과,서울특별시 노원구  노해로 437 노원구청 6층 문화예술과
0,서울특별시,노원구,노원구자기주도학습지원센터,서울특별시 노원구  동일로 1279 중계그린아파트 상가 지하 1층 노원자기주도학습지원센터
1,서울특별시,노원구,노원구청 문화체육과,서울특별시 노원구  노해로 437 노원구청 문화체육과
2,서울특별시,노원구,노원구청 푸른도시과,서울특별시 노원구  노해로 437 노원구청 3층 공원녹지과
3,서울특별시,노원구,노원구청디지털홍보과,서울특별시 노원구 노해로 437 노원구청 디지털홍보과(본관 4층)
4,서울특별시,노원구,노원구청여성가족과,서울특별시 노원구 상계6.7동 노원구청
5,서울특별시,노원구,노원구청장애인복지과,서울특별시 노원구 노해로 437
6,서울특별시,노원구,상계3.4동 주민센터,서울특별시 노원구  덕릉로 859 상계3.4동주민센터
7,서울특별시,노원구,상계9동주민센터자원봉사운영,서울특별시 노원구  한글비석로 487 상계9동주민센터
8,서울특별시,노원구,서울시립과학관,서울특별시 노원구 한글비석로 160 서울시립과학관
9,서울특별시,노원구,하계2동주민센터캠프,서울특별시 노원구 하계2동 273-2
0,서울특별시,노원구,노원경찰서 보안과 외사계,서울특별시 노원구  노원로 283 서울노원경찰서 4층 보안과 외사팀
1,서울특별시,노원구,노원구청,서울특별시 노원구 노해로 437 노원구청 (상계동 701-1)
2,서울특별시,노원구,노원구청 생활체육과,서울특별시 노원구 노해로 437 2층 생활체육과
3,서울특별시,노원구,노원구청감사담당관,서울 노원구 상계6동 노원구청 701-1
4,서울특별시,노원구,상계10동주민센터캠프,서울특별시 노원구 상계10동  671 .
5,서울특별시,노원구,상계2동주민센터캠프,서울특별시 노원구 상계로 118 상계2동주민센터
6,서울특별시,노원구,"상계3,4동주민센터캠프","서울특별시 노원구 덕릉로 859 상계3,4동 주민센터"
7,서울특별시,노원구,상계5동주민센터캠프,서울특별시 노원구 한글비석로 434
8,서울특별시,노원구,서울북부고용센터,서울특별시 노원구  노해로 해청빌딩 450 서울북부고용센터 3층 취업지원팀
9,서울특별시,노원구,서울북부지방법원,서울특별시 노원구 공릉1동 서울북부지방법원 총무과 .
0,서울특별시,노원구,공릉1동주민센터캠프,서울특별시 노원구 공릉1동 499-25  공릉1동주민센터 캠프
1,서울특별시,노원구,공릉2동주민센터캠프,서울특별시 노원구 노원로1길 68 공릉2동주민센터
2,서울특별시,노원구,노원구보건소의약과,서울특별시 노원구 노해로 447 노원구보건소 4층 의약과
3,서울특별시,노원구,상계1동주민센터캠프,서울특별시 노원구 상계1동 1259 .
4,서울특별시,노원구,상계8동주민센터캠프,서울특별시 노원구 상계8동 658 .
5,서울특별시,노원구,월계1동주민센터캠프,서울특별시 노원구 월계1동  928 .
6,서울특별시,노원구,중계1동주민센터캠프,서울특별시 노원구 중계1동 359-5 .
7,서울특별시,노원구,"중계2,3동주민센터캠프","서울특별시 노원구 노원로17길 56 중계2,3동 주민센터"
8,서울특별시,노원구,중계4동주민센터캠프,서울특별시 노원구 덕릉로82길 50 중계4동주민센터
9,서울특별시,노원구,하계1동주민센터캠프,서울특별시 노원구 하계1동 251-2 .
0,서울특별시,노원구,노원구청 공동주택지원과,서울 노원구 상계6동 노원구청 주택과
1,서울특별시,노원구,노원구청민원여권과,서울 노원구 상계6동 노원구청 민원여권과
2,서울특별시,노원구,노원구청부과과,서울 노원구 상계6동 노원구청 부과과
3,서울특별시,노원구,노원구청토목과,서울 노원구 상계6동 노원구청 노해로 437 별관 3층 토목과
4,서울특별시,노원구,노원우체국,서울특별시 노원구 중계본동  311-14 .
5,서울특별시,노원구,북부지원우체국,서울 노원구 공릉1동 북부지원
6,서울특별시,노원구,서울북부지방검찰청,서울 노원구 공릉1동 서울북부지방검찰청
7,서울특별시,노원구,월계2동주민센터캠프,서울특별시 노원구 초안산로5길 28 월계2동주민센터
8,서울특별시,노원구,월계3동주민센터캠프,서울특별시 노원구 월계3동 15-1 .
9,서울특별시,노원구,하계2동주민센터캠프,서울특별시 노원구 하계2동 273-2
0,서울특별시,노원구,노원교육복지재단,서울특별시 노원구 동일로 1229 노원구민회관 3층
1,서울특별시,노원구,노원구보건소 월계보건지소,서울특별시 노원구 월계로 378 월계보건지소
2,서울특별시,노원구,노원구자원봉사센터,서울특별시 노원구 동일로 1229 노원구민회관 3층 노원구자원봉사센터
3,서울특별시,노원구,노원구청 행정지원과,서울특별시 노원구 노해로 437 노원구청 3층 행정지원과 사무실
4,서울특별시,노원구,노원구청물관리과,서울특별시 노원구 노해로 437 노원구청 물관리과
5,서울특별시,노원구,노원환경재단,서울특별시 노원구 한글비석로 97 에너지제로주택 상가 105호
6,서울특별시,노원구,서울과학기술대학교 학생처,서울특별시 노원구 공릉로 232 서울과학기술대학교 학생처
7,서울특별시,노원구,서울동일초등학교병설유치원,서울특별시 노원구 한글비석로 566 서울동일초등학교병설유치원
8,서울특별시,노원구,서울상천초등학교,서울특별시 노원구 덕릉로 443 상천초등학교
9,서울특별시,노원구,중계본동자원봉사캠프,서울특별시 노원구 중계본동 363-4
0,서울특별시,노원구,노원구청녹색환경과,서울특별시 노원구 노해로 437 녹색환경과
1,서울특별시,노원구,노원우주학교,서울특별시 노원구 동일로205길 13 노원우주학교
2,서울특별시,노원구,대한적십자사서울지사북부봉사관,서울특별시 노원구 동일로211길 16 중랑노원희망나눔봉사센터
3,서울특별시,노원구,동일초등학교,서울특별시 노원구 한글비석로 566 동일초등학교
4,서울특별시,노원구,마들종합사회복지관,"서울특별시 노원구 동일로210길 22 22 (중계동, 마들종합사회복지관)"
5,서울특별시,노원구,상계2동작은도서관,서울특별시 노원구 상계로 118 상계2동 작은도서관
6,서울특별시,노원구,상계초등학교병설유치원,서울특별시 노원구 상계로9길 39 39 상계초등학교병설 유치원
7,서울특별시,노원구,서울동일초등학교,서울특별시 노원구 한글비석로 566
8,서울특별시,노원구,서울정민학교 전공과,서울특별시 노원구 공릉로58길 24 서울정민학교 전공과
9,서울특별시,노원구,서울청계초등학교,서울특별시 노원구 공릉로 431 서울청계초등학교
0,서울특별시,노원구,공릉초등학교병설유치원,서울특별시 노원구 동일로173길 12 공릉초등학교병설유치원
1,서울특별시,노원구,노원경찰서 당고개파출소,서울특별시 노원구  상계로 221 당고개파출소
2,서울특별시,노원구,노원경찰서 생활안전과,서울특별시 노원구  노원로 283 서울노원경찰서 서울 노원경찰서 생활안전과
3,서울특별시,노원구,노원구정신건강증진센터,서울특별시 노원구  노해로 437 노원구청 2층 노원구정신건강증진센터
4,서울특별시,노원구,노원구중독관리통합지원센터,서울특별시 노원구 노원로16길 15 912동 1층
5,서울특별시,노원구,노원구체육회,서울특별시 노원구  화랑로 422 공릉빗물펌프장 2층 노원구체육회
6,서울특별시,노원구,노원휴먼라이브러리,서울특별시 노원구  노원로34길 43 노원정보도서관 내 지하1층 휴먼라이브러리
7,서울특별시,노원구,서울덕암초등학교,서울특별시 노원구  덕릉로112길 68 서울덕암초등학교 교무실
8,서울특별시,노원구,서울정민학교,서울특별시 노원구 공릉로58길 24 (서울정민학교)
9,서울특별시,노원구,용동초등학교,서울특별시 노원구 한글비석로1길 81-11
