,지역,시군구,기관,주소
0,서울특별시,동대문구,교육인생이모작지원센터,서울특별시 동대문구 천호대로4길 19-3 교육연구정보원 교수학습지원센터 2관4층
1,서울특별시,동대문구,동주민센터 작은도서관,서울특별시 동대문구 천호대로 145 6F 문화체육과
2,서울특별시,동대문구,이문제1동주민센터,서울특별시 동대문구 외대역동로 114-1
3,서울특별시,동대문구,이문제2동주민센터,서울특별시 동대문구 신이문로 27-5
4,서울특별시,동대문구,장안제1동주민센터,서울특별시 동대문구 한천로18길 52
5,서울특별시,동대문구,장안제2동주민센터,서울특별시 동대문구 사가정로 230-1
6,서울특별시,동대문구,청량리동주민센터,서울특별시 동대문구 왕산로43다길 5
7,서울특별시,동대문구,한국외국어대학교,"서울특별시 동대문구  이문로 107 한국외국어대학교 학생회관 101호, 사회봉사센터"
8,서울특별시,동대문구,휘경제1동주민센터,서울특별시 동대문구 외대역동로6길 3
9,서울특별시,동대문구,휘경제2동주민센터,서울특별시 동대문구 한천로 329
0,서울특별시,동대문구,답십리제1동주민센터,서울특별시 동대문구 고미술로 12
1,서울특별시,동대문구,답십리제2동주민센터,서울특별시 동대문구 한천로11길 18
2,서울특별시,동대문구,동대문구자원봉사센터,서울특별시 동대문구 사가정로 30 4층 동대문구 자원봉사센터
3,서울특별시,동대문구,서울답십리초등학교병설유치원,서울특별시 동대문구 전농로3길 23 서울답십리초등학교병설유치원
4,서울특별시,동대문구,선농단역사문화관,서울특별시 동대문구 무학로44길 38 선농단역사문화관
5,서울특별시,동대문구,용신동주민센터,서울특별시 동대문구 천호대로27길 35
6,서울특별시,동대문구,전농제1동주민센터,서울특별시 동대문구 서울시립대로9길 21
7,서울특별시,동대문구,전농제2동주민센터,서울특별시 동대문구 전농로16길 3
8,서울특별시,동대문구,제기동주민센터,서울특별시 동대문구 약령시로 71
9,서울특별시,동대문구,회기동주민센터,서울특별시 동대문구 회기로25길 12-1
0,서울특별시,동대문구,꿈마루어린이집,서울특별시 동대문구 전농로36길 29-3
1,서울특별시,동대문구,동대문경찰서 회기파출소,서울특별시 동대문구 회기로18길 2
2,서울특별시,동대문구,동대문구육아종합지원센터,서울특별시 동대문구  황물로 62 동대문구육아종합지원센터
3,서울특별시,동대문구,동대문진로직업체험지원센터,서울특별시 동대문구  왕산로 122 용두-한방천하 포스빌 6층 622호
4,서울특별시,동대문구,드림스타트센터,서울특별시 동대문구 제기로 106 1층 드림스타트센터
5,서울특별시,동대문구,배봉꿈마루청소년독서실,서울특별시 동대문구 전농로16길 3 배봉꿈마루청소년독서실
6,서울특별시,동대문구,사단법인 키움과채움 마음사랑학교,서울특별시 동대문구  망우로 123 휘경프라자 5층
7,서울특별시,동대문구,서울발달장애인훈련센터,서울특별시 동대문구 왕산로23길 55 서울발달장애인훈련센터
8,서울특별시,동대문구,한국철도공사 수도권동부본부,서울특별시 동대문구  한천로58길 209 한국철도공사 수도권동부본부 2층 안전처
9,서울특별시,동대문구,희망만들기 방과후 교실,"서울특별시 동대문구 무학로 133 희망만들기 방과후 교실 1,2층"
0,서울특별시,동대문구,동대문교육복지센터,서울특별시 동대문구 전농로16길 3 배봉꿈마루청소년독서실 2층
1,서울특별시,동대문구,동대문문화원,서울특별시 동대문구 왕산로 128 지하 2층
2,서울특별시,동대문구,동대문우체국,서울특별시 동대문구  천호대로 4 우편물류과 집배실
3,서울특별시,동대문구,서울경희중학교,서울특별시 동대문구  경희대로 26 경희대학교 경희중학교
4,서울특별시,동대문구,숲속작은도서관,서울특별시 동대문구  천장산로9길 68 고황경로당 숲속작은도서관
5,서울특별시,동대문구,언덕위에하얀어린이집,서울특별시 동대문구  약령시로3길 38 1층 어린이집
6,서울특별시,동대문구,이문파출소,서울특별시 동대문구  한천로 402 이문파출소
7,서울특별시,동대문구,전농파출소,서울특별시 동대문구 전농로38다길 21 전농파출소
8,서울특별시,동대문구,한국청소년육성회 동대문지구회,서울특별시 동대문구 약령시로21길 29 동대문경찰서별관5층
9,서울특별시,동대문구,휘경어린이도서관,서울특별시 동대문구  망우로18가길 38 휘경어린이도서관
0,서울특별시,동대문구,구립 솔솔 어린이집,서울특별시 동대문구 장안벚꽃로5길 19 관리동
1,서울특별시,동대문구,동대문구보건소,서울 동대문구 용두동 10~45 동대문구보건소 3층 보건지도과
2,서울특별시,동대문구,동대문구체육관,서울 동대문구 답십리4동 2-155
3,서울특별시,동대문구,동대문종합사회복지관,서울 동대문구 제기2동 220
