,지역,시군구,기관,주소
0,서울특별시,동작구,동작구보건소 보건기획과,서울특별시 동작구 장승배기로10길 42 2층
1,서울특별시,동작구,동작구청 교통행정과,서울특별시 동작구 장승배기로 161 동작구청 교통행정과
2,서울특별시,동작구,동작구청 기획예산과,서울특별시 동작구 장승배기로 161 동작구청4층
3,서울특별시,동작구,동작구청 도로관리과,서울특별시 동작구 노량진로 74 유한양행9층 동작구청 도로관리과
4,서울특별시,동작구,동작구청 도시전략사업과,서울특별시 동작구 장승배기로 161 별관 4층
5,서울특별시,동작구,동작구청 맑은환경과,서울특별시 동작구 노량진로 74 유한양행 3층
6,서울특별시,동작구,동작구청 자치행정과,서울특별시 동작구 장승배기로 161 4층 자치행정과
7,서울특별시,동작구,동작구청 홍보전산과,서울특별시 동작구 노량진로 74 동작구청 전산교육장 9층
8,서울특별시,동작구,동작소방서,서울특별시 동작구 여의대방로16길 55
9,서울특별시,동작구,상도2동주민센터,서울특별시 동작구 상도로 211
0,서울특별시,동작구,대방동 주민센터,서울특별시 동작구 여의대방로44길 20
1,서울특별시,동작구,동부공원녹지사업소,서울특별시 동작구  여의대방로20길 33
2,서울특별시,동작구,동작구청 교육정책과,서울특별시 동작구 노량진로 74 유한양행빌딩 3층
3,서울특별시,동작구,동작구청 사회적마을과,서울특별시 동작구  장승배기로 161 동작구청
4,서울특별시,동작구,동작구청 어르신청소년과(드림스타트 소관부서),서울특별시 동작구 여의대방로24길 76 5층 드림스타트센터
5,서울특별시,동작구,동작구청 일자리정책과,서울특별시 동작구  노량진로 74 유한양행 9층
6,서울특별시,동작구,동작구청 청소행정과,서울특별시 동작구  장승배기로 161 동작구청 5층 청소행정과
7,서울특별시,동작구,동작구청 체육문화과,서울특별시 동작구  노량진로 74 유한양행빌딩 9층 체육문화과
8,서울특별시,동작구,신대방1동주민센터,서울특별시 동작구 신대방길 72
9,서울특별시,동작구,신대방2동 주민센터,서울특별시 동작구 여의대방로24길 76
0,서울특별시,동작구,노량진1동주민센터,서울특별시 동작구 장승배기로28길 30
1,서울특별시,동작구,노량진2동주민센터,서울특별시 동작구 장승배기로19길 48
2,서울특별시,동작구,사당1동 주민센터,서울특별시 동작구 동작대로17길 28
3,서울특별시,동작구,사당2동주민센터,서울특별시 동작구 동작대로29길 52
4,서울특별시,동작구,사당3동주민센터,서울특별시 동작구 사당로17길 86
5,서울특별시,동작구,사당4동주민센터,서울특별시 동작구 사당로16아길 6
6,서울특별시,동작구,사당5동주민센터,서울특별시 동작구 사당로2가길 219
7,서울특별시,동작구,상도3동주민센터,서울특별시 동작구 성대로2길 11
8,서울특별시,동작구,상도4동주민센터,서울특별시 동작구 성대로29길 53
9,서울특별시,동작구,흑석동주민센터,서울특별시 동작구 흑석한강로 11
0,서울특별시,동작구,구립 사당4동어린이집,서울특별시 동작구 사당로22나길 70
1,서울특별시,동작구,구립로미어린이집,서울특별시 동작구 만양로 19 신동아리버파크 1단지 관리사무소 1층
2,서울특별시,동작구,구립큰나무어린이집,서울특별시 동작구 사당로2가길 219
3,서울특별시,동작구,국립서울현충원,서울특별시 동작구 현충로 210
4,서울특별시,동작구,다울작은도서관,서울특별시 동작구 사당로20길 132 2층
5,서울특별시,동작구,동작구보건소 보건의약과,서울특별시 동작구 장승배기로10길 42 2층
6,서울특별시,동작구,동작구청,서울특별시 동작구 장승배기로 161
7,서울특별시,동작구,동작구청 행정지원과,서울특별시 동작구 장승배기로 161 동작구청 3층
8,서울특별시,동작구,동작샘터도서관,서울특별시 동작구 동작대로29길 63-26
9,서울특별시,동작구,변화된미래를만드는미혼모협회 인트리,서울특별시 동작구 여의대방로54길 18 여성플라자 308호
0,서울특별시,동작구,구립로야어린이집,서울특별시 동작구 상도로62길 87
1,서울특별시,동작구,구립상도어린이집,서울특별시 동작구 양녕로36길 15
2,서울특별시,동작구,구립선재어린이집,서울특별시 동작구  노량진로32길 62
3,서울특별시,동작구,누리학교,서울특별시 동작구 상도로 53
4,서울특별시,동작구,동작구육아종합지원센터,서울특별시 동작구 여의대방로36길 11
5,서울특별시,동작구,동작구청 공원녹지과,서울특별시 동작구 노량진로 74 유한양행 3층 공원녹지과
6,서울특별시,동작구,동작구청소년상담복지센터,서울특별시 동작구  여의대방로20길 33 시립보라매청소년수련관 슬기동 2층
7,서울특별시,동작구,동작구푸드뱅크.마켓센터,"서울특별시 동작구 사당로17길 8 대림프라자상가107호,206호"
8,서울특별시,동작구,동작문화재단,서울특별시 동작구 매봉로 1 김영삼대통령기념도서관 7층
9,서울특별시,동작구,상도1동주민센터,서울특별시 동작구 상도로53길 9
0,서울특별시,동작구,구립꿈나무어린이집,서울특별시 동작구  여의대방로36길 11
1,서울특별시,동작구,구립흑석청소년독서실,서울특별시 동작구  서달로13길 17
2,서울특별시,동작구,대방어린이도서관,서울특별시 동작구  대방동길 55 2층
3,서울특별시,동작구,동작구 체육회,서울특별시 동작구 노량진로17길 44 수도빗물펌프장 3층
4,서울특별시,동작구,동작도서관,서울특별시 동작구  장승배기로 94 서울특별시립 동작도서관 3층 종합자료실
5,서울특별시,동작구,동작진로직업체험지원센터,서울특별시 동작구 상도로15바길 5 3층
6,서울특별시,동작구,보라매안전체험관,서울특별시 동작구  여의대방로20길 33
7,서울특별시,동작구,사당솔밭도서관,서울특별시 동작구  솔밭로 86
8,서울특별시,동작구,삼성떡프린스,서울특별시 동작구  양녕로30길 19-4 삼성농아원
9,서울특별시,동작구,중앙대학교 문화예술경영연구소,서울특별시 동작구 흑석로 84 중앙대학교 305관(교수연구동) 603호
0,서울특별시,동작구,(사)대한노인회동작구지회,서울특별시 동작구 여의대방로24가길 2 동작노인회관 3층
1,서울특별시,동작구,구립예담어린이집,서울특별시 동작구 매봉로 43
2,서울특별시,동작구,동작경찰서,서울특별시 동작구 노량진로 148 서울동작경찰서
3,서울특별시,동작구,동작구건강가정지원센터,서울특별시 동작구 동작대로29길 63-26
4,서울특별시,동작구,동작구보건소,서울특별시 동작구 장승배기로10길 42
5,서울특별시,동작구,동작구보건소 건강관리과,서울특별시 동작구 장승배기로10길 42 2층
6,서울특별시,동작구,동작구치매안심센터,서울특별시 동작구 남부순환로 2025
7,서울특별시,동작구,동작청소년문화의집,서울특별시 동작구 상도로15바길 5 1층
8,서울특별시,동작구,본동종합사회복지관,서울특별시 동작구 노량진로32길 79
9,서울특별시,동작구,서울시여성가족재단,서울특별시 동작구 여의대방로54길 18
0,서울특별시,동작구,구립라온어린이집,서울특별시 동작구 동작대로17길 28 1층
1,서울특별시,동작구,구립사당어린이집,서울특별시 동작구 사당로27길 190
2,서울특별시,동작구,동작교육복지센터,서울특별시 동작구 동작대로27가길 19 1층
3,서울특별시,동작구,동작구립약수도서관,서울특별시 동작구  양녕로22바길 64
4,서울특별시,동작구,동작발달장애인평생교육센터,서울특별시 동작구 사당로 253-3 1층
5,서울특별시,동작구,동작어린이도서관,서울특별시 동작구  장승배기로16길 98
6,서울특별시,동작구,사당종합체육관,서울특별시 동작구 사당로27길 232
7,서울특별시,동작구,사랑단기보호센터,서울특별시 동작구 남부순환로255길 8 2층
8,서울특별시,동작구,상도스포츠클럽,서울특별시 동작구 성대로2길 11 1층
9,서울특별시,동작구,여성플라자스포츠센터,서울특별시 동작구 여의대방로54길 18 1층
0,서울특별시,동작구,(재)동작복지재단,서울특별시 동작구 장승배기로10길 6 동작문화복지센터 3층
1,서울특별시,동작구,구립샛별어린이집,서울특별시 동작구 성대로27길 12
2,서울특별시,동작구,동작구립삼화데이케어센터,서울특별시 동작구 사당로13길 42
3,서울특별시,동작구,동작노인종합복지관,서울특별시 동작구 상도로11길 7
4,서울특별시,동작구,문화날개장애인자립생활센터,서울특별시 동작구 사당로 300 이수자이 상가동 221호
5,서울특별시,동작구,사당청소년문화의집,서울특별시 동작구  사당로23길 57-7
6,서울특별시,동작구,서울남부주간보호센터,서울특별시 동작구  여의대방로20길 33 (보라매공원 내)
7,서울특별시,동작구,서울시립동작청소년성문화센터,서울특별시 동작구  여의대방로20길 33 자유회관 1층
8,서울특별시,동작구,숲 데이케어센터,서울특별시 동작구 상도로68길 1-20 2층
9,서울특별시,동작구,엔젤데이케어센터,서울특별시 동작구  사당로16라길 9 3층
0,서울특별시,동작구,동작구다문화가족지원센터,서울특별시 동작구 동작대로29길 63-26
1,서울특별시,동작구,동작이수사회복지관,서울특별시 동작구 동작대로35차길 7
2,서울특별시,동작구,동작재가노인지원센터,서울특별시 동작구 상도로30길 8
3,서울특별시,동작구,동작종합사회복지관,서울특별시 동작구 등용로 47
4,서울특별시,동작구,보라매공원,서울특별시 동작구 여의대방로20길 33
5,서울특별시,동작구,사당어르신종합복지관,서울특별시 동작구 남부순환로 2081
6,서울특별시,동작구,삼성소리샘복지관,서울특별시 동작구 양녕로30길 19-4
7,서울특별시,동작구,서울시립남부장애인종합복지관,서울특별시 동작구 여의대방로20길 33 보라매공원 내
8,서울특별시,동작구,서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33 보라매공원 내
9,서울특별시,동작구,서울특별시 보라매병원,서울특별시 동작구 보라매로5길 20
0,서울특별시,동작구,구립재영데이케어센터,서울특별시 동작구 노량진로6다길 26
