,지역,시군구,기관,주소
0,서울특별시,서대문구,북가좌2동주민센터(캠프),서울특별시 서대문구 응암로1길 10 (북가좌동)
1,서울특별시,서대문구,북아현동주민센터(캠프),서울특별시 서대문구 북아현로 24 (북아현동)
2,서울특별시,서대문구,서대문구보건소(1차진료실),서울특별시 서대문구 연희로 242 1차진료실
3,서울특별시,서대문구,서대문구보건소(의약과),서울특별시 서대문구 연희로 242 서대문구보건소 의약과(4층 구강보건센터)
4,서울특별시,서대문구,서대문구보건소(지역건강과),서울특별시 서대문구 연희로 242 7층 지역건강과
5,서울특별시,서대문구,서대문구청 감사담당관,서울특별시 서대문구  연희로 248 4층 감사담당관
6,서울특별시,서대문구,서대문구청(드림스타트),"서울특별시 서대문구  거북골로 195-1 1층(북가좌동, 서대문꿈나무지원센터)"
7,서울특별시,서대문구,서대문구청(문화체육과),서울특별시 서대문구 연희로 248 문화체육과 5층
8,서울특별시,서대문구,서대문구청(일자리경제과),서울특별시 서대문구 연희로 248 서대문구청 5층 일자리경제과
9,서울특별시,서대문구,서대문구청교육지원과,서울특별시 서대문구 연희로 248 서대문구청 교육지원과
0,서울특별시,서대문구,남가좌2동주민센터(캠프),서울특별시 서대문구 증가로10길 28 (남가좌동)
1,서울특별시,서대문구,북가좌1동주민센터(캠프),서울특별시 서대문구 수색로 100-55 (북가좌동)
2,서울특별시,서대문구,서대문구청,서울특별시 서대문구연희로 248 서대문구청 (연희동)
3,서울특별시,서대문구,신촌동주민센터(캠프),서울특별시 서대문구 이화여대길 92-8
4,서울특별시,서대문구,천연동주민센터(캠프),서울특별시 서대문구 성산로 694 (영천동101)
5,서울특별시,서대문구,충현동주민센터(캠프),서울특별시 서대문구 북아현로22길 38 (북아현동 1-90)
6,서울특별시,서대문구,홍은1동주민센터(캠프),서울특별시 서대문구 홍은중앙로 85 (홍은동11-853)
7,서울특별시,서대문구,홍은2동주민센터(캠프),서울특별시 서대문구 모래내로 334 (홍은동273-10)
8,서울특별시,서대문구,홍제1동주민센터(캠프),서울특별시 서대문구통일로 435-1 홍제제1동주민센터 (홍제동)
9,서울특별시,서대문구,홍제3동주민센터(캠프),서울특별시 서대문구세검정로4길 32 홍제제3동주민센터 (홍제동)
0,서울특별시,서대문구,북아현동자치회관,서울특별시 서대문구 북아현로 24 (북아현동)
1,서울특별시,서대문구,서대문구보건소,서울특별시 서대문구 연희로 242 (연희동)
2,서울특별시,서대문구,서대문구자원봉사센터,서울특별시 서대문구 연희로 248 서대문구청 5층 복지정책과
3,서울특별시,서대문구,서대문자연사박물관,서울특별시 서대문구 연희로32길 51 (연희동)
4,서울특별시,서대문구,연희동주민센터,서울특별시 서대문구연희로 189 연희동주민센터 (연희동)
5,서울특별시,서대문구,연희동주민센터(캠프),"서울특별시 서대문구 연희로 189 (연희동, 연희동주민센터)"
6,서울특별시,서대문구,홍은1동자치회관,서울특별시 서대문구 홍은중앙로 85 (홍은동)
7,서울특별시,서대문구,홍제1동주민센터,서울특별시 서대문구 통일로 435 (홍제동171-1)
8,서울특별시,서대문구,홍제2동주민센터(캠프),서울특별시 서대문구통일로34길 27 홍제제2동주민센터 (홍제동)
9,서울특별시,서대문구,홍제3동자치회관,서울특별시 서대문구 세검정로4길 32 (홍제동)
0,서울특별시,서대문구,남가좌2동주민센터,서울특별시 서대문구 증가로10길 28 (남가좌동)
1,서울특별시,서대문구,북가좌1동주민센터,서울특별시 서대문구 수색로 100-55 (북가좌동)
2,서울특별시,서대문구,북가좌2동주민센터,서울특별시 서대문구 응암로1길 10 (북가좌동)
3,서울특별시,서대문구,북아현동주민센터,서울특별시 서대문구 북아현로 24 (북아현동)
4,서울특별시,서대문구,신촌동주민센터,서울특별시 서대문구 이화여대길 92-8
5,서울특별시,서대문구,천연동주민센터,서울특별시 서대문구 성산로 694 (영천동101)
6,서울특별시,서대문구,충현동주민센터,서울특별시 서대문구 북아현로22길 38 (북아현동 1-90)
7,서울특별시,서대문구,홍은1동주민센터,서울특별시 서대문구 홍은중앙로 85 (홍은동11-853)
8,서울특별시,서대문구,홍은2동주민센터,서울특별시 서대문구 모래내로 334 (홍은동273-10)
9,서울특별시,서대문구,홍제2동주민센터,서울특별시 서대문구통일로34길 27 홍제제2동주민센터 (홍제동)
0,서울특별시,서대문구,남가좌1동주민센터,서울특별시 서대문구 모래내로15길 37 자원봉사캠프
1,서울특별시,서대문구,샹가,서울특별시 서대문구 증가로10길 16-4 302
2,서울특별시,서대문구,서대문50플러스센터,서울특별시 서대문구 통일로 484 2층
