,지역,시군구,기관,주소
0,서울특별시,양천구,서울남부출입국·외국인사무소,서울특별시 양천구 목동동로 151 서울남부출입국·외국인사무소
1,서울특별시,양천구,신정2동주민센터,서울특별시 양천구 목동동로 154 신정2동주민센터
2,서울특별시,양천구,양천구선거관리위원회,서울특별시 양천구  목동동로 81 해누리타운 6층 양천구선거관리위원회
3,서울특별시,양천구,양천구청 기획예산과,서울특별시 양천구  목동동로 105 양천구청 4층 기획예산과
4,서울특별시,양천구,양천구청 도로과,서울특별시 양천구  목동동로 105 양천구청
5,서울특별시,양천구,양천구청 부동산정보과,서울특별시 양천구 목동동로 105 양천구청
6,서울특별시,양천구,양천구청 주민협치과,서울특별시 양천구 목동동로 105 양천구청 7층 주민협치과
7,서울특별시,양천구,양천구청 청소행정과,서울특별시 양천구 목동동로 81 양천구청 청소행정과
8,서울특별시,양천구,양천구청 출산보육과,서울특별시 양천구  목동동로 81 해누리타운 6층 출산보육과
9,서울특별시,양천구,양천구청건설관리과,서울특별시 양천구 목동동로 105 양천구청 건설관리과
0,서울특별시,양천구,서울남부보호관찰소,서울특별시 양천구  목동남로 93 법무부 서울남부보호관찰소
1,서울특별시,양천구,서울지방식품의약품안전청,서울특별시 양천구  목동중앙로 212 서울지방식품의약품안정청
2,서울특별시,양천구,서울특별시 양천구 일자리플러스센터,서울특별시 양천구  목동동로 81 해누리타운 4층 일자리플러스센터
3,서울특별시,양천구,신월5동 주민센터,서울특별시 양천구 화곡로4길 10 신월5동주민센터
4,서울특별시,양천구,양천구 여성가족과,서울특별시 양천구  목동동로 81 해누리타운 (신정동) 5층 여성가족과
5,서울특별시,양천구,양천구청 문화체육과,서울특별시 양천구  목동동로 105 양천구청 문화체육과
6,서울특별시,양천구,양천구청 복지정책과,서울특별시 양천구 목동동로 81 5층 복지정책과
7,서울특별시,양천구,양천구청 총무과,서울특별시 양천구  목동동로 105 양천구청 총무과
8,서울특별시,양천구,양천구체육회,서울특별시 양천구  신정로 273-5 계남다목적체육관 2층 양천구체육회
